Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,55.7078,55.7078,55.7078,55.7078,7549
02/19/2026,1600,56.8069,56.8069,56.8069,56.8069,5599
02/20/2026,1600,61.3722,61.3722,61.3722,61.3722,7672
02/23/2026,1600,41.0783,41.0783,41.0783,41.0783,6272
02/24/2026,1600,57.1887,57.1887,57.1887,57.1887,18011
02/25/2026,1600,53.2846,53.2846,53.2846,53.2846,9909
02/26/2026,1600,48.1893,48.1893,48.1893,48.1893,7774
02/27/2026,1600,41.0989,41.0989,41.0989,41.0989,7076
03/02/2026,1600,52.7191,52.7191,52.7191,52.7191,7079
03/03/2026,1600,42.9898,42.9898,42.9898,42.9898,7820
03/04/2026,1600,50.7111,50.7111,50.7111,50.7111,8969
03/05/2026,1600,58.5520,58.5520,58.5520,58.5520,7643
03/06/2026,1600,47.6977,47.6977,47.6977,47.6977,7239
03/09/2026,1600,38.3787,38.3787,38.3787,38.3787,8882
03/10/2026,1600,44.3833,44.3833,44.3833,44.3833,7023
03/11/2026,1600,55.3322,55.3322,55.3322,55.3322,5031
03/12/2026,1600,47.9011,47.9011,47.9011,47.9011,6262
03/13/2026,1600,52.3247,52.3247,52.3247,52.3247,5673
03/16/2026,1600,51.1205,51.1205,51.1205,51.1205,6406
03/17/2026,1600,57.6920,57.6920,57.6920,57.6920,4728
03/18/2026,1600,46.1169,46.1169,46.1169,46.1169,6451
03/19/2026,1600,56.3155,56.3155,56.3155,56.3155,6847
03/20/2026,1600,36.1435,36.1435,36.1435,36.1435,8958
03/23/2026,1600,51.3483,51.3483,51.3483,51.3483,7013
03/24/2026,1600,62.0849,62.0849,62.0849,62.0849,5868
03/25/2026,1600,55.1070,55.1070,55.1070,55.1070,11269
03/26/2026,1600,44.8674,44.8674,44.8674,44.8674,11724
03/27/2026,1600,51.6215,51.6215,51.6215,51.6215,6285
03/30/2026,1600,47.0395,47.0395,47.0395,47.0395,8807
03/31/2026,1600,39.1946,39.1946,39.1946,39.1946,10609
04/01/2026,1600,56.2289,56.2289,56.2289,56.2289,9133
04/02/2026,1600,58.9978,58.9978,58.9978,58.9978,8658
04/06/2026,1600,54.6091,54.6091,54.6091,54.6091,7312
04/07/2026,1600,56.8940,56.8940,56.8940,56.8940,6174
04/08/2026,1600,45.3858,45.3858,45.3858,45.3858,8962
04/09/2026,1600,49.5599,49.5599,49.5599,49.5599,6941
04/10/2026,1600,53.2788,53.2788,53.2788,53.2788,9500
04/13/2026,1600,50.3211,50.3211,50.3211,50.3211,6042
04/14/2026,1600,47.3483,47.3483,47.3483,47.3483,7031
04/15/2026,1600,48.2563,48.2563,48.2563,48.2563,6881
04/16/2026,1600,61.3420,61.3420,61.3420,61.3420,18531
04/17/2026,1600,42.9910,42.9910,42.9910,42.9910,11497
04/20/2026,1600,54.2146,54.2146,54.2146,54.2146,10570
04/21/2026,1600,57.2874,57.2874,57.2874,57.2874,11534
04/22/2026,1600,55.6097,55.6097,55.6097,55.6097,15386
04/23/2026,1600,53.5206,53.5206,53.5206,53.5206,14818
04/24/2026,1600,53.8557,53.8557,53.8557,53.8557,29734
04/27/2026,1600,52.5407,52.5407,52.5407,52.5407,18299
04/28/2026,1600,48.8185,48.8185,48.8185,48.8185,14933
04/29/2026,1600,58.9376,58.9376,58.9376,58.9376,15637
04/30/2026,1600,53.8916,53.8916,53.8916,53.8916,15715
05/01/2026,1600,52.3013,52.3013,52.3013,52.3013,13023
05/04/2026,1600,53.3277,53.3277,53.3277,53.3277,15415
05/05/2026,1600,48.0346,48.0346,48.0346,48.0346,25432
05/06/2026,1600,51.6266,51.6266,51.6266,51.6266,38873
05/07/2026,1600,52.6570,52.6570,52.6570,52.6570,19843
05/08/2026,1600,41.7849,41.7849,41.7849,41.7849,29666
05/11/2026,1600,46.6883,46.6883,46.6883,46.6883,24062
05/12/2026,1600,53.8368,53.8368,53.8368,53.8368,18522
