Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,51.3127,51.3127,51.3127,51.3127,7549
02/19/2026,1600,54.1078,54.1078,54.1078,54.1078,5599
02/20/2026,1600,54.1777,54.1777,54.1777,54.1777,7672
02/23/2026,1600,48.5082,48.5082,48.5082,48.5082,6272
02/24/2026,1600,49.7083,49.7083,49.7083,49.7083,18011
02/25/2026,1600,46.7376,46.7376,46.7376,46.7376,9909
02/26/2026,1600,46.3458,46.3458,46.3458,46.3458,7774
02/27/2026,1600,44.0771,44.0771,44.0771,44.0771,7076
03/02/2026,1600,51.4544,51.4544,51.4544,51.4544,7079
03/03/2026,1600,45.8317,45.8317,45.8317,45.8317,7820
03/04/2026,1600,48.1365,48.1365,48.1365,48.1365,8969
03/05/2026,1600,53.7083,53.7083,53.7083,53.7083,7643
03/06/2026,1600,47.6107,47.6107,47.6107,47.6107,7239
03/09/2026,1600,43.5407,43.5407,43.5407,43.5407,8882
03/10/2026,1600,46.6471,46.6471,46.6471,46.6471,7023
03/11/2026,1600,51.2356,51.2356,51.2356,51.2356,5031
03/12/2026,1600,47.3107,47.3107,47.3107,47.3107,6262
03/13/2026,1600,50.4836,50.4836,50.4836,50.4836,5673
03/16/2026,1600,49.4875,49.4875,49.4875,49.4875,6406
03/17/2026,1600,53.4221,53.4221,53.4221,53.4221,4728
03/18/2026,1600,48.3943,48.3943,48.3943,48.3943,6451
03/19/2026,1600,51.7079,51.7079,51.7079,51.7079,6847
03/20/2026,1600,41.1464,41.1464,41.1464,41.1464,8958
03/23/2026,1600,43.6770,43.6770,43.6770,43.6770,7013
03/24/2026,1600,54.6173,54.6173,54.6173,54.6173,5868
03/25/2026,1600,48.2347,48.2347,48.2347,48.2347,11269
03/26/2026,1600,45.5068,45.5068,45.5068,45.5068,11724
03/27/2026,1600,48.4366,48.4366,48.4366,48.4366,6285
03/30/2026,1600,48.8251,48.8251,48.8251,48.8251,8807
03/31/2026,1600,43.4145,43.4145,43.4145,43.4145,10609
04/01/2026,1600,48.9737,48.9737,48.9737,48.9737,9133
04/02/2026,1600,53.1534,53.1534,53.1534,53.1534,8658
04/06/2026,1600,52.3777,52.3777,52.3777,52.3777,7312
04/07/2026,1600,51.9055,51.9055,51.9055,51.9055,6174
04/08/2026,1600,47.1723,47.1723,47.1723,47.1723,8962
04/09/2026,1600,50.2758,50.2758,50.2758,50.2758,6941
04/10/2026,1600,49.5040,49.5040,49.5040,49.5040,9500
04/13/2026,1600,49.9547,49.9547,49.9547,49.9547,6042
04/14/2026,1600,48.9558,48.9558,48.9558,48.9558,7031
04/15/2026,1600,47.3489,47.3489,47.3489,47.3489,6881
04/16/2026,1600,54.0791,54.0791,54.0791,54.0791,18531
04/17/2026,1600,45.1195,45.1195,45.1195,45.1195,11497
04/20/2026,1600,53.0365,53.0365,53.0365,53.0365,10570
04/21/2026,1600,54.6822,54.6822,54.6822,54.6822,11534
04/22/2026,1600,51.7596,51.7596,51.7596,51.7596,15386
04/23/2026,1600,51.2180,51.2180,51.2180,51.2180,14818
04/24/2026,1600,48.2214,48.2214,48.2214,48.2214,29734
04/27/2026,1600,50.6651,50.6651,50.6651,50.6651,18299
04/28/2026,1600,48.7482,48.7482,48.7482,48.7482,14933
04/29/2026,1600,55.5653,55.5653,55.5653,55.5653,15637
04/30/2026,1600,51.5301,51.5301,51.5301,51.5301,15715
05/01/2026,1600,50.4187,50.4187,50.4187,50.4187,13023
05/04/2026,1600,50.2611,50.2611,50.2611,50.2611,15415
05/05/2026,1600,43.7310,43.7310,43.7310,43.7310,25432
05/06/2026,1600,48.0475,48.0475,48.0475,48.0475,38873
05/07/2026,1600,50.0036,50.0036,50.0036,50.0036,19843
05/08/2026,1600,42.5000,42.5000,42.5000,42.5000,29666
05/11/2026,1600,46.0230,46.0230,46.0230,46.0230,24062
05/12/2026,1600,50.9136,50.9136,50.9136,50.9136,18522
