date,trades,notional_$,dark_trades,dark_notional_$,dark_pct_by_notional,block_notional_$,block_dark_notional_$,block_dark_pct,trf_201_NYSE_$,trf_202_Carteret_$,trf_203_Chicago_$,carteret_pct_of_total
2026-02-18,496379,7549531046,236648,3873866128,51.3127,2682535304,1494381048,55.7078,132103239,3666602638,75160251,48.5673
2026-02-19,328173,5599301762,168103,3029659462,54.1078,2333394340,1325529449,56.8069,79523199,2888256092,61880171,51.5824
2026-02-20,417901,7672307196,197392,4156681922,54.1777,3557133889,2183090899,61.3722,571559491,3506993366,78129065,45.7098
2026-02-23,371321,6272471643,173133,3042664127,48.5082,2480478517,1018938930,41.0783,94549119,2893813659,54301349,46.1351
2026-02-24,959494,18011887944,386012,8953410667,49.7083,6739640527,3854310228,57.1887,239562028,8521087425,192761214,47.3081
2026-02-25,571543,9909348201,222144,4631389951,46.7376,3842856775,2047651763,53.2846,158294383,4374429196,98666371,44.1445
2026-02-26,510679,7774413975,215903,3603111715,46.3458,3077897700,1483216743,48.1893,102265847,3419386134,81459734,43.9826
2026-02-27,434149,7076494795,173405,3119111686,44.0771,3265659022,1342150248,41.0989,94182661,2972186154,52742871,42.0008
2026-03-02,470957,7079447728,217071,3642686208,51.4544,2458353417,1296020644,52.7191,155871991,3420211061,66603156,48.3118
2026-03-03,527994,7820004554,223580,3584040458,45.8317,3014942330,1296116357,42.9898,168993271,3344250674,70796513,42.7653
2026-03-04,548502,8969652762,217577,4317675389,48.1365,3887731504,1971509825,50.7111,183462038,4064136551,70076800,45.3099
2026-03-05,438769,7643932322,192757,4105425577,53.7083,3099116893,1814594135,58.5520,244079947,3789055735,72289895,49.5695
2026-03-06,396731,7239001495,160562,3446540335,47.6107,3253811542,1551993391,47.6977,355955909,3029982684,60601742,41.8564
2026-03-09,476921,8882463499,199112,3867489093,43.5407,4018306636,1542174908,38.3787,135205188,3675324589,56959317,41.3773
2026-03-10,361967,7023722605,162111,3276360865,46.6471,3531773891,1567517296,44.3833,83612938,3123374484,69373443,44.4689
2026-03-11,308864,5031252311,129800,2577789807,51.2356,1938764058,1072760120,55.3322,52071911,2470668424,55049472,49.1064
