date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-06-05,AMD,14914026.0,6933945.0,46.49,95.2385,262516,6603783,67646,0,51804.0,,
2025-06-06,AMD,12414168.0,4335221.0,34.92,95.8076,128651,4153470,53100,0,15858.0,,
2025-06-09,AMD,24313333.0,11779928.0,48.45,94.1172,538629,11086935,154364,0,62956.0,,
2025-06-10,AMD,18904138.0,11432334.0,60.48,94.5861,515714,10813399,103221,0,33655.0,,
2025-06-11,AMD,15524941.0,8046526.0,51.83,95.5135,279620,7685522,81384,0,39191.0,48.434,
2025-06-12,AMD,21804841.0,13424177.0,61.57,95.2272,500497,12783472,140208,0,28428.0,50.6233,
2025-06-13,AMD,17843663.0,9484146.0,53.15,94.0951,467258,8924121,92767,0,13729.0,50.9843,
2025-06-16,AMD,54229048.0,28608759.0,52.76,94.6728,1129796,27084705,394258,0,158339.0,51.2062,
2025-06-17,AMD,44317039.0,27511534.0,62.08,94.2935,1123623,25941575,446336,0,94369.0,52.4144,
2025-06-18,AMD,26532574.0,14898961.0,56.15,94.8034,595734,14124717,178510,0,43441.0,52.788,
2025-06-20,AMD,34521742.0,20542220.0,59.51,95.1125,649703,19538222,354295,0,67315.0,53.3991,
2025-06-23,AMD,32114688.0,17846990.0,55.57,94.4678,678345,16859656,308989,0,56228.0,53.58,
2025-06-24,AMD,38730174.0,20687010.0,53.41,94.6068,852711,19571327,262972,0,75865.0,53.5669,
2025-06-25,AMD,35891049.0,21873290.0,60.94,95.5157,606326,20892416,374548,0,65153.0,54.0936,
2025-06-26,AMD,28682344.0,18535704.0,64.62,85.2323,2561435,15798408,175861,0,73967.0,54.7953,
2025-06-27,AMD,28984431.0,16667726.0,57.51,96.0919,442649,16016328,208749,0,61753.0,54.965,
2025-06-30,AMD,21642453.0,12823772.0,59.25,94.8868,486663,12168071,169038,0,60074.0,55.2171,
2025-07-01,AMD,25265491.0,12468488.0,49.35,94.6576,533090,11802372,133026,0,46157.0,54.8911,
2025-07-02,AMD,19063553.0,9405842.0,49.34,94.9736,382297,8933064,90481,0,17587.0,54.5989,
2025-07-03,AMD,13998272.0,8204130.0,58.61,94.487,365373,7751840,86917,0,25441.0,54.7995,0.5639
2025-07-07,AMD,17771652.0,8783235.0,49.42,94.0621,424851,8261691,96693,0,33366.0,54.946,-0.7654
2025-07-08,AMD,18115289.0,9165487.0,50.6,93.9434,422325,8610369,132793,0,30802.0,55.73,-0.5711
2025-07-09,AMD,20214854.0,11012106.0,54.48,94.0284,526621,10354507,130978,0,32952.0,56.0315,0.0172
2025-07-10,AMD,16129011.0,8256753.0,51.19,91.3677,568594,7544008,144151,0,32015.0,55.567,-0.4804
2025-07-11,AMD,25468486.0,15717523.0,61.71,94.5927,583656,14867632,266235,0,55388.0,56.061,1.1238
2025-07-14,AMD,21777475.0,13451484.0,61.77,94.8109,545932,12753467,152085,0,23871.0,56.071,1.0847
2025-07-15,AMD,43130012.0,23241687.0,53.89,94.5365,854962,21971884,414841,0,63612.0,56.108,-0.1413
2025-07-16,AMD,28969184.0,16322540.0,56.34,94.0396,740186,15349649,232705,0,32180.0,56.287,0.2431
2025-07-17,AMD,24752481.0,14476541.0,58.49,94.3627,627430,13660460,188651,0,56478.0,56.1075,0.5768
2025-07-18,AMD,23921127.0,14510141.0,60.66,94.6115,609393,13728266,172482,0,47429.0,56.333,0.9029
2025-07-21,AMD,21370987.0,10280622.0,48.11,94.6038,317059,9725857,237706,0,45703.0,55.763,-1.1117
2025-07-22,AMD,23989619.0,10364294.0,43.2,94.2287,382203,9766142,215949,0,38075.0,55.1445,-1.7834
2025-07-23,AMD,20875015.0,7800295.0,37.37,93.9813,303252,7330816,166227,0,38745.0,54.3425,-2.4054
2025-07-24,AMD,25769283.0,10060888.0,39.04,89.7824,885484,9032907,142497,0,40110.0,53.2475,-1.9991
2025-07-25,AMD,27463550.0,12749297.0,46.42,94.2871,489158,12020943,239196,0,34499.0,52.3375,-0.9581
2025-07-28,AMD,36208143.0,14090098.0,38.91,90.2702,1041811,12719153,329134,0,54214.0,51.4075,-1.8627
2025-07-29,AMD,63852183.0,24798875.0,38.84,93.5484,1161916,23198959,438000,0,102083.0,50.387,-1.7648
2025-07-30,AMD,35130808.0,14750208.0,41.99,89.7145,1257140,13233081,259987,0,44553.0,50.019,-1.3114
2025-07-31,AMD,35140147.0,14329472.0,40.78,91.5988,1024359,13125631,179482,0,58867.0,49.591,-1.4078
2025-08-01,AMD,36123885.0,14568946.0,40.33,91.2171,1021827,13289373,257746,0,89410.0,48.677,-1.4084
2025-08-04,AMD,25457577.0,14335111.0,56.31,83.3466,2165631,11947830,221650,0,65328.0,49.0215,0.5553
2025-08-05,AMD,35614056.0,22156732.0,62.21,83.8468,3356857,18577717,222158,0,51754.0,49.602,1.25
2025-08-06,AMD,74799010.0,43964494.0,58.78,84.7073,6120940,37241155,602399,0,226269.0,49.817,0.81
2025-08-07,AMD,54830323.0,28521637.0,52.02,84.5385,3696854,24111774,713009,0,81897.0,49.8585,-0.0284
2025-08-08,AMD,38731036.0,20121311.0,51.95,85.9111,2423699,17286437,411175,0,139697.0,49.3705,-0.0368
2025-08-11,AMD,39034338.0,19583297.0,50.17,89.7133,1456397,17568820,558080,0,67735.0,48.7905,-0.2597
2025-08-12,AMD,26708834.0,13475640.0,50.45,90.4732,904822,12191843,378975,0,51376.0,48.6185,-0.2212
2025-08-13,AMD,59599932.0,29647496.0,49.74,83.6533,4304399,24801115,541982,0,89803.0,48.2885,-0.3096
2025-08-14,AMD,37914166.0,18708359.0,49.34,90.3487,1281468,16902767,524124,0,78829.0,47.831,-0.3578
2025-08-15,AMD,25197404.0,12642678.0,50.17,84.5977,1626618,10695416,320644,0,65006.0,47.3065,-0.2456
2025-08-18,AMD,20826564.0,12605306.0,60.53,80.9585,2213119,10205069,187118,0,34723.0,47.9275,1.1095
2025-08-19,AMD,34008804.0,17737928.0,52.16,81.3852,3084217,14436043,217668,0,84592.0,48.3755,-0.0027
2025-08-20,AMD,31549060.0,15331164.0,48.59,82.7439,2455609,12685601,189954,0,69149.0,48.9365,-0.4761
2025-08-21,AMD,19919937.0,9210752.0,46.24,82.5425,1449679,7602781,158292,0,46906.0,49.2965,-0.7818
2025-08-22,AMD,23036234.0,9292414.0,40.34,89.2082,842469,8289591,160354,0,23603.0,48.9925,-1.5332
2025-08-25,AMD,20277061.0,10679685.0,52.67,81.7139,1837054,8726791,115840,0,42018.0,49.6805,0.1166
2025-08-26,AMD,29390673.0,17907069.0,60.93,80.4335,3249117,14403289,254663,0,78346.0,50.785,1.2055
2025-08-27,AMD,21408897.0,9552454.0,44.62,96.6907,232445,9236331,83678,0,27102.0,50.9165,-0.9715
2025-08-28,AMD,18673927.0,10098086.0,54.08,82.2466,1641947,8305337,150802,0,32060.0,51.5815,0.2985
2025-08-29,AMD,19166816.0,10310721.0,53.79,95.0595,378869,9801322,130530,0,40279.0,52.2545,0.2569
2025-09-02,AMD,19697569.0,9985481.0,50.69,94.2604,400638,9412359,172484,0,48590.0,51.9735,-0.1771
2025-09-03,AMD,15730988.0,9189150.0,58.41,95.1919,324812,8747330,117008,0,23762.0,51.7835,0.8647
2025-09-04,AMD,16273144.0,9729444.0,59.79,94.4994,372487,9194268,162689,0,14725.0,51.834,1.0287
2025-09-05,AMD,39819677.0,23144690.0,58.12,94.3614,944893,21839651,360146,0,71610.0,52.139,0.801
2025-09-08,AMD,21938673.0,11450704.0,52.19,94.5554,450347,10827255,173102,0,28889.0,52.151,-0.0483
2025-09-09,AMD,22267557.0,12296822.0,55.22,94.9438,452690,11675066,169066,0,23262.0,52.4035,0.4056
2025-09-10,AMD,26803071.0,14252588.0,53.18,94.2094,657637,13427282,167669,0,53202.0,52.54,0.1099
2025-09-11,AMD,22016172.0,11666100.0,52.99,93.4678,606673,10904048,155379,0,61139.0,52.7025,0.0818
2025-09-12,AMD,21406414.0,11404041.0,53.27,94.5587,467716,10783508,152817,0,55284.0,52.899,0.146
2025-09-15,AMD,18211210.0,9790378.0,53.76,94.2401,454274,9226460,109644,0,43866.0,53.0785,0.2247
2025-09-16,AMD,13126411.0,6927731.0,52.78,94.767,278930,6565205,83596,0,13477.0,52.691,0.0974
2025-09-17,AMD,21202188.0,11151173.0,52.59,94.7905,441916,10570253,139004,0,83000.0,52.7125,0.0766
2025-09-18,AMD,37684867.0,18822892.0,49.95,93.8642,874953,17667957,279982,0,60806.0,52.7805,-0.3093
2025-09-19,AMD,20381409.0,10368880.0,50.87,94.2696,448178,9774703,145999,0,49967.0,53.012,-0.149
2025-09-22,AMD,21762361.0,7920593.0,36.4,94.328,259472,7471334,189787,0,22540.0,52.815,-2.2463
2025-09-23,AMD,19427552.0,6990065.0,35.98,92.194,296480,6444418,249167,0,90939.0,51.9805,-2.1785
2025-09-24,AMD,20204346.0,7489754.0,37.07,85.7907,899358,6425511,164885,0,44544.0,50.7875,-1.9275
2025-09-25,AMD,17812638.0,6301228.0,35.38,93.8083,249415,5911073,140740,0,47935.0,50.3255,-2.0569
2025-09-26,AMD,15280229.0,5554535.0,36.35,94.8855,177125,5270449,106961,0,25419.0,49.439,-1.8398
2025-09-29,AMD,19230542.0,6828541.0,35.51,91.8277,383218,6270492,174831,0,42499.0,48.525,-1.8633
2025-09-30,AMD,15346403.0,5765792.0,37.57,93.0027,244225,5362345,159222,0,31422.0,47.869,-1.5376
2025-10-01,AMD,19021294.0,7114870.0,37.4,94.1258,284905,6696930,133035,0,40385.0,46.8185,-1.5018
2025-10-02,AMD,27493731.0,10962436.0,39.87,92.216,603992,10109115,249329,0,66957.0,45.8225,-1.1531
2025-10-03,AMD,21000410.0,8246514.0,39.27,92.5936,412181,7635745,198588,0,63490.0,44.88,-1.189
2025-10-06,AMD,109648863.0,50430112.0,45.99,92.0666,2612260,46429277,1388575,0,375138.0,44.57,-0.339
2025-10-07,AMD,59540019.0,32785125.0,55.06,92.5889,1764901,30355385,664839,0,118689.0,44.562,0.825
2025-10-08,AMD,87352440.0,51456951.0,58.91,92.553,2915696,47624930,916325,0,170353.0,44.8485,1.2914
