date,ticker,close,volume,short_interest,avg_daily_volume,days_to_cover,short_volume_ratio,call_volume,put_volume,put_call_volume_ratio,total_options_volume,rsi14,stoch20,dist_ma20,dist_ma50,dist_ma200,roc20,volume_surge,ma50_slope,price_exhaustion_score,options_fear_greed_score,short_pressure_score,trend_score,optix
2024-06-24,AMD,160.25,45954054.0,,,,61.98,,,,,,,,,,,,,50.0,50.0,17.5,50.0,45.125
2024-06-25,AMD,160.25,40975277.0,,,,62.5,,,,,,,,,,,,,50.0,50.0,17.5,50.0,45.125
2024-06-26,AMD,157.54,36973440.0,,,,57.54,,,,,,,,,,,,,50.0,50.0,60.83333333333333,50.0,51.625
2024-06-27,AMD,159.47,34018216.0,,,,55.16,,,,,,,,,,,,,50.0,50.0,66.25,50.0,52.4375
2024-06-28,AMD,162.21,56204617.0,41616896.0,51334018.0,1.0,48.99,,,,,,,,,,,,,50.0,50.0,52.0,50.0,50.3
2024-07-01,AMD,157.69,50436691.0,41616896.0,51334018.0,1.0,59.87,,,,,,,,,,,,,50.0,50.0,21.666666666666664,50.0,45.75
2024-07-02,AMD,164.31,57838610.0,41616896.0,51334018.0,1.0,60.18,,,,,,,,,,,,,50.0,50.0,18.57142857142857,50.0,45.285714285714285
2024-07-03,AMD,163.9,26980906.0,41616896.0,51334018.0,1.0,57.33,,,,,,,,,,,,,50.0,50.0,40.625,50.0,48.59375
2024-07-05,AMD,171.9,61857052.0,41616896.0,51334018.0,1.0,48.05,,,,,,,,,,,,,50.0,50.0,57.77777777777778,50.0,51.166666666666664
2024-07-08,AMD,178.69,60223422.0,41616896.0,51334018.0,1.0,45.22,,,,,,,,,,,,,50.0,50.0,58.5,50.0,51.275
2024-07-09,AMD,177.1,43471169.0,41616896.0,51334018.0,1.0,47.99,,,,,,,,,,,,,50.0,50.0,53.18181818181818,50.0,50.47727272727273
2024-07-10,AMD,183.96,90246965.0,41616896.0,51334018.0,1.0,48.1,,,,,,,,,,,,,50.0,50.0,43.33333333333333,50.0,49.0
2024-07-11,AMD,181.94,59231412.0,41616896.0,51334018.0,1.0,51.5,,,,,,,,,,,,,50.0,50.0,35.0,50.0,47.75
2024-07-12,AMD,181.61,50827368.0,41616896.0,51334018.0,1.0,46.67,,,,,,,,,,,,,50.0,50.0,55.714285714285715,50.0,50.85714285714286
2024-07-15,AMD,179.83,42202726.0,46204114.0,54071256.0,1.0,62.37,,,,,71.14470842332614,,,,,,,,55.286177105831534,50.0,4.333333333333337,50.0,45.52877969762419
2024-07-16,AMD,177.55,40633058.0,46204114.0,54071256.0,1.0,61.71,,,,,67.80568135034994,,,,,,,,54.451420337587486,50.0,12.1875,50.0,46.33126415191437
2024-07-17,AMD,159.43,76954198.0,46204114.0,54071256.0,1.0,58.42,,,,,51.476793248945164,,,,,,,,50.36919831223629,50.0,22.94117647058824,50.0,46.10731571109457
2024-07-18,AMD,155.77,69420335.0,46204114.0,54071256.0,1.0,57.9,,,,,47.18502738892271,,,,,,,,49.29625684723068,50.0,25.277777777777775,50.0,45.97498224792047
2024-07-19,AMD,151.58,47513063.0,46204114.0,54071256.0,1.0,48.77,,,,,42.08724132797381,,,,,,,,48.02181033199345,50.0,44.473684210526315,50.0,48.280867280976
2024-07-22,AMD,155.87,43912459.0,46204114.0,54071256.0,1.0,46.38,,,,,48.64057364804303,13.248919085855444,-0.06688417618270792,,,,0.8478331340966245,,50.472373183474616,50.0,58.5,50.0,51.48756793256357
2024-07-23,AMD,154.0,31950579.0,46204114.0,54071256.0,1.0,44.49,,,,,41.71088599453287,7.4737492279184305,-0.07635098662508244,,,-0.03900156006240252,0.6253345362933835,,44.796158805612826,50.0,61.904761904761905,50.0,49.44398574824006
2024-07-24,AMD,144.63,49203120.0,46204114.0,54071256.0,1.0,46.49,,,,,36.45818692902319,0.0,-0.12846717967568355,,,-0.0974726989079564,0.9553081909067717,,30.781213398922468,50.0,53.18181818181818,50.0,41.82881875678784
2024-07-25,AMD,138.32,60578529.0,46204114.0,54071256.0,1.0,36.62,,,,,25.827814569536415,0.0,-0.16163599776953474,,,-0.12200076171131147,1.1498200736061204,,23.956953642384104,50.0,62.173913043478265,50.0,40.106716095594585
2024-07-26,AMD,139.99,49435825.0,46204114.0,54071256.0,1.0,46.1,,,,,19.92539633198635,3.6590709903593677,-0.14647530088894833,,,-0.12215463723584363,0.9247928709927785,,25.14611683058643,50.0,54.166666666666664,50.0,39.440752573763895
2024-07-29,AMD,139.75,47447194.0,46204114.0,54071256.0,1.0,46.67,,,,,20.35243689474521,3.133216476774773,-0.14206432522361578,,,-0.13846248689969798,0.8949221876242406,,26.371413342879997,50.0,44.2,50.0,38.497136004296
2024-07-30,AMD,138.44,68801709.0,46204114.0,54071256.0,1.0,47.37,,,,,10.376044568245135,0.26292725679229734,-0.14505476182389154,,,-0.12207495719449557,1.2756060960179423,,26.231171527687927,50.0,42.5,50.0,38.17902718745957
2024-07-31,AMD,144.48,114306763.0,43316162.0,57958258.0,1.0,49.95,,,,,19.5248942401562,13.496932515337411,-0.10225740507154968,,,-0.12068650721197749,2.0138650332823214,,41.46974240315912,50.0,28.88888888888889,50.0,42.99471741475494
2024-08-01,AMD,132.54,94731931.0,43316162.0,57958258.0,1.0,55.24,,,,,16.42260845764335,0.0,-0.1683451612295993,,,-0.19133618059792568,1.574995127577645,,15.702874336633059,50.0,23.21428571428571,50.0,30.548436308627736
2024-08-02,AMD,132.5,78561997.0,43316162.0,57958258.0,1.0,54.54,,,,,16.823216038132628,0.0,-0.15819033157771034,,,-0.22920302501454337,1.2882671391325333,,19.372470676199825,50.0,26.896551724137932,50.0,32.752094562910614
2024-08-05,AMD,134.82,76089361.0,43316162.0,57958258.0,1.0,48.49,,,,,20.06445285133809,4.508356004663803,-0.13134521650328124,,,-0.2455089820359282,1.2316980011459324,,27.8704749412732,50.0,36.833333333333336,50.0,38.06671372357294
2024-08-06,AMD,130.18,64455613.0,43316162.0,57958258.0,1.0,51.16,,,,,24.736569355674547,0.0,-0.1483682728256993,,,-0.2649350649350649,1.0259514093707311,,21.714445369221668,50.0,29.354838709677423,50.0,34.174726222601365
2024-08-07,AMD,128.67,54676492.0,43316162.0,57958258.0,1.0,60.27,,,,,25.690706853247207,0.0,-0.14274292947799738,,,-0.3005544683626876,0.8956504446876892,,25.94190748254257,50.0,8.125,50.0,32.892608367144156
2024-08-08,AMD,136.32,49037454.0,43316162.0,57958258.0,1.0,61.81,,,,,37.11148648648647,14.450321118247075,-0.07775988742608975,,,-0.2507420028580851,0.8100411839613026,,40.99484750557899,50.0,5.909090909090911,50.0,39.33404501387418
2024-08-09,AMD,134.27,40582992.0,43316162.0,57958258.0,1.0,63.51,,,,,31.03932584269664,10.946051602814737,-0.07684586137905902,,,-0.2606684653928748,0.6761040828246474,,38.543963408996895,50.0,0.0,50.0,37.3447835340486
2024-08-12,AMD,136.77,39724343.0,43316162.0,57958258.0,1.0,54.74,,,,,35.040805695433235,16.57119476268416,-0.045528773012128876,,,-0.2394483679030195,0.6631682605943623,,46.40300011452935,50.0,27.857142857142858,50.0,45.05992148010964
2024-08-13,AMD,141.13,42218019.0,43316162.0,57958258.0,1.0,51.16,,,,,46.67173830353747,40.507152145643694,-0.00242449089225516,,,-0.20512531681216561,0.7038671133365989,,56.79472261229529,50.0,32.5,50.0,50.43262517553288
2024-08-14,AMD,140.75,35506434.0,43316162.0,57958258.0,1.0,63.6,,,,,52.604501607717054,44.411764705882376,0.001501362611090018,,,-0.11716740889418553,0.6131555475446477,,64.98936069604692,50.0,0.0,50.0,49.24521231322112
2024-08-15,AMD,147.36,43582387.0,48226352.0,55958872.0,1.0,62.56,,,,,57.14285714285715,68.71323529411771,0.05168125550873004,,,-0.05398985684021307,0.7697917690600264,,73.13068977591038,50.0,3.421052631578943,50.0,53.42196829389652
2024-08-16,AMD,148.56,31123927.0,48226352.0,55958872.0,1.0,67.0,,,,,58.38249286393911,73.125,0.06138925107614246,,,-0.019923472753661464,0.5578128933164532,,75.37687321598477,50.0,0.0,50.0,53.91959294719315
2024-08-19,AMD,155.28,60766854.0,48226352.0,55958872.0,1.0,65.14,,,,,64.52726017943411,100.0,0.10963426660378128,,,-0.0037852056200680106,1.0728786225090996,,83.63181504485853,50.0,1.625,50.0,57.87806677018634
