Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,11.2042,11.2042,11.2042,11.2042,220
02/19/2026,1600,32.2616,32.2616,32.2616,32.2616,833
02/20/2026,1600,32.1758,32.1758,32.1758,32.1758,745
02/23/2026,1600,37.1535,37.1535,37.1535,37.1535,595
02/24/2026,1600,40.9013,40.9013,40.9013,40.9013,794
02/25/2026,1600,60.7767,60.7767,60.7767,60.7767,686
02/26/2026,1600,40.4948,40.4948,40.4948,40.4948,583
02/27/2026,1600,24.8154,24.8154,24.8154,24.8154,631
03/02/2026,1600,38.4302,38.4302,38.4302,38.4302,490
03/03/2026,1600,23.2686,23.2686,23.2686,23.2686,700
03/04/2026,1600,23.0276,23.0276,23.0276,23.0276,394
03/05/2026,1600,21.8036,21.8036,21.8036,21.8036,401
03/06/2026,1600,22.8663,22.8663,22.8663,22.8663,416
03/09/2026,1600,17.0367,17.0367,17.0367,17.0367,379
03/10/2026,1600,15.5162,15.5162,15.5162,15.5162,392
03/11/2026,1600,26.6842,26.6842,26.6842,26.6842,556
03/12/2026,1600,21.4264,21.4264,21.4264,21.4264,548
03/13/2026,1600,19.6208,19.6208,19.6208,19.6208,331
03/16/2026,1600,11.7720,11.7720,11.7720,11.7720,364
03/17/2026,1600,34.2528,34.2528,34.2528,34.2528,476
03/18/2026,1600,32.2826,32.2826,32.2826,32.2826,423
03/19/2026,1600,20.2840,20.2840,20.2840,20.2840,271
03/20/2026,1600,5.4278,5.4278,5.4278,5.4278,448
03/23/2026,1600,8.1851,8.1851,8.1851,8.1851,307
03/24/2026,1600,10.9763,10.9763,10.9763,10.9763,291
03/25/2026,1600,9.7344,9.7344,9.7344,9.7344,185
03/26/2026,1600,13.8147,13.8147,13.8147,13.8147,225
03/27/2026,1600,13.9720,13.9720,13.9720,13.9720,226
03/30/2026,1600,14.4983,14.4983,14.4983,14.4983,240
03/31/2026,1600,7.9673,7.9673,7.9673,7.9673,262
04/01/2026,1600,20.5473,20.5473,20.5473,20.5473,278
04/02/2026,1600,34.4234,34.4234,34.4234,34.4234,650
04/06/2026,1600,30.4855,30.4855,30.4855,30.4855,248
04/07/2026,1600,7.1495,7.1495,7.1495,7.1495,171
04/08/2026,1600,25.1769,25.1769,25.1769,25.1769,306
04/09/2026,1600,12.2050,12.2050,12.2050,12.2050,203
04/10/2026,1600,21.3097,21.3097,21.3097,21.3097,188
04/13/2026,1600,19.3957,19.3957,19.3957,19.3957,285
04/14/2026,1600,33.1304,33.1304,33.1304,33.1304,434
04/15/2026,1600,40.7824,40.7824,40.7824,40.7824,759
04/16/2026,1600,17.4785,17.4785,17.4785,17.4785,388
04/17/2026,1600,19.1159,19.1159,19.1159,19.1159,434
04/20/2026,1600,18.9168,18.9168,18.9168,18.9168,187
04/21/2026,1600,15.2745,15.2745,15.2745,15.2745,279
04/22/2026,1600,22.6208,22.6208,22.6208,22.6208,275
04/23/2026,1600,26.5434,26.5434,26.5434,26.5434,334
04/24/2026,1600,19.7351,19.7351,19.7351,19.7351,285
04/27/2026,1600,27.7579,27.7579,27.7579,27.7579,329
04/28/2026,1600,19.0157,19.0157,19.0157,19.0157,281
04/29/2026,1600,26.3015,26.3015,26.3015,26.3015,334
04/30/2026,1600,28.4834,28.4834,28.4834,28.4834,803
05/01/2026,1600,30.6744,30.6744,30.6744,30.6744,620
05/04/2026,1600,27.8442,27.8442,27.8442,27.8442,474
05/05/2026,1600,35.7086,35.7086,35.7086,35.7086,610
05/06/2026,1600,32.1031,32.1031,32.1031,32.1031,641
05/07/2026,1600,32.6444,32.6444,32.6444,32.6444,357
05/08/2026,1600,25.8203,25.8203,25.8203,25.8203,278
05/11/2026,1600,18.9337,18.9337,18.9337,18.9337,374
05/12/2026,1600,46.2595,46.2595,46.2595,46.2595,455
