Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,28.6234,28.6234,28.6234,28.6234,220
02/19/2026,1600,40.8698,40.8698,40.8698,40.8698,833
02/20/2026,1600,40.7643,40.7643,40.7643,40.7643,745
02/23/2026,1600,42.7126,42.7126,42.7126,42.7126,595
02/24/2026,1600,44.6065,44.6065,44.6065,44.6065,794
02/25/2026,1600,51.2162,51.2162,51.2162,51.2162,686
02/26/2026,1600,44.0443,44.0443,44.0443,44.0443,583
02/27/2026,1600,37.7543,37.7543,37.7543,37.7543,631
03/02/2026,1600,46.0417,46.0417,46.0417,46.0417,490
03/03/2026,1600,38.7515,38.7515,38.7515,38.7515,700
03/04/2026,1600,38.5928,38.5928,38.5928,38.5928,394
03/05/2026,1600,36.2758,36.2758,36.2758,36.2758,401
03/06/2026,1600,36.2735,36.2735,36.2735,36.2735,416
03/09/2026,1600,34.3064,34.3064,34.3064,34.3064,379
03/10/2026,1600,33.0384,33.0384,33.0384,33.0384,392
03/11/2026,1600,39.7030,39.7030,39.7030,39.7030,556
03/12/2026,1600,42.7193,42.7193,42.7193,42.7193,548
03/13/2026,1600,39.3945,39.3945,39.3945,39.3945,331
03/16/2026,1600,35.8070,35.8070,35.8070,35.8070,364
03/17/2026,1600,39.6724,39.6724,39.6724,39.6724,476
03/18/2026,1600,42.8749,42.8749,42.8749,42.8749,423
03/19/2026,1600,38.4298,38.4298,38.4298,38.4298,271
03/20/2026,1600,21.0995,21.0995,21.0995,21.0995,448
03/23/2026,1600,28.7356,28.7356,28.7356,28.7356,307
03/24/2026,1600,32.7337,32.7337,32.7337,32.7337,291
03/25/2026,1600,32.9061,32.9061,32.9061,32.9061,185
03/26/2026,1600,28.9819,28.9819,28.9819,28.9819,225
03/27/2026,1600,29.1885,29.1885,29.1885,29.1885,226
03/30/2026,1600,33.0386,33.0386,33.0386,33.0386,240
03/31/2026,1600,25.0660,25.0660,25.0660,25.0660,262
04/01/2026,1600,39.3133,39.3133,39.3133,39.3133,278
04/02/2026,1600,38.8502,38.8502,38.8502,38.8502,650
04/06/2026,1600,37.8569,37.8569,37.8569,37.8569,248
04/07/2026,1600,33.5395,33.5395,33.5395,33.5395,171
04/08/2026,1600,41.7342,41.7342,41.7342,41.7342,306
04/09/2026,1600,36.3682,36.3682,36.3682,36.3682,203
04/10/2026,1600,42.0366,42.0366,42.0366,42.0366,188
04/13/2026,1600,33.2437,33.2437,33.2437,33.2437,285
04/14/2026,1600,42.6065,42.6065,42.6065,42.6065,434
04/15/2026,1600,43.0606,43.0606,43.0606,43.0606,759
04/16/2026,1600,34.5067,34.5067,34.5067,34.5067,388
04/17/2026,1600,33.8218,33.8218,33.8218,33.8218,434
04/20/2026,1600,37.3632,37.3632,37.3632,37.3632,187
04/21/2026,1600,36.3351,36.3351,36.3351,36.3351,279
04/22/2026,1600,35.7416,35.7416,35.7416,35.7416,275
04/23/2026,1600,38.3729,38.3729,38.3729,38.3729,334
04/24/2026,1600,33.3446,33.3446,33.3446,33.3446,285
04/27/2026,1600,37.7258,37.7258,37.7258,37.7258,329
04/28/2026,1600,33.9065,33.9065,33.9065,33.9065,281
04/29/2026,1600,39.8909,39.8909,39.8909,39.8909,334
04/30/2026,1600,34.0658,34.0658,34.0658,34.0658,803
05/01/2026,1600,35.5778,35.5778,35.5778,35.5778,620
05/04/2026,1600,38.1967,38.1967,38.1967,38.1967,474
05/05/2026,1600,36.9785,36.9785,36.9785,36.9785,610
05/06/2026,1600,35.4715,35.4715,35.4715,35.4715,641
05/07/2026,1600,36.4401,36.4401,36.4401,36.4401,357
05/08/2026,1600,36.7392,36.7392,36.7392,36.7392,278
05/11/2026,1600,31.5686,31.5686,31.5686,31.5686,374
05/12/2026,1600,37.3051,37.3051,37.3051,37.3051,455
