Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,29.4829,29.4829,29.4829,29.4829,220
02/19/2026,1600,42.3746,42.3746,42.3746,42.3746,833
02/20/2026,1600,41.7590,41.7590,41.7590,41.7590,745
02/23/2026,1600,44.4482,44.4482,44.4482,44.4482,595
02/24/2026,1600,48.2379,48.2379,48.2379,48.2379,794
02/25/2026,1600,52.8122,52.8122,52.8122,52.8122,686
02/26/2026,1600,45.1536,45.1536,45.1536,45.1536,583
02/27/2026,1600,38.8917,38.8917,38.8917,38.8917,631
03/02/2026,1600,47.7682,47.7682,47.7682,47.7682,490
03/03/2026,1600,40.6618,40.6618,40.6618,40.6618,700
03/04/2026,1600,40.8763,40.8763,40.8763,40.8763,394
03/05/2026,1600,38.4033,38.4033,38.4033,38.4033,401
03/06/2026,1600,38.1096,38.1096,38.1096,38.1096,416
03/09/2026,1600,35.7351,35.7351,35.7351,35.7351,379
03/10/2026,1600,34.2709,34.2709,34.2709,34.2709,392
03/11/2026,1600,42.1252,42.1252,42.1252,42.1252,556
03/12/2026,1600,44.5575,44.5575,44.5575,44.5575,548
03/13/2026,1600,41.9604,41.9604,41.9604,41.9604,331
03/16/2026,1600,37.7833,37.7833,37.7833,37.7833,364
03/17/2026,1600,41.3078,41.3078,41.3078,41.3078,476
03/18/2026,1600,44.5422,44.5422,44.5422,44.5422,423
03/19/2026,1600,40.0857,40.0857,40.0857,40.0857,271
03/20/2026,1600,21.9836,21.9836,21.9836,21.9836,448
03/23/2026,1600,29.6241,29.6241,29.6241,29.6241,307
03/24/2026,1600,33.8305,33.8305,33.8305,33.8305,291
03/25/2026,1600,34.4191,34.4191,34.4191,34.4191,185
03/26/2026,1600,32.2520,32.2520,32.2520,32.2520,225
03/27/2026,1600,30.0810,30.0810,30.0810,30.0810,226
03/30/2026,1600,34.9243,34.9243,34.9243,34.9243,240
03/31/2026,1600,26.0940,26.0940,26.0940,26.0940,262
04/01/2026,1600,40.5921,40.5921,40.5921,40.5921,278
04/02/2026,1600,40.7630,40.7630,40.7630,40.7630,650
04/06/2026,1600,38.6998,38.6998,38.6998,38.6998,248
04/07/2026,1600,34.5510,34.5510,34.5510,34.5510,171
04/08/2026,1600,43.3161,43.3161,43.3161,43.3161,306
04/09/2026,1600,37.7409,37.7409,37.7409,37.7409,203
04/10/2026,1600,43.9983,43.9983,43.9983,43.9983,188
04/13/2026,1600,35.4677,35.4677,35.4677,35.4677,285
04/14/2026,1600,44.3358,44.3358,44.3358,44.3358,434
04/15/2026,1600,44.6558,44.6558,44.6558,44.6558,759
04/16/2026,1600,35.8617,35.8617,35.8617,35.8617,388
04/17/2026,1600,35.2736,35.2736,35.2736,35.2736,434
04/20/2026,1600,39.3039,39.3039,39.3039,39.3039,187
04/21/2026,1600,38.1723,38.1723,38.1723,38.1723,279
04/22/2026,1600,37.0016,37.0016,37.0016,37.0016,275
04/23/2026,1600,40.5631,40.5631,40.5631,40.5631,334
04/24/2026,1600,35.0769,35.0769,35.0769,35.0769,285
04/27/2026,1600,39.5434,39.5434,39.5434,39.5434,329
04/28/2026,1600,36.7107,36.7107,36.7107,36.7107,281
04/29/2026,1600,42.1877,42.1877,42.1877,42.1877,334
04/30/2026,1600,36.4960,36.4960,36.4960,36.4960,803
05/01/2026,1600,39.6011,39.6011,39.6011,39.6011,620
05/04/2026,1600,41.0171,41.0171,41.0171,41.0171,474
05/05/2026,1600,39.0852,39.0852,39.0852,39.0852,610
05/06/2026,1600,37.1255,37.1255,37.1255,37.1255,641
05/07/2026,1600,38.3779,38.3779,38.3779,38.3779,357
05/08/2026,1600,39.5759,39.5759,39.5759,39.5759,278
05/11/2026,1600,33.9992,33.9992,33.9992,33.9992,374
05/12/2026,1600,38.8041,38.8041,38.8041,38.8041,455
