date,trades,notional_$,dark_trades,dark_notional_$,dark_pct_by_notional,block_notional_$,block_dark_notional_$,block_dark_pct,trf_201_NYSE_$,trf_202_Carteret_$,trf_203_Chicago_$,carteret_pct_of_total
2026-02-18,61750,220741006,28414,65080882,29.4829,95878838,10742503,11.2042,1662383,63183645,234854,28.6234
2026-02-19,180120,833143384,71122,353041151,42.3746,277777638,89615535,32.2616,10741502,340503895,1795754,40.8698
2026-02-20,182362,745470314,66018,311300641,41.7590,231992830,74645502,32.1758,6219347,303885391,1195903,40.7643
2026-02-23,162051,595841700,75727,264841137,44.4482,170867764,63483379,37.1535,9104193,254499637,1237307,42.7126
2026-02-24,168800,794396685,75828,383200370,48.2379,241616386,98824131,40.9013,26855136,354352883,1992352,44.6065
2026-02-25,154815,686623463,64183,362620995,52.8122,254596382,154735292,60.7767,9309635,351662241,1649119,51.2162
2026-02-26,122776,583988306,51306,263691604,45.1536,182607674,73946579,40.4948,5371141,257213694,1106768,44.0443
2026-02-27,124330,631288638,54172,245518743,38.8917,273311066,67823264,24.8154,6453850,238338406,726488,37.7543
2026-03-02,100085,490861408,41837,234475842,47.7682,161104986,61912977,38.4302,7070509,226001094,1404238,46.0417
2026-03-03,166533,700580551,72783,284868701,40.6618,205246219,47757965,23.2686,11099395,271485331,2283976,38.7515
2026-03-04,108011,394959250,50827,161444703,40.8763,126731153,29183150,23.0276,7846857,152425973,1171874,38.5928
2026-03-05,117351,401129052,47200,154046669,38.4033,103675937,22605038,21.8036,7630549,145512641,903479,36.2758
2026-03-06,112580,416385281,47752,158682695,38.1096,122479875,28006591,22.8663,6860579,151037377,784739,36.2735
2026-03-09,117608,379804709,49310,135723661,35.7351,123703523,21074937,17.0367,4831876,130297456,594328,34.3064
2026-03-10,126021,392965321,56033,134672705,34.2709,112067945,17388687,15.5162,3991804,129829316,851585,33.0384
2026-03-11,165515,556710299,76129,234515403,42.1252,160486970,42824713,26.6842,11744403,221030730,1740270,39.7030
2026-03-12,147820,548297602,71334,244307474,44.5575,178553370,38257561,21.4264,8836113,234228631,1242730,42.7193
2026-03-13,103737,331686090,51572,139176697,41.9604,91217854,17897642,19.6208,6637391,130666082,1873224,39.3945
2026-03-16,99816,364252222,45427,137626540,37.7833,116291790,13689835,11.7720,5939597,130427628,1259315,35.8070
2026-03-17,128321,476830137,60186,196967979,41.3078,152106794,52100882,34.2528,5721504,189169978,2076497,39.6724
2026-03-18,90493,423719989,43895,188734143,44.5422,162474214,52450881,32.2826,5936211,181669372,1128560,42.8749
2026-03-19,78048,271474841,35783,108822559,40.0857,89085288,18070058,20.2840,3881373,104327112,614074,38.4298
2026-03-20,89740,448064220,40000,98500627,21.9836,272659935,14799365,5.4278,2809302,94539302,1152023,21.0995
2026-03-23,81783,307297739,32505,91034057,29.6241,103399045,8463328,8.1851,2199555,88303721,530781,28.7356
2026-03-24,93598,291294594,43309,98546545,33.8305,93453058,10257727,10.9763,2891914,95351559,303072,32.7337
2026-03-25,55605,185540885,24996,63861592,34.4191,59236257,5766313,9.7344,2444293,61054281,363019,32.9061
2026-03-26,60889,225610447,26519,72763870,32.2520,79941145,11043604,13.8147,7108077,65386140,269654,28.9819
2026-03-27,62696,226412134,24091,68107066,30.0810,80852078,11296629,13.9720,1891859,66086217,128990,29.1885
