time,open,high,low,close,volume
2025-06-17,47.5400,47.5400,47.5400,47.5400,0
2025-06-18,33.1400,33.1400,33.1400,33.1400,0
2025-06-20,50.1100,50.1100,50.1100,50.1100,0
2025-06-23,54.1500,54.1500,54.1500,54.1500,0
2025-06-24,43.1500,43.1500,43.1500,43.1500,0
2025-06-25,51.0500,51.0500,51.0500,51.0500,0
2025-06-26,35.8700,35.8700,35.8700,35.8700,0
2025-06-27,70.7200,70.7200,70.7200,70.7200,0
2025-06-30,61.9700,61.9700,61.9700,61.9700,0
2025-07-01,70.9400,70.9400,70.9400,70.9400,0
2025-07-02,63.5700,63.5700,63.5700,63.5700,0
2025-07-03,66.9400,66.9400,66.9400,66.9400,0
2025-07-07,63.5800,63.5800,63.5800,63.5800,0
2025-07-08,64.7700,64.7700,64.7700,64.7700,0
2025-07-09,58.9600,58.9600,58.9600,58.9600,0
2025-07-10,56.0900,56.0900,56.0900,56.0900,0
2025-07-11,58.4600,58.4600,58.4600,58.4600,0
2025-07-14,33.6900,33.6900,33.6900,33.6900,0
2025-07-15,53.0600,53.0600,53.0600,53.0600,0
2025-07-16,53.1300,53.1300,53.1300,53.1300,0
2025-07-17,65.1300,65.1300,65.1300,65.1300,0
2025-07-18,61.4600,61.4600,61.4600,61.4600,0
2025-07-21,49.1900,49.1900,49.1900,49.1900,0
2025-07-22,66.2500,66.2500,66.2500,66.2500,0
2025-07-23,51.6600,51.6600,51.6600,51.6600,0
2025-07-24,56.5800,56.5800,56.5800,56.5800,0
2025-07-25,72.5400,72.5400,72.5400,72.5400,0
2025-07-28,56.8600,56.8600,56.8600,56.8600,0
2025-07-29,56.2600,56.2600,56.2600,56.2600,0
2025-07-30,56.5400,56.5400,56.5400,56.5400,0
2025-07-31,55.5300,55.5300,55.5300,55.5300,0
2025-08-01,79.8500,79.8500,79.8500,79.8500,0
2025-08-04,68.9700,68.9700,68.9700,68.9700,0
2025-08-05,63.7000,63.7000,63.7000,63.7000,0
2025-08-06,56.9900,56.9900,56.9900,56.9900,0
2025-08-07,83.0300,83.0300,83.0300,83.0300,0
2025-08-08,72.5300,72.5300,72.5300,72.5300,0
2025-08-11,66.7200,66.7200,66.7200,66.7200,0
2025-08-12,67.2000,67.2000,67.2000,67.2000,0
2025-08-13,79.1900,79.1900,79.1900,79.1900,0
2025-08-14,68.7500,68.7500,68.7500,68.7500,0
2025-08-15,65.5900,65.5900,65.5900,65.5900,0
2025-08-18,73.5900,73.5900,73.5900,73.5900,0
2025-08-19,78.9300,78.9300,78.9300,78.9300,0
2025-08-20,78.4000,78.4000,78.4000,78.4000,0
2025-08-21,45.5900,45.5900,45.5900,45.5900,0
2025-08-22,58.7500,58.7500,58.7500,58.7500,0
2025-08-25,56.9000,56.9000,56.9000,56.9000,0
2025-08-26,65.8500,65.8500,65.8500,65.8500,0
2025-08-27,47.4200,47.4200,47.4200,47.4200,0
2025-08-28,61.1700,61.1700,61.1700,61.1700,0
2025-08-29,40.7800,40.7800,40.7800,40.7800,0
2025-09-02,55.6100,55.6100,55.6100,55.6100,0
2025-09-03,49.2900,49.2900,49.2900,49.2900,0
2025-09-04,33.6500,33.6500,33.6500,33.6500,0
2025-09-05,59.1600,59.1600,59.1600,59.1600,0
2025-09-08,25.7500,25.7500,25.7500,25.7500,0
2025-09-09,48.1400,48.1400,48.1400,48.1400,0
2025-09-10,73.2100,73.2100,73.2100,73.2100,0
2025-09-11,78.6200,78.6200,78.6200,78.6200,0
2025-09-12,62.5100,62.5100,62.5100,62.5100,0
2025-09-15,70.9200,70.9200,70.9200,70.9200,0
2025-09-16,74.8600,74.8600,74.8600,74.8600,0
2025-09-17,79.8300,79.8300,79.8300,79.8300,0
2025-09-18,78.8800,78.8800,78.8800,78.8800,0
2025-09-19,81.2600,81.2600,81.2600,81.2600,0
2025-09-22,61.7000,61.7000,61.7000,61.7000,0
2025-09-23,63.6700,63.6700,63.6700,63.6700,0
2025-09-24,71.9000,71.9000,71.9000,71.9000,0
2025-09-25,61.5200,61.5200,61.5200,61.5200,0
2025-09-26,80.8200,80.8200,80.8200,80.8200,0
2025-09-29,66.8800,66.8800,66.8800,66.8800,0
2025-09-30,80.2100,80.2100,80.2100,80.2100,0
2025-10-01,66.1600,66.1600,66.1600,66.1600,0
2025-10-02,29.1900,29.1900,29.1900,29.1900,0
2025-10-03,48.1800,48.1800,48.1800,48.1800,0
2025-10-06,34.1200,34.1200,34.1200,34.1200,0
2025-10-07,48.5500,48.5500,48.5500,48.5500,0
2025-10-08,53.0000,53.0000,53.0000,53.0000,0
2025-10-09,62.8400,62.8400,62.8400,62.8400,0
2025-10-10,48.4100,48.4100,48.4100,48.4100,0
2025-10-13,56.7100,56.7100,56.7100,56.7100,0
2025-10-14,52.3500,52.3500,52.3500,52.3500,0
2025-10-15,52.9800,52.9800,52.9800,52.9800,0
2025-10-16,68.4400,68.4400,68.4400,68.4400,0
2025-10-17,77.5400,77.5400,77.5400,77.5400,0
2025-10-20,61.0400,61.0400,61.0400,61.0400,0
2025-10-21,57.9000,57.9000,57.9000,57.9000,0
2025-10-22,56.0500,56.0500,56.0500,56.0500,0
2025-10-23,48.5800,48.5800,48.5800,48.5800,0
2025-10-24,38.5300,38.5300,38.5300,38.5300,0
2025-10-27,48.3500,48.3500,48.3500,48.3500,0
2025-10-28,53.3400,53.3400,53.3400,53.3400,0
2025-10-29,43.9200,43.9200,43.9200,43.9200,0
2025-10-30,63.6400,63.6400,63.6400,63.6400,0
2025-10-31,25.8500,25.8500,25.8500,25.8500,0
2025-11-03,65.8500,65.8500,65.8500,65.8500,0
2025-11-04,66.2900,66.2900,66.2900,66.2900,0
2025-11-05,54.4800,54.4800,54.4800,54.4800,0
2025-11-06,67.3600,67.3600,67.3600,67.3600,0
2025-11-07,56.5000,56.5000,56.5000,56.5000,0
2025-11-10,39.3800,39.3800,39.3800,39.3800,0
2025-11-11,48.5700,48.5700,48.5700,48.5700,0
2025-11-12,37.7700,37.7700,37.7700,37.7700,0
2025-11-13,32.0800,32.0800,32.0800,32.0800,0
2025-11-14,37.1200,37.1200,37.1200,37.1200,0
2025-11-17,39.6700,39.6700,39.6700,39.6700,0
2025-11-18,59.5100,59.5100,59.5100,59.5100,0
2025-11-19,57.3700,57.3700,57.3700,57.3700,0
2025-11-20,56.2300,56.2300,56.2300,56.2300,0
2025-11-21,47.5300,47.5300,47.5300,47.5300,0
2025-11-24,53.1500,53.1500,53.1500,53.1500,0
2025-11-25,46.3700,46.3700,46.3700,46.3700,0
2025-11-26,66.7300,66.7300,66.7300,66.7300,0
2025-11-28,73.4600,73.4600,73.4600,73.4600,0
2025-12-01,69.7500,69.7500,69.7500,69.7500,0
2025-12-02,48.2300,48.2300,48.2300,48.2300,0
2025-12-03,65.4800,65.4800,65.4800,65.4800,0
2025-12-04,57.6500,57.6500,57.6500,57.6500,0
2025-12-05,56.3400,56.3400,56.3400,56.3400,0
2025-12-08,61.5100,61.5100,61.5100,61.5100,0
2025-12-09,56.0400,56.0400,56.0400,56.0400,0
2025-12-10,71.4200,71.4200,71.4200,71.4200,0
2025-12-11,68.9900,68.9900,68.9900,68.9900,0
2025-12-12,68.3700,68.3700,68.3700,68.3700,0
2025-12-15,64.4600,64.4600,64.4600,64.4600,0
2025-12-16,55.4100,55.4100,55.4100,55.4100,0
2025-12-17,78.0500,78.0500,78.0500,78.0500,0
2025-12-18,62.0300,62.0300,62.0300,62.0300,0
2025-12-19,65.3300,65.3300,65.3300,65.3300,0
2025-12-22,51.1200,51.1200,51.1200,51.1200,0
2025-12-23,64.3100,64.3100,64.3100,64.3100,0
2025-12-24,83.3100,83.3100,83.3100,83.3100,0
2025-12-26,58.5300,58.5300,58.5300,58.5300,0
2025-12-29,38.8600,38.8600,38.8600,38.8600,0
2025-12-30,44.4500,44.4500,44.4500,44.4500,0
2025-12-31,39.3000,39.3000,39.3000,39.3000,0
2026-01-02,63.0700,63.0700,63.0700,63.0700,0
2026-01-05,55.3500,55.3500,55.3500,55.3500,0
2026-01-06,62.8400,62.8400,62.8400,62.8400,0
2026-01-07,71.7900,71.7900,71.7900,71.7900,0
2026-01-08,65.3900,65.3900,65.3900,65.3900,0
2026-01-09,48.0600,48.0600,48.0600,48.0600,0
2026-01-12,68.7300,68.7300,68.7300,68.7300,0
2026-01-13,72.9700,72.9700,72.9700,72.9700,0
2026-01-14,66.9900,66.9900,66.9900,66.9900,0
2026-01-15,64.0400,64.0400,64.0400,64.0400,0
2026-01-16,54.9000,54.9000,54.9000,54.9000,0
2026-01-20,52.0800,52.0800,52.0800,52.0800,0
2026-01-21,74.1600,74.1600,74.1600,74.1600,0
2026-01-22,73.9400,73.9400,73.9400,73.9400,0
2026-01-23,71.5600,71.5600,71.5600,71.5600,0
2026-01-26,59.8100,59.8100,59.8100,59.8100,0
2026-01-27,57.3800,57.3800,57.3800,57.3800,0
2026-01-28,71.7300,71.7300,71.7300,71.7300,0
2026-01-29,61.9000,61.9000,61.9000,61.9000,0
2026-01-30,57.7900,57.7900,57.7900,57.7900,0
2026-02-02,57.8800,57.8800,57.8800,57.8800,0
2026-02-03,61.7900,61.7900,61.7900,61.7900,0
2026-02-04,42.4400,42.4400,42.4400,42.4400,0
2026-02-05,49.8700,49.8700,49.8700,49.8700,0
2026-02-06,44.1700,44.1700,44.1700,44.1700,0
2026-02-09,33.9300,33.9300,33.9300,33.9300,0
2026-02-10,49.5900,49.5900,49.5900,49.5900,0
2026-02-11,63.5300,63.5300,63.5300,63.5300,0
2026-02-12,72.0500,72.0500,72.0500,72.0500,0
2026-02-13,60.5100,60.5100,60.5100,60.5100,0
2026-02-17,77.0400,77.0400,77.0400,77.0400,0
2026-02-18,61.9200,61.9200,61.9200,61.9200,0
2026-02-19,74.2600,74.2600,74.2600,74.2600,0
2026-02-20,61.5800,61.5800,61.5800,61.5800,0
2026-02-23,60.6900,60.6900,60.6900,60.6900,0
2026-02-24,43.4000,43.4000,43.4000,43.4000,0
2026-02-25,49.7500,49.7500,49.7500,49.7500,0
2026-02-26,47.9900,47.9900,47.9900,47.9900,0
2026-02-27,41.6800,41.6800,41.6800,41.6800,0
2026-03-02,34.3600,34.3600,34.3600,34.3600,0
2026-03-03,50.5300,50.5300,50.5300,50.5300,0
2026-03-04,53.3100,53.3100,53.3100,53.3100,0
2026-03-05,35.3800,35.3800,35.3800,35.3800,0
2026-03-06,46.5100,46.5100,46.5100,46.5100,0
2026-03-09,34.0200,34.0200,34.0200,34.0200,0
2026-03-10,36.7600,36.7600,36.7600,36.7600,0
2026-03-11,46.0000,46.0000,46.0000,46.0000,0
2026-03-12,38.6900,38.6900,38.6900,38.6900,0
2026-03-13,31.1000,31.1000,31.1000,31.1000,0
2026-03-16,29.6700,29.6700,29.6700,29.6700,0
2026-03-17,22.5100,22.5100,22.5100,22.5100,0
2026-03-18,19.5600,19.5600,19.5600,19.5600,0
2026-03-19,28.7300,28.7300,28.7300,28.7300,0
2026-03-20,25.7200,25.7200,25.7200,25.7200,0
2026-03-23,27.3000,27.3000,27.3000,27.3000,0
2026-03-24,32.8400,32.8400,32.8400,32.8400,0
2026-03-25,31.6900,31.6900,31.6900,31.6900,0
2026-03-26,36.5400,36.5400,36.5400,36.5400,0
2026-03-27,41.1400,41.1400,41.1400,41.1400,0
2026-03-30,51.8900,51.8900,51.8900,51.8900,0
2026-03-31,49.0900,49.0900,49.0900,49.0900,0
2026-04-01,59.8000,59.8000,59.8000,59.8000,0
2026-04-02,57.2200,57.2200,57.2200,57.2200,0
2026-04-06,48.1100,48.1100,48.1100,48.1100,0
2026-04-07,66.2200,66.2200,66.2200,66.2200,0
2026-04-08,59.2200,59.2200,59.2200,59.2200,0
2026-04-09,60.6300,60.6300,60.6300,60.6300,0
2026-04-10,63.2800,63.2800,63.2800,63.2800,0
2026-04-13,46.9500,46.9500,46.9500,46.9500,0
2026-04-14,45.2600,45.2600,45.2600,45.2600,0
2026-04-15,57.0400,57.0400,57.0400,57.0400,0
2026-04-16,61.1800,61.1800,61.1800,61.1800,0
2026-04-17,58.5100,58.5100,58.5100,58.5100,0
2026-04-20,54.2800,54.2800,54.2800,54.2800,0
2026-04-21,55.0000,55.0000,55.0000,55.0000,0
2026-04-22,60.6100,60.6100,60.6100,60.6100,0
2026-04-23,60.7100,60.7100,60.7100,60.7100,0
2026-04-24,54.8000,54.8000,54.8000,54.8000,0
2026-04-27,43.2500,43.2500,43.2500,43.2500,0
2026-04-28,47.1700,47.1700,47.1700,47.1700,0
2026-04-29,52.1300,52.1300,52.1300,52.1300,0
2026-04-30,67.1900,67.1900,67.1900,67.1900,0
2026-05-01,62.3000,62.3000,62.3000,62.3000,0
2026-05-04,60.9900,60.9900,60.9900,60.9900,0
2026-05-05,70.8100,70.8100,70.8100,70.8100,0
2026-05-06,71.1700,71.1700,71.1700,71.1700,0
2026-05-07,62.9900,62.9900,62.9900,62.9900,0
2026-05-08,59.2600,59.2600,59.2600,59.2600,0
2026-05-11,53.8900,53.8900,53.8900,53.8900,0
2026-05-12,60.8100,60.8100,60.8100,60.8100,0
2026-05-13,51.4200,51.4200,51.4200,51.4200,0
2026-05-14,61.8000,61.8000,61.8000,61.8000,0
2026-05-15,61.7200,61.7200,61.7200,61.7200,0
2026-05-18,58.4400,58.4400,58.4400,58.4400,0
2026-05-19,54.3000,54.3000,54.3000,54.3000,0
2026-05-20,54.6000,54.6000,54.6000,54.6000,0
