Date,Open,High,Low,Close,Volume
07/01/2025,70.9400,70.9400,70.9400,70.9400,0
07/02/2025,63.5700,63.5700,63.5700,63.5700,0
07/03/2025,66.9400,66.9400,66.9400,66.9400,0
07/07/2025,63.5800,63.5800,63.5800,63.5800,0
07/08/2025,64.7700,64.7700,64.7700,64.7700,0
07/09/2025,58.9600,58.9600,58.9600,58.9600,0
07/10/2025,56.0900,56.0900,56.0900,56.0900,0
07/11/2025,58.4600,58.4600,58.4600,58.4600,0
07/14/2025,33.6900,33.6900,33.6900,33.6900,0
07/15/2025,53.0600,53.0600,53.0600,53.0600,0
07/16/2025,53.1300,53.1300,53.1300,53.1300,0
07/17/2025,65.1300,65.1300,65.1300,65.1300,0
07/18/2025,61.4600,61.4600,61.4600,61.4600,0
07/21/2025,49.1900,49.1900,49.1900,49.1900,0
07/22/2025,66.2500,66.2500,66.2500,66.2500,0
07/23/2025,51.6600,51.6600,51.6600,51.6600,0
07/24/2025,56.5800,56.5800,56.5800,56.5800,0
07/25/2025,72.5400,72.5400,72.5400,72.5400,0
07/28/2025,56.8600,56.8600,56.8600,56.8600,0
07/29/2025,56.2600,56.2600,56.2600,56.2600,0
07/30/2025,56.5400,56.5400,56.5400,56.5400,0
07/31/2025,55.5300,55.5300,55.5300,55.5300,0
08/01/2025,79.8500,79.8500,79.8500,79.8500,0
08/04/2025,68.9700,68.9700,68.9700,68.9700,0
08/05/2025,63.7000,63.7000,63.7000,63.7000,0
08/06/2025,56.9900,56.9900,56.9900,56.9900,0
08/07/2025,83.0300,83.0300,83.0300,83.0300,0
08/08/2025,72.5300,72.5300,72.5300,72.5300,0
08/11/2025,66.7200,66.7200,66.7200,66.7200,0
08/12/2025,67.2000,67.2000,67.2000,67.2000,0
08/13/2025,79.1900,79.1900,79.1900,79.1900,0
08/14/2025,68.7500,68.7500,68.7500,68.7500,0
08/15/2025,65.5900,65.5900,65.5900,65.5900,0
08/18/2025,73.5900,73.5900,73.5900,73.5900,0
08/19/2025,78.9300,78.9300,78.9300,78.9300,0
08/20/2025,78.4000,78.4000,78.4000,78.4000,0
08/21/2025,45.5900,45.5900,45.5900,45.5900,0
08/22/2025,58.7500,58.7500,58.7500,58.7500,0
08/25/2025,56.9000,56.9000,56.9000,56.9000,0
08/26/2025,65.8500,65.8500,65.8500,65.8500,0
08/27/2025,47.4200,47.4200,47.4200,47.4200,0
08/28/2025,61.1700,61.1700,61.1700,61.1700,0
08/29/2025,40.7800,40.7800,40.7800,40.7800,0
09/02/2025,55.6100,55.6100,55.6100,55.6100,0
09/03/2025,49.2900,49.2900,49.2900,49.2900,0
09/04/2025,33.6500,33.6500,33.6500,33.6500,0
09/05/2025,59.1600,59.1600,59.1600,59.1600,0
09/08/2025,25.7500,25.7500,25.7500,25.7500,0
09/09/2025,48.1400,48.1400,48.1400,48.1400,0
09/10/2025,73.2100,73.2100,73.2100,73.2100,0
09/11/2025,78.6200,78.6200,78.6200,78.6200,0
09/12/2025,62.5100,62.5100,62.5100,62.5100,0
09/15/2025,70.9200,70.9200,70.9200,70.9200,0
09/16/2025,74.8600,74.8600,74.8600,74.8600,0
09/17/2025,79.8300,79.8300,79.8300,79.8300,0
09/18/2025,78.8800,78.8800,78.8800,78.8800,0
09/19/2025,81.2600,81.2600,81.2600,81.2600,0
09/22/2025,61.7000,61.7000,61.7000,61.7000,0
09/23/2025,63.6700,63.6700,63.6700,63.6700,0
09/24/2025,71.9000,71.9000,71.9000,71.9000,0
09/25/2025,61.5200,61.5200,61.5200,61.5200,0
09/26/2025,80.8200,80.8200,80.8200,80.8200,0
09/29/2025,66.8800,66.8800,66.8800,66.8800,0
09/30/2025,80.2100,80.2100,80.2100,80.2100,0
10/01/2025,66.1600,66.1600,66.1600,66.1600,0
10/02/2025,29.1900,29.1900,29.1900,29.1900,0
10/03/2025,48.1800,48.1800,48.1800,48.1800,0
10/06/2025,34.1200,34.1200,34.1200,34.1200,0
10/07/2025,48.5500,48.5500,48.5500,48.5500,0
10/08/2025,53.0000,53.0000,53.0000,53.0000,0
10/09/2025,62.8400,62.8400,62.8400,62.8400,0
10/10/2025,48.4100,48.4100,48.4100,48.4100,0
10/13/2025,56.7100,56.7100,56.7100,56.7100,0
10/14/2025,52.3500,52.3500,52.3500,52.3500,0
10/15/2025,52.9800,52.9800,52.9800,52.9800,0
10/16/2025,68.4400,68.4400,68.4400,68.4400,0
10/17/2025,77.5400,77.5400,77.5400,77.5400,0
10/20/2025,61.0400,61.0400,61.0400,61.0400,0
10/21/2025,57.9000,57.9000,57.9000,57.9000,0
10/22/2025,56.0500,56.0500,56.0500,56.0500,0
10/23/2025,48.5800,48.5800,48.5800,48.5800,0
10/24/2025,38.5300,38.5300,38.5300,38.5300,0
10/27/2025,48.3500,48.3500,48.3500,48.3500,0
10/28/2025,53.3400,53.3400,53.3400,53.3400,0
10/29/2025,43.9200,43.9200,43.9200,43.9200,0
10/30/2025,63.6400,63.6400,63.6400,63.6400,0
10/31/2025,25.8500,25.8500,25.8500,25.8500,0
11/03/2025,65.8500,65.8500,65.8500,65.8500,0
11/04/2025,66.2900,66.2900,66.2900,66.2900,0
11/05/2025,54.4800,54.4800,54.4800,54.4800,0
11/06/2025,67.3600,67.3600,67.3600,67.3600,0
11/07/2025,56.5000,56.5000,56.5000,56.5000,0
11/10/2025,39.3800,39.3800,39.3800,39.3800,0
11/11/2025,48.5700,48.5700,48.5700,48.5700,0
11/12/2025,37.7700,37.7700,37.7700,37.7700,0
11/13/2025,32.0800,32.0800,32.0800,32.0800,0
11/14/2025,37.1200,37.1200,37.1200,37.1200,0
11/17/2025,39.6700,39.6700,39.6700,39.6700,0
11/18/2025,59.5100,59.5100,59.5100,59.5100,0
11/19/2025,57.3700,57.3700,57.3700,57.3700,0
11/20/2025,56.2300,56.2300,56.2300,56.2300,0
11/21/2025,47.5300,47.5300,47.5300,47.5300,0
11/24/2025,53.1500,53.1500,53.1500,53.1500,0
11/25/2025,46.3700,46.3700,46.3700,46.3700,0
11/26/2025,66.7300,66.7300,66.7300,66.7300,0
11/28/2025,73.4600,73.4600,73.4600,73.4600,0
12/01/2025,69.7500,69.7500,69.7500,69.7500,0
12/02/2025,48.2300,48.2300,48.2300,48.2300,0
12/03/2025,65.4800,65.4800,65.4800,65.4800,0
12/04/2025,57.6500,57.6500,57.6500,57.6500,0
12/05/2025,56.3400,56.3400,56.3400,56.3400,0
12/08/2025,61.5100,61.5100,61.5100,61.5100,0
12/09/2025,56.0400,56.0400,56.0400,56.0400,0
12/10/2025,71.4200,71.4200,71.4200,71.4200,0
12/11/2025,68.9900,68.9900,68.9900,68.9900,0
12/12/2025,68.3700,68.3700,68.3700,68.3700,0
12/15/2025,64.4600,64.4600,64.4600,64.4600,0
12/16/2025,55.4100,55.4100,55.4100,55.4100,0
12/17/2025,78.0500,78.0500,78.0500,78.0500,0
12/18/2025,62.0300,62.0300,62.0300,62.0300,0
12/19/2025,65.3300,65.3300,65.3300,65.3300,0
12/22/2025,51.1200,51.1200,51.1200,51.1200,0
12/23/2025,64.3100,64.3100,64.3100,64.3100,0
12/24/2025,83.3100,83.3100,83.3100,83.3100,0
12/26/2025,58.5300,58.5300,58.5300,58.5300,0
12/29/2025,38.8600,38.8600,38.8600,38.8600,0
12/30/2025,44.4500,44.4500,44.4500,44.4500,0
12/31/2025,39.3000,39.3000,39.3000,39.3000,0
01/02/2026,63.0700,63.0700,63.0700,63.0700,0
01/05/2026,55.3500,55.3500,55.3500,55.3500,0
01/06/2026,62.8400,62.8400,62.8400,62.8400,0
01/07/2026,71.7900,71.7900,71.7900,71.7900,0
01/08/2026,65.3900,65.3900,65.3900,65.3900,0
01/09/2026,48.0600,48.0600,48.0600,48.0600,0
01/12/2026,68.7300,68.7300,68.7300,68.7300,0
01/13/2026,72.9700,72.9700,72.9700,72.9700,0
01/14/2026,66.9900,66.9900,66.9900,66.9900,0
01/15/2026,64.0400,64.0400,64.0400,64.0400,0
01/16/2026,54.9000,54.9000,54.9000,54.9000,0
01/20/2026,52.0800,52.0800,52.0800,52.0800,0
01/21/2026,74.1600,74.1600,74.1600,74.1600,0
01/22/2026,73.9400,73.9400,73.9400,73.9400,0
01/23/2026,71.5600,71.5600,71.5600,71.5600,0
