date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-05-29,OWL,2248318.0,812759.0,36.15,88.4614,93668,718978,113,0,550.0,,
2025-05-30,OWL,3120092.0,1259858.0,40.38,96.4323,44948,1214910,0,0,6943.0,,
2025-06-02,OWL,2911974.0,1175912.0,40.38,94.0475,65739,1105916,4257,0,0,,
2025-06-03,OWL,2646094.0,754759.0,28.52,94.7978,38581,715495,683,0,218.0,,
2025-06-04,OWL,5350328.0,1184884.0,22.15,94.9247,57173,1124748,2963,0,224.0,33.516,
2025-06-05,OWL,3563399.0,1785690.0,50.11,95.804,72383,1710763,2544,0,529.0,36.2817,
2025-06-06,OWL,2062364.0,1181901.0,57.31,95.0459,57951,1123349,601,0,11.0,39.2857,
2025-06-09,OWL,2134282.0,1092024.0,51.17,94.9627,53306,1037016,1702,0,306.0,40.7713,
2025-06-10,OWL,2834253.0,1631671.0,57.57,97.3831,41401,1588971,1299,0,3964.0,42.6378,
2025-06-11,OWL,3054911.0,1412509.0,46.24,91.8402,114046,1297251,1212,0,1926.0,42.998,
2025-06-12,OWL,2154751.0,1110815.0,51.55,95.1175,54117,1056579,119,0,0,43.7755,
2025-06-13,OWL,2392639.0,1341192.0,56.05,85.6109,191443,1148207,1542,0,236.0,44.7983,
2025-06-16,OWL,2596265.0,1590608.0,61.27,81.9942,283069,1304207,3332,0,602.0,46.0654,
2025-06-17,OWL,3050593.0,1450341.0,47.54,93.9234,87901,1362209,231,0,6.0,46.1707,
2025-06-18,OWL,4085202.0,1353786.0,33.14,94.5919,71672,1280572,1542,0,0,45.302,
2025-06-20,OWL,1478165.0,740681.0,50.11,94.983,36836,703521,324,0,117.0,45.6025,
2025-06-23,OWL,2045753.0,1107877.0,54.15,97.0389,30428,1075072,2377,0,181.0,46.1053,
2025-06-24,OWL,1924293.0,830261.0,43.15,96.0621,27987,797566,4708,0,171.0,45.9411,
2025-06-25,OWL,1173304.0,598995.0,51.05,97.2816,16263,582712,20,0,4.0,46.21,
2025-06-26,OWL,3048112.0,1093454.0,35.87,96.8526,33280,1059039,1135,0,49.0,45.693,-0.9608
2025-06-27,OWL,2602343.0,1840470.0,70.72,97.6071,43541,1796429,500,0,704.0,47.4215,2.1072
2025-06-30,OWL,3044245.0,1886626.0,61.97,95.6863,78777,1805242,2607,0,20944.0,48.501,1.2533
2025-07-01,OWL,2940905.0,2086134.0,70.94,93.7929,129072,1956646,416,0,209061.0,50.029,1.8314
2025-07-02,OWL,2029284.0,1289975.0,63.57,93.9973,77024,1212542,409,0,529.0,51.7815,1.1657
2025-07-03,OWL,1397592.0,935558.0,66.94,96.221,34949,900203,406,0,32.0,54.021,1.3552
2025-07-07,OWL,2205324.0,1402253.0,63.58,96.1973,52920,1348929,404,0,40.0,54.6945,1.043
2025-07-08,OWL,1751127.0,1134174.0,64.77,96.7625,36364,1097455,355,0,1137.0,55.0675,1.0905
2025-07-09,OWL,1112701.0,656086.0,58.96,95.7903,27504,628467,115,0,101.0,55.457,0.6154
2025-07-10,OWL,1326507.0,744012.0,56.09,96.0126,28863,714345,804,0,18.0,55.383,0.3783
2025-07-11,OWL,2161956.0,1263894.0,58.46,87.3112,159732,1103521,641,0,183.0,55.994,0.558
2025-07-14,OWL,3254141.0,1096474.0,33.69,95.2829,50445,1044752,1277,0,1255.0,55.101,-1.4029
2025-07-15,OWL,2615522.0,1387668.0,53.06,96.7294,38507,1342283,6878,0,15.0,54.9515,0.1569
2025-07-16,OWL,4280601.0,2274094.0,53.13,96.0461,73843,2184178,16073,0,10.0,54.5445,0.1601
2025-07-17,OWL,4678717.0,3047082.0,65.13,97.6637,67319,2975892,3871,0,103.0,55.424,1.119
2025-07-18,OWL,2631820.0,1617426.0,61.46,96.8593,49838,1566627,961,0,43107.0,56.84,0.7959
2025-07-21,OWL,1910627.0,939765.0,49.19,96.2542,32409,904563,2793,0,13876.0,56.794,-0.2218
2025-07-22,OWL,2281999.0,1511881.0,66.25,96.6554,45934,1461314,4633,0,6828.0,57.399,1.177
2025-07-23,OWL,3143129.0,1623834.0,51.66,97.8899,33927,1589569,338,0,536.0,57.8245,-0.0455
2025-07-24,OWL,1744290.0,986920.0,56.58,97.8597,17728,965797,3395,0,1167.0,58.101,0.367
2025-07-25,OWL,3987457.0,2892587.0,72.54,97.8,60167,2828950,3470,0,206.0,59.9345,1.655
2025-07-28,OWL,2221030.0,1262918.0,56.86,96.0826,49196,1213444,278,0,11796.0,59.2415,0.3348
2025-07-29,OWL,1809374.0,1017943.0,56.26,96.6602,33765,983946,232,0,6258.0,58.956,0.2803
2025-07-30,OWL,2319749.0,1311546.0,56.54,97.1487,36746,1274150,650,0,0,58.236,0.3004
2025-07-31,OWL,5490434.0,3048790.0,55.53,97.56,72517,2974401,1872,0,10703.0,57.834,0.2103
2025-08-01,OWL,5315022.0,4244076.0,79.85,96.254,150718,4085093,8265,0,0,58.4795,2.1863
2025-08-04,OWL,2155074.0,1486282.0,68.97,95.1101,70951,1413604,1727,0,50.0,58.749,1.2401
2025-08-05,OWL,1712991.0,1091104.0,63.7,95.2232,51320,1038984,800,0,73.0,58.6955,0.788
2025-08-06,OWL,1540038.0,877666.0,56.99,96.3655,31100,845767,799,0,69.0,58.597,0.2253
2025-08-07,OWL,3256764.0,2704123.0,83.03,96.9291,80410,2621083,2630,0,179.0,59.944,2.2645
2025-08-08,OWL,3585886.0,2600708.0,72.53,96.2551,95485,2503313,1910,0,922.0,60.6475,1.3774
2025-08-11,OWL,2050389.0,1367973.0,66.72,96.4487,47137,1319392,1444,0,56.0,62.299,0.8978
2025-08-12,OWL,3967503.0,2666309.0,67.2,94.6844,140081,2524578,1650,0,0,63.006,0.9194
2025-08-13,OWL,5525191.0,4375524.0,79.19,97.302,117363,4257473,688,0,51.0,64.309,1.8016
2025-08-14,OWL,3116539.0,2142639.0,68.75,92.7811,152313,1987964,2362,0,2972.0,64.49,0.9675
2025-08-15,OWL,3182908.0,2087660.0,65.59,93.4514,135749,1950948,963,0,9.0,64.6965,0.7103
2025-08-18,OWL,1728223.0,1271772.0,73.59,92.8777,87548,1181192,3032,0,0,65.9165,1.3062
2025-08-19,OWL,2388608.0,1885408.0,78.93,94.6595,91228,1784718,9462,0,66463.0,66.5505,1.665
2025-08-20,OWL,2081972.0,1632201.0,78.4,92.3249,124067,1506928,1206,0,29736.0,67.8875,1.5749
2025-08-21,OWL,2120012.0,966428.0,45.59,94.0228,51858,908663,5907,0,2170.0,67.338,-0.8961
2025-08-22,OWL,1817592.0,1067745.0,58.75,95.398,46448,1018607,2690,0,0,66.6485,0.1013
2025-08-25,OWL,1137150.0,646985.0,56.9,93.5652,41315,605353,317,0,2.0,66.6505,-0.0682
2025-08-26,OWL,1305514.0,859636.0,65.85,95.4988,35567,820942,3127,0,42476.0,67.13,0.6068
2025-08-27,OWL,1895670.0,898962.0,47.42,95.2161,42565,855957,440,0,0,66.674,-0.8728
2025-08-28,OWL,1557335.0,952615.0,61.17,93.8423,56925,893956,1734,0,55220.0,66.956,0.1949
2025-08-29,OWL,2590819.0,1056636.0,40.78,94.3684,58177,997130,1329,0,1690.0,65.0025,-1.6533
2025-09-02,OWL,1814819.0,1009194.0,55.61,97.8677,17989,987675,3530,0,21943.0,64.3345,-0.3297
2025-09-03,OWL,4263203.0,2101272.0,49.29,96.2746,76641,2022992,1639,0,10.0,63.614,-0.8829
