Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,27.4482,27.4482,27.4482,27.4482,823
02/19/2026,1600,35.5436,35.5436,35.5436,35.5436,1093
02/20/2026,1600,22.7896,22.7896,22.7896,22.7896,1055
02/23/2026,1600,47.0910,47.0910,47.0910,47.0910,3462
02/24/2026,1600,28.1331,28.1331,28.1331,28.1331,3038
02/25/2026,1600,31.1878,31.1878,31.1878,31.1878,2196
02/26/2026,1600,35.0569,35.0569,35.0569,35.0569,2423
02/27/2026,1600,24.5540,24.5540,24.5540,24.5540,1448
03/02/2026,1600,27.8033,27.8033,27.8033,27.8033,864
03/03/2026,1600,20.0391,20.0391,20.0391,20.0391,1151
03/04/2026,1600,24.0754,24.0754,24.0754,24.0754,760
03/05/2026,1600,23.6282,23.6282,23.6282,23.6282,963
03/06/2026,1600,17.0684,17.0684,17.0684,17.0684,841
03/09/2026,1600,21.3210,21.3210,21.3210,21.3210,1007
03/10/2026,1600,25.4703,25.4703,25.4703,25.4703,860
03/11/2026,1600,18.9445,18.9445,18.9445,18.9445,688
03/12/2026,1600,19.0241,19.0241,19.0241,19.0241,790
03/13/2026,1600,12.7515,12.7515,12.7515,12.7515,765
03/16/2026,1600,19.2604,19.2604,19.2604,19.2604,822
03/17/2026,1600,52.9266,52.9266,52.9266,52.9266,1160
03/18/2026,1600,23.3075,23.3075,23.3075,23.3075,1065
03/19/2026,1600,20.1923,20.1923,20.1923,20.1923,1210
03/20/2026,1600,20.1510,20.1510,20.1510,20.1510,1914
03/23/2026,1600,22.0033,22.0033,22.0033,22.0033,1360
03/24/2026,1600,30.3255,30.3255,30.3255,30.3255,1028
03/25/2026,1600,21.8771,21.8771,21.8771,21.8771,721
03/26/2026,1600,35.3123,35.3123,35.3123,35.3123,734
03/27/2026,1600,14.8103,14.8103,14.8103,14.8103,950
03/30/2026,1600,36.5025,36.5025,36.5025,36.5025,912
03/31/2026,1600,43.5579,43.5579,43.5579,43.5579,647
04/01/2026,1600,41.7957,41.7957,41.7957,41.7957,745
04/02/2026,1600,15.4308,15.4308,15.4308,15.4308,626
04/06/2026,1600,31.0707,31.0707,31.0707,31.0707,577
04/07/2026,1600,19.6472,19.6472,19.6472,19.6472,534
04/08/2026,1600,13.6079,13.6079,13.6079,13.6079,901
04/09/2026,1600,34.6010,34.6010,34.6010,34.6010,637
04/10/2026,1600,24.5607,24.5607,24.5607,24.5607,671
04/13/2026,1600,19.9209,19.9209,19.9209,19.9209,840
04/14/2026,1600,21.8854,21.8854,21.8854,21.8854,620
04/15/2026,1600,23.7777,23.7777,23.7777,23.7777,763
04/16/2026,1600,26.4283,26.4283,26.4283,26.4283,763
04/17/2026,1600,36.8758,36.8758,36.8758,36.8758,1067
04/20/2026,1600,31.9371,31.9371,31.9371,31.9371,749
04/21/2026,1600,26.1902,26.1902,26.1902,26.1902,756
04/22/2026,1600,20.6942,20.6942,20.6942,20.6942,493
04/23/2026,1600,26.7792,26.7792,26.7792,26.7792,643
04/24/2026,1600,17.8034,17.8034,17.8034,17.8034,468
04/27/2026,1600,24.6674,24.6674,24.6674,24.6674,442
04/28/2026,1600,15.1956,15.1956,15.1956,15.1956,578
04/29/2026,1600,45.0120,45.0120,45.0120,45.0120,992
04/30/2026,1600,24.5857,24.5857,24.5857,24.5857,732
05/01/2026,1600,17.1097,17.1097,17.1097,17.1097,502
05/04/2026,1600,30.6218,30.6218,30.6218,30.6218,748
05/05/2026,1600,40.8074,40.8074,40.8074,40.8074,1901
05/06/2026,1600,9.6423,9.6423,9.6423,9.6423,1105
05/07/2026,1600,18.7565,18.7565,18.7565,18.7565,743
05/08/2026,1600,24.5716,24.5716,24.5716,24.5716,804
05/11/2026,1600,26.3092,26.3092,26.3092,26.3092,1159
05/12/2026,1600,57.1084,57.1084,57.1084,57.1084,1360
