Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,32.9472,32.9472,32.9472,32.9472,823
02/19/2026,1600,35.7888,35.7888,35.7888,35.7888,1093
02/20/2026,1600,29.1130,29.1130,29.1130,29.1130,1055
02/23/2026,1600,40.8564,40.8564,40.8564,40.8564,3462
02/24/2026,1600,30.6788,30.6788,30.6788,30.6788,3038
02/25/2026,1600,32.5808,32.5808,32.5808,32.5808,2196
02/26/2026,1600,34.3740,34.3740,34.3740,34.3740,2423
02/27/2026,1600,29.8872,29.8872,29.8872,29.8872,1448
03/02/2026,1600,32.1186,32.1186,32.1186,32.1186,864
03/03/2026,1600,26.2965,26.2965,26.2965,26.2965,1151
03/04/2026,1600,28.2643,28.2643,28.2643,28.2643,760
03/05/2026,1600,26.1873,26.1873,26.1873,26.1873,963
03/06/2026,1600,25.2911,25.2911,25.2911,25.2911,841
03/09/2026,1600,30.1004,30.1004,30.1004,30.1004,1007
03/10/2026,1600,29.2033,29.2033,29.2033,29.2033,860
03/11/2026,1600,29.6444,29.6444,29.6444,29.6444,688
03/12/2026,1600,27.5240,27.5240,27.5240,27.5240,790
03/13/2026,1600,23.8869,23.8869,23.8869,23.8869,765
03/16/2026,1600,26.0094,26.0094,26.0094,26.0094,822
03/17/2026,1600,44.9028,44.9028,44.9028,44.9028,1160
03/18/2026,1600,27.7488,27.7488,27.7488,27.7488,1065
03/19/2026,1600,25.8120,25.8120,25.8120,25.8120,1210
03/20/2026,1600,23.1836,23.1836,23.1836,23.1836,1914
03/23/2026,1600,25.2980,25.2980,25.2980,25.2980,1360
03/24/2026,1600,30.0984,30.0984,30.0984,30.0984,1028
03/25/2026,1600,27.4831,27.4831,27.4831,27.4831,721
03/26/2026,1600,30.0107,30.0107,30.0107,30.0107,734
03/27/2026,1600,25.0155,25.0155,25.0155,25.0155,950
03/30/2026,1600,31.1685,31.1685,31.1685,31.1685,912
03/31/2026,1600,37.3249,37.3249,37.3249,37.3249,647
04/01/2026,1600,34.0438,34.0438,34.0438,34.0438,745
04/02/2026,1600,23.8800,23.8800,23.8800,23.8800,626
04/06/2026,1600,30.9876,30.9876,30.9876,30.9876,577
04/07/2026,1600,28.5865,28.5865,28.5865,28.5865,534
04/08/2026,1600,22.4264,22.4264,22.4264,22.4264,901
04/09/2026,1600,31.6720,31.6720,31.6720,31.6720,637
04/10/2026,1600,29.8131,29.8131,29.8131,29.8131,671
04/13/2026,1600,29.0084,29.0084,29.0084,29.0084,840
04/14/2026,1600,29.6168,29.6168,29.6168,29.6168,620
04/15/2026,1600,32.2668,32.2668,32.2668,32.2668,763
04/16/2026,1600,30.9063,30.9063,30.9063,30.9063,763
04/17/2026,1600,35.8087,35.8087,35.8087,35.8087,1067
04/20/2026,1600,31.4232,31.4232,31.4232,31.4232,749
04/21/2026,1600,28.4074,28.4074,28.4074,28.4074,756
04/22/2026,1600,30.3623,30.3623,30.3623,30.3623,493
04/23/2026,1600,29.1296,29.1296,29.1296,29.1296,643
04/24/2026,1600,27.8753,27.8753,27.8753,27.8753,468
04/27/2026,1600,31.2503,31.2503,31.2503,31.2503,442
04/28/2026,1600,26.5456,26.5456,26.5456,26.5456,578
04/29/2026,1600,35.3349,35.3349,35.3349,35.3349,992
04/30/2026,1600,27.0126,27.0126,27.0126,27.0126,732
05/01/2026,1600,27.7738,27.7738,27.7738,27.7738,502
05/04/2026,1600,32.2298,32.2298,32.2298,32.2298,748
05/05/2026,1600,35.2568,35.2568,35.2568,35.2568,1901
05/06/2026,1600,23.0938,23.0938,23.0938,23.0938,1105
05/07/2026,1600,27.7972,27.7972,27.7972,27.7972,743
05/08/2026,1600,29.2955,29.2955,29.2955,29.2955,804
05/11/2026,1600,29.7522,29.7522,29.7522,29.7522,1159
05/12/2026,1600,50.3815,50.3815,50.3815,50.3815,1360
