Date,Open,High,Low,Close,Volume
08/13/2025,46.4300,46.4300,46.4300,46.4300,0
08/14/2025,45.7500,45.7500,45.7500,45.7500,0
08/15/2025,50.7600,50.7600,50.7600,50.7600,0
08/18/2025,47.2900,47.2900,47.2900,47.2900,0
08/19/2025,50.7200,50.7200,50.7200,50.7200,0
08/20/2025,42.2700,42.2700,42.2700,42.2700,0
08/21/2025,50.5900,50.5900,50.5900,50.5900,0
08/22/2025,41.7200,41.7200,41.7200,41.7200,0
08/25/2025,50.5800,50.5800,50.5800,50.5800,0
08/26/2025,47.3200,47.3200,47.3200,47.3200,0
08/27/2025,37.3100,37.3100,37.3100,37.3100,0
08/28/2025,42.6600,42.6600,42.6600,42.6600,0
08/29/2025,40.8200,40.8200,40.8200,40.8200,0
09/02/2025,47.5600,47.5600,47.5600,47.5600,0
09/03/2025,43.3800,43.3800,43.3800,43.3800,0
09/04/2025,55.1300,55.1300,55.1300,55.1300,0
09/05/2025,48.8200,48.8200,48.8200,48.8200,0
09/08/2025,54.0800,54.0800,54.0800,54.0800,0
09/09/2025,52.7800,52.7800,52.7800,52.7800,0
09/10/2025,54.0800,54.0800,54.0800,54.0800,0
09/11/2025,40.6100,40.6100,40.6100,40.6100,0
09/12/2025,44.7000,44.7000,44.7000,44.7000,0
09/15/2025,50.6600,50.6600,50.6600,50.6600,0
09/16/2025,50.9000,50.9000,50.9000,50.9000,0
09/17/2025,47.1300,47.1300,47.1300,47.1300,0
09/18/2025,62.4300,62.4300,62.4300,62.4300,0
09/19/2025,43.4800,43.4800,43.4800,43.4800,0
09/22/2025,30.3000,30.3000,30.3000,30.3000,0
09/23/2025,32.8100,32.8100,32.8100,32.8100,0
09/24/2025,28.8000,28.8000,28.8000,28.8000,0
09/25/2025,35.6900,35.6900,35.6900,35.6900,0
09/26/2025,31.7600,31.7600,31.7600,31.7600,0
09/29/2025,49.7700,49.7700,49.7700,49.7700,0
09/30/2025,46.1300,46.1300,46.1300,46.1300,0
10/01/2025,40.1000,40.1000,40.1000,40.1000,0
10/02/2025,32.4000,32.4000,32.4000,32.4000,0
10/03/2025,31.1600,31.1600,31.1600,31.1600,0
10/06/2025,31.0600,31.0600,31.0600,31.0600,0
10/07/2025,43.6300,43.6300,43.6300,43.6300,0
10/08/2025,50.3300,50.3300,50.3300,50.3300,0
10/09/2025,46.0800,46.0800,46.0800,46.0800,0
10/10/2025,42.3900,42.3900,42.3900,42.3900,0
10/13/2025,44.7200,44.7200,44.7200,44.7200,0
10/14/2025,30.9000,30.9000,30.9000,30.9000,0
10/15/2025,44.9900,44.9900,44.9900,44.9900,0
10/16/2025,43.2000,43.2000,43.2000,43.2000,0
10/17/2025,34.0100,34.0100,34.0100,34.0100,0
10/20/2025,40.5400,40.5400,40.5400,40.5400,0
10/21/2025,43.7600,43.7600,43.7600,43.7600,0
10/22/2025,47.5000,47.5000,47.5000,47.5000,0
10/23/2025,48.5200,48.5200,48.5200,48.5200,0
10/24/2025,50.7600,50.7600,50.7600,50.7600,0
10/27/2025,56.6400,56.6400,56.6400,56.6400,0
10/28/2025,46.6400,46.6400,46.6400,46.6400,0
10/29/2025,47.7000,47.7000,47.7000,47.7000,0
10/30/2025,41.0100,41.0100,41.0100,41.0100,0
10/31/2025,48.9800,48.9800,48.9800,48.9800,0
11/03/2025,42.3300,42.3300,42.3300,42.3300,0
11/04/2025,51.5700,51.5700,51.5700,51.5700,0
11/05/2025,43.1500,43.1500,43.1500,43.1500,0
11/06/2025,40.8700,40.8700,40.8700,40.8700,0
11/07/2025,48.8500,48.8500,48.8500,48.8500,0
11/10/2025,45.3900,45.3900,45.3900,45.3900,0
11/11/2025,48.4500,48.4500,48.4500,48.4500,0
11/12/2025,40.5800,40.5800,40.5800,40.5800,0
11/13/2025,45.8600,45.8600,45.8600,45.8600,0
11/14/2025,45.3800,45.3800,45.3800,45.3800,0
11/17/2025,40.2900,40.2900,40.2900,40.2900,0
11/18/2025,48.6700,48.6700,48.6700,48.6700,0
11/19/2025,42.2600,42.2600,42.2600,42.2600,0
11/20/2025,40.1400,40.1400,40.1400,40.1400,0
11/21/2025,33.6600,33.6600,33.6600,33.6600,0
11/24/2025,39.9500,39.9500,39.9500,39.9500,0
11/25/2025,38.8300,38.8300,38.8300,38.8300,0
11/26/2025,42.9200,42.9200,42.9200,42.9200,0
11/28/2025,20.3500,20.3500,20.3500,20.3500,0
12/01/2025,40.0100,40.0100,40.0100,40.0100,0
12/02/2025,38.2300,38.2300,38.2300,38.2300,0
12/03/2025,49.8800,49.8800,49.8800,49.8800,0
12/04/2025,41.3500,41.3500,41.3500,41.3500,0
12/05/2025,36.9200,36.9200,36.9200,36.9200,0
12/08/2025,42.1100,42.1100,42.1100,42.1100,0
12/09/2025,50.1600,50.1600,50.1600,50.1600,0
12/10/2025,37.7100,37.7100,37.7100,37.7100,0
12/11/2025,38.4500,38.4500,38.4500,38.4500,0
12/12/2025,43.9800,43.9800,43.9800,43.9800,0
12/15/2025,37.8500,37.8500,37.8500,37.8500,0
12/16/2025,43.3200,43.3200,43.3200,43.3200,0
12/17/2025,47.5900,47.5900,47.5900,47.5900,0
12/18/2025,37.0700,37.0700,37.0700,37.0700,0
12/19/2025,50.2600,50.2600,50.2600,50.2600,0
12/22/2025,38.1000,38.1000,38.1000,38.1000,0
12/23/2025,40.2200,40.2200,40.2200,40.2200,0
12/24/2025,37.4500,37.4500,37.4500,37.4500,0
12/26/2025,35.8800,35.8800,35.8800,35.8800,0
12/29/2025,38.7300,38.7300,38.7300,38.7300,0
12/30/2025,33.3300,33.3300,33.3300,33.3300,0
12/31/2025,34.2700,34.2700,34.2700,34.2700,0
01/02/2026,45.8500,45.8500,45.8500,45.8500,0
01/05/2026,44.0800,44.0800,44.0800,44.0800,0
01/06/2026,41.5600,41.5600,41.5600,41.5600,0
01/07/2026,50.0700,50.0700,50.0700,50.0700,0
01/08/2026,47.8000,47.8000,47.8000,47.8000,0
01/09/2026,49.5000,49.5000,49.5000,49.5000,0
01/12/2026,50.7200,50.7200,50.7200,50.7200,0
01/13/2026,46.9500,46.9500,46.9500,46.9500,0
01/14/2026,46.3400,46.3400,46.3400,46.3400,0
01/15/2026,44.8100,44.8100,44.8100,44.8100,0
01/16/2026,42.5900,42.5900,42.5900,42.5900,0
01/20/2026,45.3200,45.3200,45.3200,45.3200,0
01/21/2026,38.5400,38.5400,38.5400,38.5400,0
01/22/2026,44.4700,44.4700,44.4700,44.4700,0
01/23/2026,38.5400,38.5400,38.5400,38.5400,0
01/26/2026,40.8300,40.8300,40.8300,40.8300,0
01/27/2026,47.7700,47.7700,47.7700,47.7700,0
01/28/2026,45.6700,45.6700,45.6700,45.6700,0
01/29/2026,45.6000,45.6000,45.6000,45.6000,0
01/30/2026,46.2700,46.2700,46.2700,46.2700,0
02/02/2026,45.9500,45.9500,45.9500,45.9500,0
02/03/2026,39.9800,39.9800,39.9800,39.9800,0
02/04/2026,34.6100,34.6100,34.6100,34.6100,0
02/05/2026,36.2500,36.2500,36.2500,36.2500,0
02/06/2026,27.8000,27.8000,27.8000,27.8000,0
