date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-09-02,PYPL,2913507.0,1385605.0,47.56,96.5357,38674,1337603,9328,0,1600.0,,
2025-09-03,PYPL,2313763.0,1003714.0,43.38,95.7697,37166,961254,5294,0,338.0,,
2025-09-04,PYPL,5543954.0,3056358.0,55.13,95.622,108856,2922551,24951,0,8977.0,,
2025-09-05,PYPL,2584709.0,1261958.0,48.82,95.9995,40387,1211474,10097,0,2264.0,,
2025-09-08,PYPL,2524858.0,1365353.0,54.08,93.6353,74954,1278452,11947,0,4278.0,49.794,
2025-09-09,PYPL,3123492.0,1648438.0,52.78,95.8586,59371,1580169,8898,0,7471.0,50.2917,
2025-09-10,PYPL,5896638.0,3188815.0,54.08,96.3562,73080,3072621,43114,0,3801.0,50.8329,
2025-09-11,PYPL,3688563.0,1497785.0,40.61,95.6607,49841,1432791,15153,0,3447.0,49.555,
2025-09-12,PYPL,2581606.0,1154003.0,44.7,96.2635,26856,1110884,16263,0,409.0,49.0156,
2025-09-15,PYPL,3307225.0,1675584.0,50.66,97.26,32093,1629673,13818,0,2176.0,49.18,
2025-09-16,PYPL,3546346.0,1805207.0,50.9,96.8352,40508,1748076,16623,0,4015.0,49.3364,
2025-09-17,PYPL,6961189.0,3280783.0,47.13,96.2165,81687,3156656,42440,0,2796.0,49.1525,
2025-09-18,PYPL,5690290.0,3552541.0,62.43,95.3806,119016,3388436,45089,0,7745.0,50.1738,
2025-09-19,PYPL,3913450.0,1701456.0,43.48,94.9788,56430,1616022,29004,0,5994.0,49.6957,
2025-09-22,PYPL,4814139.0,1458735.0,30.3,95.1459,53471,1387926,17338,0,1484.0,48.4027,
2025-09-23,PYPL,3558698.0,1167760.0,32.81,93.7033,57498,1094230,16032,0,3316.0,47.4281,
2025-09-24,PYPL,2993217.0,862104.0,28.8,96.1306,19637,828746,13721,0,2533.0,46.3324,
2025-09-25,PYPL,3924388.0,1400593.0,35.69,94.5154,55234,1323776,21583,0,3873.0,45.7411,
2025-09-26,PYPL,2744358.0,871586.0,31.76,96.5928,17610,841889,12087,0,276.0,45.0053,
2025-09-29,PYPL,10460481.0,5206611.0,49.77,93.7551,204330,4881462,120819,0,9447.0,45.2435,0.4969
2025-09-30,PYPL,7667000.0,3536507.0,46.13,91.508,248058,3236186,52263,0,6548.0,45.172,0.095
2025-10-01,PYPL,6485958.0,2600959.0,40.1,94.9445,103943,2469468,27548,0,2201.0,45.008,-0.5655
2025-10-02,PYPL,5138063.0,1664912.0,32.4,95.9123,52079,1596855,15978,0,14594.0,43.8715,-1.3533
2025-10-03,PYPL,4059627.0,1264948.0,31.16,94.8239,47363,1199473,18112,0,2076.0,42.9885,-1.3972
2025-10-06,PYPL,5757825.0,1788630.0,31.06,95.6572,48705,1710954,28971,0,8165.0,41.8375,-1.328
2025-10-07,PYPL,11533028.0,5031764.0,43.63,94.1996,190342,4739903,101519,0,10944.0,41.38,0.0212
2025-10-08,PYPL,6077893.0,3058776.0,50.33,94.776,99383,2898985,60408,0,20913.0,41.1925,0.733
2025-10-09,PYPL,5510266.0,2539361.0,46.08,94.8009,90934,2407336,41091,0,1742.0,41.466,0.2586
2025-10-10,PYPL,9566345.0,4054822.0,42.39,96.1317,89072,3897971,67779,0,19590.0,41.3505,-0.153
2025-10-13,PYPL,8803166.0,3936830.0,44.72,93.0661,195534,3663854,77442,0,24503.0,41.0535,0.1113
2025-10-14,PYPL,4776808.0,1476241.0,30.9,92.9272,79484,1371830,24927,0,8930.0,40.0535,-1.4197
2025-10-15,PYPL,5010656.0,2254172.0,44.99,95.8895,69159,2161514,23499,0,14341.0,39.9465,0.1843
2025-10-16,PYPL,8164364.0,3526942.0,43.2,94.6043,137350,3336638,52954,0,12335.0,38.985,-0.0227
2025-10-17,PYPL,3961441.0,1347343.0,34.01,95.8921,40566,1291996,14781,0,7840.0,38.5115,-1.0682
2025-10-20,PYPL,1426435.0,578256.0,40.54,95.3659,16071,551459,10726,0,2920.0,39.0235,-0.2975
2025-10-21,PYPL,3213126.0,1406148.0,43.76,95.2557,49771,1339436,16941,0,4893.0,39.571,0.084
2025-10-22,PYPL,2831971.0,1345186.0,47.5,96.2808,34702,1295156,15328,0,7809.0,40.506,0.5255
2025-10-23,PYPL,3172411.0,1539255.0,48.52,96.0395,46321,1478293,14641,0,9443.0,41.1475,0.6375
2025-10-24,PYPL,3463861.0,1758083.0,50.76,96.7307,43705,1700606,13772,0,1054.0,42.0975,0.8911
2025-10-27,PYPL,7560422.0,4282194.0,56.64,94.3438,159528,4039983,82683,0,4979.0,42.441,1.5444
2025-10-28,PYPL,34651223.0,16160853.0,46.64,92.3722,833034,14928131,399688,0,73585.0,42.4665,0.333
2025-10-29,PYPL,17353597.0,8278419.0,47.7,94.4629,329460,7820037,128922,0,16199.0,42.8465,0.4556
2025-10-30,PYPL,8934159.0,3664338.0,41.01,95.0414,148276,3482639,33423,0,24478.0,43.277,-0.3635
2025-10-31,PYPL,8105454.0,3970059.0,48.98,93.864,198195,3726456,45408,0,17500.0,44.168,0.6183
2025-11-03,PYPL,6449155.0,2729925.0,42.33,92.1738,160999,2516275,52651,0,3717.0,44.7315,-0.2125
2025-11-04,PYPL,7879876.0,4063686.0,51.57,94.1112,177117,3824383,62186,0,79100.0,45.1285,0.9381
2025-11-05,PYPL,5446314.0,2350117.0,43.15,92.7623,143873,2180022,26222,0,20509.0,44.7695,-0.1282
2025-11-06,PYPL,4579526.0,1871678.0,40.87,94.9986,68196,1778068,25414,0,18438.0,44.509,-0.4152
2025-11-07,PYPL,5290930.0,2584657.0,48.85,93.1947,128922,2408764,46971,0,13548.0,44.832,0.6077
