Date,Open,High,Low,Close,Volume
06/13/2024,45.1250,45.1250,45.1250,45.1250,0
06/14/2024,47.3750,47.3750,47.3750,47.3750,0
06/17/2024,45.7500,45.7500,45.7500,45.7500,0
06/18/2024,49.8125,49.8125,49.8125,49.8125,0
06/20/2024,42.5000,42.5000,42.5000,42.5000,0
06/21/2024,49.0000,49.0000,49.0000,49.0000,0
06/24/2024,50.8571,50.8571,50.8571,50.8571,0
06/25/2024,42.5000,42.5000,42.5000,42.5000,0
06/26/2024,42.5000,42.5000,42.5000,42.5000,0
06/27/2024,47.3750,47.3750,47.3750,47.3750,0
06/28/2024,55.2023,55.2023,55.2023,55.2023,0
07/01/2024,53.2955,53.2955,53.2955,53.2955,0
07/02/2024,53.1875,53.1875,53.1875,53.1875,0
07/03/2024,48.2239,48.2239,48.2239,48.2239,0
07/05/2024,51.2475,51.2475,51.2475,51.2475,0
07/08/2024,53.7853,53.7853,53.7853,53.7853,0
07/09/2024,52.1367,52.1367,52.1367,52.1367,0
07/10/2024,46.7354,46.7354,46.7354,46.7354,0
07/11/2024,50.3948,50.3948,50.3948,50.3948,0
07/12/2024,51.0158,51.0158,51.0158,51.0158,0
07/15/2024,59.9350,59.9350,59.9350,59.9350,0
07/16/2024,60.0859,60.0859,60.0859,60.0859,0
07/17/2024,57.8161,57.8161,57.8161,57.8161,0
07/18/2024,41.8740,41.8740,41.8740,41.8740,0
07/19/2024,38.3435,38.3435,38.3435,38.3435,0
07/22/2024,49.6057,49.6057,49.6057,49.6057,0
07/23/2024,41.2483,41.2483,41.2483,41.2483,0
07/24/2024,36.3062,36.3062,36.3062,36.3062,0
07/25/2024,31.4737,31.4737,31.4737,31.4737,0
07/26/2024,37.0655,37.0655,37.0655,37.0655,0
07/29/2024,43.5978,43.5978,43.5978,43.5978,0
07/30/2024,59.1952,59.1952,59.1952,59.1952,0
07/31/2024,61.5653,61.5653,61.5653,61.5653,0
08/01/2024,62.1716,62.1716,62.1716,62.1716,0
08/02/2024,54.9443,54.9443,54.9443,54.9443,0
08/05/2024,46.1873,46.1873,46.1873,46.1873,0
08/06/2024,52.5208,52.5208,52.5208,52.5208,0
08/07/2024,54.0322,54.0322,54.0322,54.0322,0
08/08/2024,56.9902,56.9902,56.9902,56.9902,0
08/09/2024,57.1340,57.1340,57.1340,57.1340,0
08/12/2024,54.8856,54.8856,54.8856,54.8856,0
08/13/2024,57.4541,57.4541,57.4541,57.4541,0
08/14/2024,58.8899,58.8899,58.8899,58.8899,0
08/15/2024,64.6967,64.6967,64.6967,64.6967,0
08/16/2024,66.2879,66.2879,66.2879,66.2879,0
08/19/2024,68.0045,68.0045,68.0045,68.0045,0
08/20/2024,64.0273,64.0273,64.0273,64.0273,0
08/21/2024,63.8797,63.8797,63.8797,63.8797,0
08/22/2024,64.3376,64.3376,64.3376,64.3376,0
08/23/2024,71.2967,71.2967,71.2967,71.2967,0
08/26/2024,67.7662,67.7662,67.7662,67.7662,0
08/27/2024,61.8028,61.8028,61.8028,61.8028,0
08/28/2024,56.0778,56.0778,56.0778,56.0778,0
08/29/2024,63.6648,63.6648,63.6648,63.6648,0
08/30/2024,59.4459,59.4459,59.4459,59.4459,0
09/03/2024,55.7765,55.7765,55.7765,55.7765,0
09/04/2024,54.0737,54.0737,54.0737,54.0737,0
09/05/2024,50.4766,50.4766,50.4766,50.4766,0
09/06/2024,39.4617,39.4617,39.4617,39.4617,0
09/09/2024,38.1233,38.1233,38.1233,38.1233,0
09/10/2024,34.7216,34.7216,34.7216,34.7216,0
09/11/2024,34.5865,34.5865,34.5865,34.5865,0
09/12/2024,37.5768,37.5768,37.5768,37.5768,0
09/13/2024,34.9140,34.9140,34.9140,34.9140,0
09/16/2024,39.5755,39.5755,39.5755,39.5755,0
09/17/2024,41.7774,41.7774,41.7774,41.7774,0
09/18/2024,46.9274,46.9274,46.9274,46.9274,0
09/19/2024,58.5797,58.5797,58.5797,58.5797,0
09/20/2024,55.5491,55.5491,55.5491,55.5491,0
09/23/2024,57.6872,57.6872,57.6872,57.6872,0
09/24/2024,60.3712,60.3712,60.3712,60.3712,0
09/25/2024,53.2586,53.2586,53.2586,53.2586,0
09/26/2024,68.0463,68.0463,68.0463,68.0463,0
09/27/2024,55.7059,55.7059,55.7059,55.7059,0
09/30/2024,57.1475,57.1475,57.1475,57.1475,0
10/01/2024,57.5627,57.5627,57.5627,57.5627,0
10/02/2024,57.9798,57.9798,57.9798,57.9798,0
10/03/2024,56.1930,56.1930,56.1930,56.1930,0
10/04/2024,60.2561,60.2561,60.2561,60.2561,0
10/07/2024,67.3069,67.3069,67.3069,67.3069,0
10/08/2024,62.0026,62.0026,62.0026,62.0026,0
10/09/2024,60.2275,60.2275,60.2275,60.2275,0
10/10/2024,53.7902,53.7902,53.7902,53.7902,0
10/11/2024,59.6243,59.6243,59.6243,59.6243,0
10/14/2024,55.0364,55.0364,55.0364,55.0364,0
10/15/2024,47.1478,47.1478,47.1478,47.1478,0
10/16/2024,54.3190,54.3190,54.3190,54.3190,0
