date,ticker,close,volume,short_interest,avg_daily_volume,days_to_cover,short_volume_ratio,call_volume,put_volume,put_call_volume_ratio,total_options_volume,rsi14,stoch20,dist_ma20,dist_ma50,dist_ma200,roc20,volume_surge,ma50_slope,price_exhaustion_score,options_fear_greed_score,short_pressure_score,trend_score,optix
2024-08-14,PYPL,66.14,8944776.0,,,,45.72,,,,,,,,,,,,,50.0,50.0,17.5,50.0,45.125
2024-08-15,PYPL,67.94,12968279.0,18803467.0,13001488.0,1.45,40.39,,,,,,,,,,,,,50.0,50.0,32.5,50.0,47.375
2024-08-16,PYPL,67.96,9526778.0,18803467.0,13001488.0,1.45,36.73,,,,,,,,,,,,,50.0,50.0,43.33333333333333,50.0,49.0
2024-08-19,PYPL,69.43,9578068.0,18803467.0,13001488.0,1.45,33.75,,,,,,,,,,,,,50.0,50.0,48.75,50.0,49.8125
2024-08-20,PYPL,71.89,23545969.0,18803467.0,13001488.0,1.45,41.89,,,,,,,,,,,,,50.0,50.0,13.0,50.0,44.45
2024-08-21,PYPL,71.46,10455485.0,18803467.0,13001488.0,1.45,40.36,,,,,,,,,,,,,50.0,50.0,32.5,50.0,47.375
2024-08-22,PYPL,71.52,11811123.0,18803467.0,13001488.0,1.45,41.18,,,,,,,,,,,,,50.0,50.0,18.57142857142857,50.0,45.285714285714285
2024-08-23,PYPL,71.7,8222231.0,18803467.0,13001488.0,1.45,34.76,,,,,,,,,,,,,50.0,50.0,48.75,50.0,49.8125
2024-08-26,PYPL,72.04,9062957.0,18803467.0,13001488.0,1.45,39.2,,,,,,,,,,,,,50.0,50.0,36.111111111111114,50.0,47.916666666666664
2024-08-27,PYPL,71.59,9396932.0,18803467.0,13001488.0,1.45,37.34,,,,,,,,,,,,,50.0,50.0,39.0,50.0,48.35
2024-08-28,PYPL,70.43,9277660.0,18803467.0,13001488.0,1.45,37.87,,,,,,,,,,,,,50.0,50.0,35.45454545454545,50.0,47.81818181818182
2024-08-29,PYPL,73.16,13181591.0,18803467.0,13001488.0,1.45,45.17,,,,,,,,,,,,,50.0,50.0,5.416666666666663,50.0,43.3125
2024-08-30,PYPL,72.43,9634963.0,22679626.0,11122592.0,2.04,33.77,,,,,,,,,,,,,50.0,50.0,55.0,50.0,50.75
2024-09-03,PYPL,72.0,8571345.0,22679626.0,11122592.0,2.04,35.22,,,,,,,,,,,,,50.0,50.0,46.42857142857143,50.0,49.464285714285715
2024-09-04,PYPL,72.61,8368990.0,22679626.0,11122592.0,2.04,39.45,,,,,75.13597513597512,,,,,,,,56.28399378399378,50.0,26.0,50.0,49.2277972027972
2024-09-05,PYPL,72.03,11473844.0,22679626.0,11122592.0,2.04,39.66,,,,,67.55364806866953,,,,,,,,54.38841201716738,50.0,24.375,50.0,48.13103540772532
2024-09-06,PYPL,68.89,12315821.0,22679626.0,11122592.0,2.04,39.68,,,,,53.148273527420464,,,,,,,,50.787068381855114,50.0,22.94117647058824,50.0,46.295357242423044
2024-09-09,PYPL,69.35,11869340.0,22679626.0,11122592.0,2.04,53.31,,,,,49.70930232558135,,,,,,,,49.92732558139534,50.0,0.0,50.0,42.46729651162791
2024-09-10,PYPL,68.85,12317452.0,22679626.0,11122592.0,2.04,52.05,,,,,37.11864406779658,,,,,,,,46.77966101694915,50.0,3.421052631578943,50.0,41.56400535236396
2024-09-11,PYPL,69.35,12344870.0,22679626.0,11122592.0,2.04,56.53,,,,,41.112047177759045,45.72649572649566,-0.016848954826087503,,,,1.1078166219238348,,56.70963572606368,50.0,0.0,50.0,45.519336076728656
2024-09-12,PYPL,70.36,8376713.0,22679626.0,11122592.0,2.04,52.17,,,,,45.47581903276132,46.360153256705026,-0.005505339260347908,,,0.06380405201088601,0.753639002493792,,65.45899307236658,50.0,6.190476190476187,50.0,50.385118311136395
2024-09-13,PYPL,70.1,7572594.0,23576745.0,10234544.0,2.3,53.65,,,,,43.79844961240306,41.15384615384614,-0.010690470310129152,,,0.03179275831616124,0.6982414942862978,,49.571407274895634,50.0,2.9545454545454555,50.0,42.75031509188486
2024-09-16,PYPL,71.07,6494997.0,23576745.0,10234544.0,2.3,49.81,,,,,46.41537324464148,51.50812064965192,0.0008026699336745047,,,0.04576221306650963,0.6073696698757293,,61.980873473573354,50.0,14.130434782608697,50.0,50.01095828049932
2024-09-17,PYPL,71.77,6187212.0,23576745.0,10234544.0,2.3,56.28,,,,,50.653120464441194,67.74941995359629,0.00899761000984145,,,0.03370301022612687,0.5879086462316516,,64.60063510450937,50.0,2.7083333333333366,50.0,49.476535797029214
2024-09-18,PYPL,73.12,13498163.0,23576745.0,10234544.0,2.3,55.69,,,,,59.627773801002135,99.07192575406052,0.027088908085937335,,,0.01710947280567532,1.3468916392910688,,70.17492488876566,50.0,5.2,50.0,52.35871619994455
2024-09-19,PYPL,77.57,21662377.0,23576745.0,10234544.0,2.3,47.05,,,,,64.05353728489483,100.0,0.0849406268794497,,,0.08550237895326052,2.047085308423562,,83.51338432122371,50.0,20.000000000000004,50.0,60.58102294455067
2024-09-20,PYPL,76.76,27274648.0,23576745.0,10234544.0,2.3,43.51,,,,,63.72859860494609,90.71100917431207,0.06969160662774043,,,0.07326621923937382,2.401944829851606,,76.4670448019574,50.0,26.48148148148148,50.0,58.38239238310305
2024-09-23,PYPL,77.67,12839810.0,23576745.0,10234544.0,2.3,47.41,,,,,67.44615384615386,100.0,0.07788918571973769,,,0.08326359832635988,1.1082067771308257,,80.26431623931624,50.0,18.57142857142857,50.0,58.90465659340659
2024-09-24,PYPL,78.34,14724836.0,23576745.0,10234544.0,2.3,40.56,,,,,67.56591048436545,100.0,0.0824553525164946,,,0.08745141588006655,1.2405912950602205,,82.39147762109135,50.0,33.62068965517241,50.0,62.11926837776698
2024-09-25,PYPL,77.36,13822395.0,23576745.0,10234544.0,2.3,49.68,,,,,65.94853381208857,89.67334035827183,0.06467018070216501,,,0.08059784886157284,1.1432460745637576,,69.63274126986283,50.0,17.333333333333336,50.0,53.93473357143828
2024-09-26,PYPL,80.08,13316657.0,23576745.0,10234544.0,2.3,36.95,,,,,84.3462246777164,100.0,0.0948341274344271,,,0.13701547635950573,1.0833216886336128,,88.5865561694291,50.0,52.41935483870968,50.0,67.72685350204955
2024-09-27,PYPL,77.88,11575282.0,23576745.0,10234544.0,2.3,37.56,,,,,73.65501941209097,80.40961709706143,0.06133184336224673,,,0.06451612903225801,0.9478523231615863,,64.28538989651886,50.0,48.75,50.0,56.24092545343349
2024-09-30,PYPL,78.03,6853835.0,23152565.0,13317822.0,1.74,40.54,,,,,75.96153846153848,81.74532502226182,0.05933382659399,,,0.07731602926963954,0.5676966352616324,,66.1574851017193,50.0,55.359848484848484,50.0,58.07484556850096
2024-10-01,PYPL,77.47,10608717.0,23152565.0,13317822.0,1.74,37.19,,,,,72.88613303269447,76.75868210151381,0.04784061244640436,,,0.07597222222222211,0.8713577037149786,,62.81596568831397,50.0,72.82976827094474,50.0,59.191649800383
2024-10-02,PYPL,77.44,8073322.0,23152565.0,13317822.0,1.74,34.07,,,,,71.12171837708829,76.49154051647373,0.04402456369776675,,,0.06651976311802787,0.6639166307587182,,60.15331472339051,50.0,80.01680672268907,50.0,59.07151263392909
2024-10-03,PYPL,77.31,9121261.0,23152565.0,13317822.0,1.74,37.39,,,,,71.67769092002408,75.33392698130014,0.03857546833963599,,,0.07330279050395672,0.7574215954273539,,60.92569859297811,50.0,66.94444444444446,50.0,57.45823103350682
2024-10-04,PYPL,79.36,10083594.0,23152565.0,13317822.0,1.74,40.66,,,,,73.4048560135517,93.5886019590383,0.05866972599450393,,,0.15198141965452172,0.8451659833396946,,75.35947560425862,50.0,47.552552552552555,50.0,61.044646904799265
2024-10-07,PYPL,80.26,9206569.0,23152565.0,13317822.0,1.74,33.11,,,,,73.70184254606369,100.0,0.06294076747342991,,,0.157317952415285,0.7803655051551628,,79.60967116283172,50.0,82.20839260312945,50.0,68.15561091374369
2024-10-08,PYPL,81.16,8618496.0,23152565.0,13317822.0,1.74,43.23,,,,,73.02405498281787,100.0,0.06616922612088327,,,0.17879448075526505,0.7421537515951986,,80.75601374570446,50.0,41.75438596491228,50.0,62.603364080303855
2024-10-09,PYPL,81.65,6925969.0,23152565.0,13317822.0,1.74,44.99,,,,,65.11111111111116,100.0,0.06401000807943924,,,0.17736121124729642,0.610654818381905,,76.36111111111111,50.0,39.07371794871795,50.0,60.22355769230769
2024-10-10,PYPL,78.98,11326106.0,23152565.0,13317822.0,1.74,38.54,,,,,57.22656249999999,76.88311688311688,0.023467972890668376,,,0.12251279135872672,0.9857923978588156,,57.910536728896105,50.0,60.30487804878048,50.0,55.10547323532032
2024-10-11,PYPL,80.51,7744777.0,23152565.0,13317822.0,1.74,35.5,,,,,58.88610763454317,89.2249527410208,0.03630477735086468,,,0.14850213980028548,0.6735788749633016,,63.7570141057487,50.0,71.23983739837398,50.0,59.376631957343015
