Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,38.5879,38.5879,38.5879,38.5879,2550
02/19/2026,1600,58.3851,58.3851,58.3851,58.3851,1651
02/20/2026,1600,61.0010,61.0010,61.0010,61.0010,1999
02/23/2026,1600,49.0578,49.0578,49.0578,49.0578,1607
02/24/2026,1600,41.2740,41.2740,41.2740,41.2740,1460
02/25/2026,1600,43.8709,43.8709,43.8709,43.8709,1329
02/26/2026,1600,39.7710,39.7710,39.7710,39.7710,1649
02/27/2026,1600,40.4993,40.4993,40.4993,40.4993,1338
03/02/2026,1600,37.8569,37.8569,37.8569,37.8569,1111
03/03/2026,1600,59.2167,59.2167,59.2167,59.2167,1600
03/04/2026,1600,26.3169,26.3169,26.3169,26.3169,1692
03/05/2026,1600,42.2019,42.2019,42.2019,42.2019,1939
03/06/2026,1600,42.0497,42.0497,42.0497,42.0497,2170
03/09/2026,1600,38.0426,38.0426,38.0426,38.0426,1343
03/10/2026,1600,51.7763,51.7763,51.7763,51.7763,985
03/11/2026,1600,40.1698,40.1698,40.1698,40.1698,911
03/12/2026,1600,26.8552,26.8552,26.8552,26.8552,815
03/13/2026,1600,33.9186,33.9186,33.9186,33.9186,1046
03/16/2026,1600,22.0480,22.0480,22.0480,22.0480,775
03/17/2026,1600,37.4787,37.4787,37.4787,37.4787,684
03/18/2026,1600,42.8033,42.8033,42.8033,42.8033,954
03/19/2026,1600,39.9490,39.9490,39.9490,39.9490,935
03/20/2026,1600,22.6237,22.6237,22.6237,22.6237,1654
03/23/2026,1600,45.9035,45.9035,45.9035,45.9035,1166
03/24/2026,1600,51.8109,51.8109,51.8109,51.8109,1645
03/25/2026,1600,30.1364,30.1364,30.1364,30.1364,1060
03/26/2026,1600,25.3633,25.3633,25.3633,25.3633,1045
03/27/2026,1600,28.6340,28.6340,28.6340,28.6340,969
03/30/2026,1600,31.0170,31.0170,31.0170,31.0170,982
03/31/2026,1600,27.0308,27.0308,27.0308,27.0308,1316
04/01/2026,1600,33.8985,33.8985,33.8985,33.8985,828
04/02/2026,1600,39.7462,39.7462,39.7462,39.7462,880
04/06/2026,1600,23.3998,23.3998,23.3998,23.3998,652
04/07/2026,1600,53.7101,53.7101,53.7101,53.7101,741
04/08/2026,1600,23.0643,23.0643,23.0643,23.0643,1149
04/09/2026,1600,45.1952,45.1952,45.1952,45.1952,1265
04/10/2026,1600,53.2776,53.2776,53.2776,53.2776,1041
04/13/2026,1600,54.1895,54.1895,54.1895,54.1895,1277
04/14/2026,1600,39.2224,39.2224,39.2224,39.2224,1197
04/15/2026,1600,35.6651,35.6651,35.6651,35.6651,1292
04/16/2026,1600,43.1175,43.1175,43.1175,43.1175,956
04/17/2026,1600,28.2902,28.2902,28.2902,28.2902,1320
04/20/2026,1600,15.7346,15.7346,15.7346,15.7346,962
04/21/2026,1600,44.4993,44.4993,44.4993,44.4993,1083
04/22/2026,1600,41.7046,41.7046,41.7046,41.7046,861
04/23/2026,1600,58.6377,58.6377,58.6377,58.6377,1049
04/24/2026,1600,43.5808,43.5808,43.5808,43.5808,1232
04/27/2026,1600,32.6683,32.6683,32.6683,32.6683,561
04/28/2026,1600,27.4680,27.4680,27.4680,27.4680,695
04/29/2026,1600,25.4730,25.4730,25.4730,25.4730,688
04/30/2026,1600,25.3231,25.3231,25.3231,25.3231,952
05/01/2026,1600,32.6799,32.6799,32.6799,32.6799,1117
05/04/2026,1600,42.9252,42.9252,42.9252,42.9252,1532
05/05/2026,1600,42.6234,42.6234,42.6234,42.6234,4662
05/06/2026,1600,41.3789,41.3789,41.3789,41.3789,2875
05/07/2026,1600,62.2025,62.2025,62.2025,62.2025,2626
05/08/2026,1600,37.2527,37.2527,37.2527,37.2527,1707
05/11/2026,1600,50.8201,50.8201,50.8201,50.8201,2076
05/12/2026,1600,37.1055,37.1055,37.1055,37.1055,1545
