Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,38.7848,38.7848,38.7848,38.7848,2550
02/19/2026,1600,47.3268,47.3268,47.3268,47.3268,1651
02/20/2026,1600,46.9304,46.9304,46.9304,46.9304,1999
02/23/2026,1600,43.4434,43.4434,43.4434,43.4434,1607
02/24/2026,1600,38.7113,38.7113,38.7113,38.7113,1460
02/25/2026,1600,41.9899,41.9899,41.9899,41.9899,1329
02/26/2026,1600,39.3911,39.3911,39.3911,39.3911,1649
02/27/2026,1600,38.3371,38.3371,38.3371,38.3371,1338
03/02/2026,1600,36.9236,36.9236,36.9236,36.9236,1111
03/03/2026,1600,44.2567,44.2567,44.2567,44.2567,1600
03/04/2026,1600,30.5260,30.5260,30.5260,30.5260,1692
03/05/2026,1600,40.4534,40.4534,40.4534,40.4534,1939
03/06/2026,1600,36.9871,36.9871,36.9871,36.9871,2170
03/09/2026,1600,35.7646,35.7646,35.7646,35.7646,1343
03/10/2026,1600,39.3490,39.3490,39.3490,39.3490,985
03/11/2026,1600,39.6755,39.6755,39.6755,39.6755,911
03/12/2026,1600,34.4696,34.4696,34.4696,34.4696,815
03/13/2026,1600,40.1471,40.1471,40.1471,40.1471,1046
03/16/2026,1600,29.7065,29.7065,29.7065,29.7065,775
03/17/2026,1600,35.7766,35.7766,35.7766,35.7766,684
03/18/2026,1600,34.6605,34.6605,34.6605,34.6605,954
03/19/2026,1600,40.8609,40.8609,40.8609,40.8609,935
03/20/2026,1600,30.4721,30.4721,30.4721,30.4721,1654
03/23/2026,1600,38.4609,38.4609,38.4609,38.4609,1166
03/24/2026,1600,39.4089,39.4089,39.4089,39.4089,1645
03/25/2026,1600,32.1411,32.1411,32.1411,32.1411,1060
03/26/2026,1600,30.4344,30.4344,30.4344,30.4344,1045
03/27/2026,1600,33.5902,33.5902,33.5902,33.5902,969
03/30/2026,1600,30.9636,30.9636,30.9636,30.9636,982
03/31/2026,1600,30.2146,30.2146,30.2146,30.2146,1316
04/01/2026,1600,33.2812,33.2812,33.2812,33.2812,828
04/02/2026,1600,35.0907,35.0907,35.0907,35.0907,880
04/06/2026,1600,29.6076,29.6076,29.6076,29.6076,652
04/07/2026,1600,42.0641,42.0641,42.0641,42.0641,741
04/08/2026,1600,33.0739,33.0739,33.0739,33.0739,1149
04/09/2026,1600,37.6124,37.6124,37.6124,37.6124,1265
04/10/2026,1600,39.7820,39.7820,39.7820,39.7820,1041
04/13/2026,1600,43.4746,43.4746,43.4746,43.4746,1277
04/14/2026,1600,38.3638,38.3638,38.3638,38.3638,1197
04/15/2026,1600,39.4606,39.4606,39.4606,39.4606,1292
04/16/2026,1600,39.4846,39.4846,39.4846,39.4846,956
04/17/2026,1600,37.3654,37.3654,37.3654,37.3654,1320
04/20/2026,1600,29.2593,29.2593,29.2593,29.2593,962
04/21/2026,1600,35.4129,35.4129,35.4129,35.4129,1083
04/22/2026,1600,39.6768,39.6768,39.6768,39.6768,861
04/23/2026,1600,43.8059,43.8059,43.8059,43.8059,1049
04/24/2026,1600,27.7956,27.7956,27.7956,27.7956,1232
04/27/2026,1600,38.9541,38.9541,38.9541,38.9541,561
04/28/2026,1600,32.7711,32.7711,32.7711,32.7711,695
04/29/2026,1600,34.2499,34.2499,34.2499,34.2499,688
04/30/2026,1600,32.4362,32.4362,32.4362,32.4362,952
05/01/2026,1600,34.9020,34.9020,34.9020,34.9020,1117
05/04/2026,1600,39.3706,39.3706,39.3706,39.3706,1532
05/05/2026,1600,39.4747,39.4747,39.4747,39.4747,4662
05/06/2026,1600,37.5832,37.5832,37.5832,37.5832,2875
05/07/2026,1600,49.2560,49.2560,49.2560,49.2560,2626
05/08/2026,1600,36.3520,36.3520,36.3520,36.3520,1707
05/11/2026,1600,40.9028,40.9028,40.9028,40.9028,2076
05/12/2026,1600,38.1258,38.1258,38.1258,38.1258,1545
