Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,40.7251,40.7251,40.7251,40.7251,2550
02/19/2026,1600,48.9064,48.9064,48.9064,48.9064,1651
02/20/2026,1600,48.4581,48.4581,48.4581,48.4581,1999
02/23/2026,1600,45.3815,45.3815,45.3815,45.3815,1607
02/24/2026,1600,40.4696,40.4696,40.4696,40.4696,1460
02/25/2026,1600,43.9606,43.9606,43.9606,43.9606,1329
02/26/2026,1600,40.7665,40.7665,40.7665,40.7665,1649
02/27/2026,1600,40.1509,40.1509,40.1509,40.1509,1338
03/02/2026,1600,39.0262,39.0262,39.0262,39.0262,1111
03/03/2026,1600,45.9953,45.9953,45.9953,45.9953,1600
03/04/2026,1600,32.0784,32.0784,32.0784,32.0784,1692
03/05/2026,1600,43.2999,43.2999,43.2999,43.2999,1939
03/06/2026,1600,38.4812,38.4812,38.4812,38.4812,2170
03/09/2026,1600,37.6037,37.6037,37.6037,37.6037,1343
03/10/2026,1600,40.3464,40.3464,40.3464,40.3464,985
03/11/2026,1600,40.8970,40.8970,40.8970,40.8970,911
03/12/2026,1600,35.7220,35.7220,35.7220,35.7220,815
03/13/2026,1600,42.5846,42.5846,42.5846,42.5846,1046
03/16/2026,1600,30.7861,30.7861,30.7861,30.7861,775
03/17/2026,1600,37.7017,37.7017,37.7017,37.7017,684
03/18/2026,1600,39.4604,39.4604,39.4604,39.4604,954
03/19/2026,1600,42.2964,42.2964,42.2964,42.2964,935
03/20/2026,1600,31.9791,31.9791,31.9791,31.9791,1654
03/23/2026,1600,39.6107,39.6107,39.6107,39.6107,1166
03/24/2026,1600,41.0923,41.0923,41.0923,41.0923,1645
03/25/2026,1600,33.6692,33.6692,33.6692,33.6692,1060
03/26/2026,1600,31.5618,31.5618,31.5618,31.5618,1045
03/27/2026,1600,35.7147,35.7147,35.7147,35.7147,969
03/30/2026,1600,32.4660,32.4660,32.4660,32.4660,982
03/31/2026,1600,31.9302,31.9302,31.9302,31.9302,1316
04/01/2026,1600,34.5509,34.5509,34.5509,34.5509,828
04/02/2026,1600,36.7403,36.7403,36.7403,36.7403,880
04/06/2026,1600,30.9551,30.9551,30.9551,30.9551,652
04/07/2026,1600,44.2035,44.2035,44.2035,44.2035,741
04/08/2026,1600,36.0543,36.0543,36.0543,36.0543,1149
04/09/2026,1600,39.8686,39.8686,39.8686,39.8686,1265
04/10/2026,1600,41.7937,41.7937,41.7937,41.7937,1041
04/13/2026,1600,45.2437,45.2437,45.2437,45.2437,1277
04/14/2026,1600,40.5054,40.5054,40.5054,40.5054,1197
04/15/2026,1600,41.3308,41.3308,41.3308,41.3308,1292
04/16/2026,1600,41.7618,41.7618,41.7618,41.7618,956
04/17/2026,1600,39.2438,39.2438,39.2438,39.2438,1320
04/20/2026,1600,30.7695,30.7695,30.7695,30.7695,962
04/21/2026,1600,43.3524,43.3524,43.3524,43.3524,1083
04/22/2026,1600,41.9031,41.9031,41.9031,41.9031,861
04/23/2026,1600,47.0486,47.0486,47.0486,47.0486,1049
04/24/2026,1600,41.1389,41.1389,41.1389,41.1389,1232
04/27/2026,1600,40.5593,40.5593,40.5593,40.5593,561
04/28/2026,1600,34.7845,34.7845,34.7845,34.7845,695
04/29/2026,1600,35.7941,35.7941,35.7941,35.7941,688
04/30/2026,1600,34.8518,34.8518,34.8518,34.8518,952
05/01/2026,1600,37.3072,37.3072,37.3072,37.3072,1117
05/04/2026,1600,41.5572,41.5572,41.5572,41.5572,1532
05/05/2026,1600,42.4020,42.4020,42.4020,42.4020,4662
05/06/2026,1600,39.8101,39.8101,39.8101,39.8101,2875
05/07/2026,1600,51.1983,51.1983,51.1983,51.1983,2626
05/08/2026,1600,39.0203,39.0203,39.0203,39.0203,1707
05/11/2026,1600,43.2511,43.2511,43.2511,43.2511,2076
05/12/2026,1600,40.4510,40.4510,40.4510,40.4510,1545
