date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-06-23,SHOP,4171264.0,2207376.0,52.92,96.8589,62479,2138040,6857,0,1394.0,,
2025-06-24,SHOP,3223273.0,2201670.0,68.31,95.2467,93065,2097017,11588,0,488.0,,
2025-06-25,SHOP,4312697.0,2358631.0,54.69,97.8653,46795,2308282,3554,0,1551.0,,
2025-06-26,SHOP,4806612.0,2804348.0,58.34,96.9614,70801,2719135,14412,0,3226.0,,
2025-06-27,SHOP,2650126.0,1597415.0,60.28,97.2007,34089,1552698,10628,0,2795.0,58.908,
2025-06-30,SHOP,2830634.0,1458380.0,51.52,96.7175,38899,1410509,8972,0,1484.0,57.6767,
2025-07-01,SHOP,2436092.0,1522097.0,62.48,96.9484,33006,1475648,13443,0,4068.0,58.3629,
2025-07-02,SHOP,2653423.0,1652721.0,62.29,97.1169,34421,1605072,13228,0,2113.0,58.8538,
2025-07-03,SHOP,1336196.0,791160.0,59.21,93.9973,38380,743669,9111,0,679.0,58.8933,
2025-07-07,SHOP,1666265.0,961752.0,57.72,95.4891,37801,918368,5583,0,655.0,58.776,
2025-07-08,SHOP,3296595.0,1704050.0,51.69,95.77,57927,1631969,14154,0,5685.0,58.1318,
2025-07-09,SHOP,2326013.0,1229926.0,52.88,97.2375,27689,1195949,6288,0,3505.0,57.6942,
2025-07-10,SHOP,1336484.0,815269.0,61.0,95.1568,33449,775784,6036,0,4640.0,57.9485,
2025-07-11,SHOP,2065454.0,1040375.0,50.37,95.7009,40273,995648,4454,0,1871.0,57.4071,
2025-07-14,SHOP,4650898.0,3136722.0,67.44,97.1186,78104,3046340,12278,0,2683.0,58.076,
2025-07-15,SHOP,2172730.0,1296033.0,59.65,96.7032,35626,1253306,7101,0,761.0,58.1744,
2025-07-16,SHOP,4998158.0,3339561.0,66.82,95.853,115536,3201068,22957,0,6951.0,58.6829,
2025-07-17,SHOP,5007605.0,3460437.0,69.1,96.3793,94268,3335146,31023,0,2231.0,59.2617,
2025-07-18,SHOP,2888890.0,1848275.0,63.98,93.6448,102565,1730814,14896,0,194.0,59.51,
2025-07-21,SHOP,2448533.0,1564539.0,63.9,96.3797,41518,1507898,15123,0,1598.0,59.7295,0.7221
2025-07-22,SHOP,3547215.0,1824815.0,51.44,96.3561,48736,1758321,17758,0,5852.0,59.6555,-1.3366
2025-07-23,SHOP,3444557.0,1817488.0,52.76,95.2692,58559,1731506,27423,0,3988.0,58.878,-1.0581
2025-07-24,SHOP,1772285.0,913817.0,51.56,96.2251,28000,879321,6496,0,4936.0,58.7215,-1.1923
2025-07-25,SHOP,2526669.0,1443423.0,57.13,97.2524,24144,1403763,15516,0,2374.0,58.661,-0.2577
2025-07-28,SHOP,2084386.0,1270164.0,60.94,97.7808,20685,1241976,7503,0,14722.0,58.694,0.3813
2025-07-29,SHOP,1967257.0,1145361.0,58.22,97.0321,28877,1111368,5116,0,6181.0,59.029,-0.0877
2025-07-30,SHOP,2829351.0,1613130.0,57.01,95.0756,72336,1533693,7101,0,3888.0,58.7555,-0.2951
2025-07-31,SHOP,2879746.0,1350540.0,46.9,91.3098,109600,1233176,7764,0,369.0,57.986,-1.9245
2025-08-01,SHOP,3917525.0,2033159.0,51.9,95.8958,75925,1949715,7519,0,8240.0,57.6205,-1.0363
2025-08-04,SHOP,2829999.0,2033812.0,71.87,96.2669,66149,1957887,9776,0,3385.0,58.328,2.1216
2025-08-05,SHOP,3457351.0,2339848.0,67.68,92.5895,165808,2166454,7586,0,760.0,59.1275,1.3874
