Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,56.6114,56.6114,56.6114,56.6114,4584
02/19/2026,1600,57.9224,57.9224,57.9224,57.9224,3582
02/20/2026,1600,53.3241,53.3241,53.3241,53.3241,6611
02/23/2026,1600,54.6447,54.6447,54.6447,54.6447,7597
02/24/2026,1600,62.9522,62.9522,62.9522,62.9522,4573
02/25/2026,1600,53.8124,53.8124,53.8124,53.8124,5505
02/26/2026,1600,63.4090,63.4090,63.4090,63.4090,4276
02/27/2026,1600,50.5738,50.5738,50.5738,50.5738,6068
03/02/2026,1600,59.2117,59.2117,59.2117,59.2117,7996
03/03/2026,1600,48.1859,48.1859,48.1859,48.1859,6882
03/04/2026,1600,50.0570,50.0570,50.0570,50.0570,3093
03/05/2026,1600,50.3945,50.3945,50.3945,50.3945,3776
03/06/2026,1600,50.0193,50.0193,50.0193,50.0193,3169
03/09/2026,1600,52.2298,52.2298,52.2298,52.2298,2731
03/10/2026,1600,49.6351,49.6351,49.6351,49.6351,3083
03/11/2026,1600,53.3375,53.3375,53.3375,53.3375,2461
03/12/2026,1600,51.3969,51.3969,51.3969,51.3969,2386
03/13/2026,1600,66.3779,66.3779,66.3779,66.3779,3593
03/16/2026,1600,48.3090,48.3090,48.3090,48.3090,2824
03/17/2026,1600,53.0287,53.0287,53.0287,53.0287,2730
03/18/2026,1600,50.8386,50.8386,50.8386,50.8386,3345
03/19/2026,1600,56.5583,56.5583,56.5583,56.5583,6321
03/20/2026,1600,55.5055,55.5055,55.5055,55.5055,3718
03/23/2026,1600,51.7793,51.7793,51.7793,51.7793,4680
03/24/2026,1600,54.4364,54.4364,54.4364,54.4364,3128
03/25/2026,1600,51.3241,51.3241,51.3241,51.3241,2560
03/26/2026,1600,60.1052,60.1052,60.1052,60.1052,3547
03/27/2026,1600,64.4522,64.4522,64.4522,64.4522,3433
03/30/2026,1600,55.6892,55.6892,55.6892,55.6892,2006
03/31/2026,1600,52.5786,52.5786,52.5786,52.5786,2920
04/01/2026,1600,65.1190,65.1190,65.1190,65.1190,2840
04/02/2026,1600,70.0184,70.0184,70.0184,70.0184,2628
04/03/2026,1600,0.0000,0.0000,0.0000,0.0000,15
04/06/2026,1600,56.0803,56.0803,56.0803,56.0803,1218
04/07/2026,1600,45.4860,45.4860,45.4860,45.4860,2089
04/08/2026,1600,48.3961,48.3961,48.3961,48.3961,2322
04/09/2026,1600,50.9880,50.9880,50.9880,50.9880,2079
04/10/2026,1600,33.6968,33.6968,33.6968,33.6968,1606
04/13/2026,1600,46.6531,46.6531,46.6531,46.6531,1835
04/14/2026,1600,36.0966,36.0966,36.0966,36.0966,2524
04/15/2026,1600,57.7514,57.7514,57.7514,57.7514,1764
04/16/2026,1600,67.0177,67.0177,67.0177,67.0177,1587
04/17/2026,1600,48.9186,48.9186,48.9186,48.9186,2692
04/20/2026,1600,46.5526,46.5526,46.5526,46.5526,1563
04/21/2026,1600,53.7617,53.7617,53.7617,53.7617,2299
04/22/2026,1600,46.2397,46.2397,46.2397,46.2397,1083
04/23/2026,1600,57.6524,57.6524,57.6524,57.6524,1563
04/24/2026,1600,51.6370,51.6370,51.6370,51.6370,1166
04/27/2026,1600,50.5800,50.5800,50.5800,50.5800,948
04/28/2026,1600,39.7212,39.7212,39.7212,39.7212,1492
04/29/2026,1600,46.5436,46.5436,46.5436,46.5436,1293
04/30/2026,1600,30.2161,30.2161,30.2161,30.2161,1156
05/01/2026,1600,47.5483,47.5483,47.5483,47.5483,1444
05/04/2026,1600,41.1234,41.1234,41.1234,41.1234,1456
05/05/2026,1600,41.1978,41.1978,41.1978,41.1978,912
05/06/2026,1600,31.7522,31.7522,31.7522,31.7522,1846
05/07/2026,1600,32.0515,32.0515,32.0515,32.0515,2746
05/08/2026,1600,36.9206,36.9206,36.9206,36.9206,1541
05/11/2026,1600,38.7115,38.7115,38.7115,38.7115,3120
05/12/2026,1600,56.1515,56.1515,56.1515,56.1515,2474
