Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,33.2650,33.2650,33.2650,33.2650,4584
02/19/2026,1600,31.2554,31.2554,31.2554,31.2554,3582
02/20/2026,1600,38.2041,38.2041,38.2041,38.2041,6611
02/23/2026,1600,37.1852,37.1852,37.1852,37.1852,7597
02/24/2026,1600,37.8595,37.8595,37.8595,37.8595,4573
02/25/2026,1600,33.9293,33.9293,33.9293,33.9293,5505
02/26/2026,1600,34.4188,34.4188,34.4188,34.4188,4276
02/27/2026,1600,34.8317,34.8317,34.8317,34.8317,6068
03/02/2026,1600,36.0488,36.0488,36.0488,36.0488,7996
03/03/2026,1600,33.1828,33.1828,33.1828,33.1828,6882
03/04/2026,1600,36.6263,36.6263,36.6263,36.6263,3093
03/05/2026,1600,30.4796,30.4796,30.4796,30.4796,3776
03/06/2026,1600,30.9388,30.9388,30.9388,30.9388,3169
03/09/2026,1600,32.8443,32.8443,32.8443,32.8443,2731
03/10/2026,1600,33.4197,33.4197,33.4197,33.4197,3083
03/11/2026,1600,36.6780,36.6780,36.6780,36.6780,2461
03/12/2026,1600,34.5101,34.5101,34.5101,34.5101,2386
03/13/2026,1600,38.9685,38.9685,38.9685,38.9685,3593
03/16/2026,1600,34.1883,34.1883,34.1883,34.1883,2824
03/17/2026,1600,30.1019,30.1019,30.1019,30.1019,2730
03/18/2026,1600,34.3743,34.3743,34.3743,34.3743,3345
03/19/2026,1600,37.3440,37.3440,37.3440,37.3440,6321
03/20/2026,1600,39.1721,39.1721,39.1721,39.1721,3718
03/23/2026,1600,29.5533,29.5533,29.5533,29.5533,4680
03/24/2026,1600,30.9794,30.9794,30.9794,30.9794,3128
03/25/2026,1600,35.2244,35.2244,35.2244,35.2244,2560
03/26/2026,1600,32.2641,32.2641,32.2641,32.2641,3547
03/27/2026,1600,36.1767,36.1767,36.1767,36.1767,3433
03/30/2026,1600,36.5152,36.5152,36.5152,36.5152,2006
03/31/2026,1600,36.1549,36.1549,36.1549,36.1549,2920
04/01/2026,1600,37.8473,37.8473,37.8473,37.8473,2840
04/02/2026,1600,41.2713,41.2713,41.2713,41.2713,2628
04/03/2026,1600,0.0000,0.0000,0.0000,0.0000,15
04/06/2026,1600,39.7827,39.7827,39.7827,39.7827,1218
04/07/2026,1600,34.7627,34.7627,34.7627,34.7627,2089
04/08/2026,1600,33.6511,33.6511,33.6511,33.6511,2322
04/09/2026,1600,35.9073,35.9073,35.9073,35.9073,2079
04/10/2026,1600,31.6067,31.6067,31.6067,31.6067,1606
04/13/2026,1600,35.2170,35.2170,35.2170,35.2170,1835
04/14/2026,1600,31.0130,31.0130,31.0130,31.0130,2524
04/15/2026,1600,39.4016,39.4016,39.4016,39.4016,1764
04/16/2026,1600,42.0873,42.0873,42.0873,42.0873,1587
04/17/2026,1600,37.0221,37.0221,37.0221,37.0221,2692
04/20/2026,1600,36.7369,36.7369,36.7369,36.7369,1563
04/21/2026,1600,37.7499,37.7499,37.7499,37.7499,2299
04/22/2026,1600,35.4358,35.4358,35.4358,35.4358,1083
04/23/2026,1600,31.1629,31.1629,31.1629,31.1629,1563
04/24/2026,1600,34.9849,34.9849,34.9849,34.9849,1166
04/27/2026,1600,36.5706,36.5706,36.5706,36.5706,948
04/28/2026,1600,33.9359,33.9359,33.9359,33.9359,1492
04/29/2026,1600,33.1014,33.1014,33.1014,33.1014,1293
04/30/2026,1600,30.6210,30.6210,30.6210,30.6210,1156
05/01/2026,1600,33.2511,33.2511,33.2511,33.2511,1444
05/04/2026,1600,31.0904,31.0904,31.0904,31.0904,1456
05/05/2026,1600,36.3704,36.3704,36.3704,36.3704,912
05/06/2026,1600,30.7008,30.7008,30.7008,30.7008,1846
05/07/2026,1600,29.6825,29.6825,29.6825,29.6825,2746
05/08/2026,1600,33.8192,33.8192,33.8192,33.8192,1541
05/11/2026,1600,33.9061,33.9061,33.9061,33.9061,3120
05/12/2026,1600,38.6224,38.6224,38.6224,38.6224,2474
