Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,37.0401,37.0401,37.0401,37.0401,4584
02/19/2026,1600,35.7826,35.7826,35.7826,35.7826,3582
02/20/2026,1600,41.0102,41.0102,41.0102,41.0102,6611
02/23/2026,1600,40.9775,40.9775,40.9775,40.9775,7597
02/24/2026,1600,41.7696,41.7696,41.7696,41.7696,4573
02/25/2026,1600,39.0810,39.0810,39.0810,39.0810,5505
02/26/2026,1600,40.1982,40.1982,40.1982,40.1982,4276
02/27/2026,1600,38.9840,38.9840,38.9840,38.9840,6068
03/02/2026,1600,39.6729,39.6729,39.6729,39.6729,7996
03/03/2026,1600,38.3374,38.3374,38.3374,38.3374,6882
03/04/2026,1600,40.2979,40.2979,40.2979,40.2979,3093
03/05/2026,1600,34.6309,34.6309,34.6309,34.6309,3776
03/06/2026,1600,33.9097,33.9097,33.9097,33.9097,3169
03/09/2026,1600,37.2207,37.2207,37.2207,37.2207,2731
03/10/2026,1600,36.1497,36.1497,36.1497,36.1497,3083
03/11/2026,1600,40.9861,40.9861,40.9861,40.9861,2461
03/12/2026,1600,37.4133,37.4133,37.4133,37.4133,2386
03/13/2026,1600,44.9173,44.9173,44.9173,44.9173,3593
03/16/2026,1600,37.9182,37.9182,37.9182,37.9182,2824
03/17/2026,1600,38.2691,38.2691,38.2691,38.2691,2730
03/18/2026,1600,37.6170,37.6170,37.6170,37.6170,3345
03/19/2026,1600,43.0008,43.0008,43.0008,43.0008,6321
03/20/2026,1600,44.1677,44.1677,44.1677,44.1677,3718
03/23/2026,1600,36.1096,36.1096,36.1096,36.1096,4680
03/24/2026,1600,34.7775,34.7775,34.7775,34.7775,3128
03/25/2026,1600,39.0691,39.0691,39.0691,39.0691,2560
03/26/2026,1600,35.6947,35.6947,35.6947,35.6947,3547
03/27/2026,1600,39.4015,39.4015,39.4015,39.4015,3433
03/30/2026,1600,39.7413,39.7413,39.7413,39.7413,2006
03/31/2026,1600,38.9368,38.9368,38.9368,38.9368,2920
04/01/2026,1600,41.7182,41.7182,41.7182,41.7182,2840
04/02/2026,1600,46.2409,46.2409,46.2409,46.2409,2628
04/03/2026,1600,0.0000,0.0000,0.0000,0.0000,15
04/06/2026,1600,44.4543,44.4543,44.4543,44.4543,1218
04/07/2026,1600,37.9602,37.9602,37.9602,37.9602,2089
04/08/2026,1600,38.5337,38.5337,38.5337,38.5337,2322
04/09/2026,1600,39.6349,39.6349,39.6349,39.6349,2079
04/10/2026,1600,34.1295,34.1295,34.1295,34.1295,1606
04/13/2026,1600,40.4473,40.4473,40.4473,40.4473,1835
04/14/2026,1600,35.0360,35.0360,35.0360,35.0360,2524
04/15/2026,1600,43.3707,43.3707,43.3707,43.3707,1764
04/16/2026,1600,45.4599,45.4599,45.4599,45.4599,1587
04/17/2026,1600,39.4512,39.4512,39.4512,39.4512,2692
04/20/2026,1600,40.0258,40.0258,40.0258,40.0258,1563
04/21/2026,1600,41.0697,41.0697,41.0697,41.0697,2299
04/22/2026,1600,40.3897,40.3897,40.3897,40.3897,1083
04/23/2026,1600,39.5931,39.5931,39.5931,39.5931,1563
04/24/2026,1600,38.6581,38.6581,38.6581,38.6581,1166
04/27/2026,1600,40.6087,40.6087,40.6087,40.6087,948
04/28/2026,1600,37.8913,37.8913,37.8913,37.8913,1492
04/29/2026,1600,36.9192,36.9192,36.9192,36.9192,1293
04/30/2026,1600,33.5455,33.5455,33.5455,33.5455,1156
05/01/2026,1600,37.6982,37.6982,37.6982,37.6982,1444
05/04/2026,1600,34.4765,34.4765,34.4765,34.4765,1456
05/05/2026,1600,38.7310,38.7310,38.7310,38.7310,912
05/06/2026,1600,33.8513,33.8513,33.8513,33.8513,1846
05/07/2026,1600,32.5515,32.5515,32.5515,32.5515,2746
05/08/2026,1600,38.7926,38.7926,38.7926,38.7926,1541
05/11/2026,1600,36.0165,36.0165,36.0165,36.0165,3120
05/12/2026,1600,42.4518,42.4518,42.4518,42.4518,2474
