date,trades,notional_$,dark_trades,dark_notional_$,dark_pct_by_notional,block_notional_$,block_dark_notional_$,block_dark_pct,trf_201_NYSE_$,trf_202_Carteret_$,trf_203_Chicago_$,carteret_pct_of_total
2026-02-18,445435,4584930672,137258,1698265170,37.0401,1356663851,768026640,56.6114,143521128,1525175925,29568117,33.2650
2026-02-19,341902,3582240915,103669,1281818371,35.7826,922251910,534189993,57.9224,140600281,1119643046,21575044,31.2554
2026-02-20,587541,6611523523,201458,2711400949,41.0102,2099649493,1119619205,53.3241,141297036,2525876135,44227777,38.2041
2026-02-23,548423,7597548284,184035,3113284684,40.9775,2502067592,1367247727,54.6447,255715918,2825160968,32407798,37.1852
2026-02-24,355899,4573760010,115622,1910439243,41.7696,1324416601,833748732,62.9522,148600494,1731604839,30233910,37.8595
2026-02-25,423679,5505369811,140932,2151555189,39.0810,1802381718,969905677,53.8124,243688884,1867933762,39932542,33.9293
2026-02-26,398152,4276864323,114816,1719223662,40.1982,1209306399,766809102,63.4090,223400366,1472046969,23776327,34.4188
2026-02-27,459531,6068005489,159146,2365552953,38.9840,1900006920,960906543,50.5738,222217921,2113591748,29743284,34.8317
2026-03-02,760601,7996528527,224745,3172452022,39.6729,2212735332,1310197634,59.2117,226091085,2882652004,63708934,36.0488
2026-03-03,655498,6882785143,213702,2638679216,38.3374,2010447225,968751819,48.1859,304166388,2283898656,50614172,33.1828
2026-03-04,300338,3093209025,101790,1246497779,40.2979,864322402,432654292,50.0570,92865208,1132928302,20704270,36.6263
2026-03-05,383493,3776209894,110159,1307736425,34.6309,916876309,462055099,50.3945,137679956,1150974274,19082195,30.4796
2026-03-06,315519,3169576640,84049,1074792606,33.9097,803833990,402072300,50.0193,74738973,980629825,19423808,30.9388
2026-03-09,273141,2731271503,84433,1016599394,37.2207,665298009,347484037,52.2298,99794130,897068162,19737101,32.8443
2026-03-10,287581,3083599780,86355,1114710592,36.1497,810047168,402067549,49.6351,64434338,1030530850,19745403,33.4197
2026-03-11,224623,2461209715,77901,1008754129,40.9861,727926572,388258128,53.3375,91799314,902722868,14231946,36.6780
2026-03-12,207952,2386449639,64813,892850365,37.4133,673993400,346411948,51.3969,55885581,823567088,13397696,34.5101
2026-03-13,350798,3593157749,115229,1613947977,44.9173,1157718373,768469235,66.3779,193873204,1400198369,19876404,38.9685
2026-03-16,279080,2824462217,89395,1070985533,37.9182,800229971,386583111,48.3090,87687519,965636970,17661044,34.1883
2026-03-17,253485,2730035473,75950,1044760954,38.2691,910101305,482614921,53.0287,208866367,821791671,14102916,30.1019
