time,open,high,low,close,volume
2025-08-11,46.3600,46.3600,46.3600,46.3600,0
2025-08-12,42.9800,42.9800,42.9800,42.9800,0
2025-08-13,49.6700,49.6700,49.6700,49.6700,0
2025-08-14,40.3000,40.3000,40.3000,40.3000,0
2025-08-15,55.8100,55.8100,55.8100,55.8100,0
2025-08-18,60.6200,60.6200,60.6200,60.6200,0
2025-08-19,59.8600,59.8600,59.8600,59.8600,0
2025-08-20,58.4400,58.4400,58.4400,58.4400,0
2025-08-21,54.8100,54.8100,54.8100,54.8100,0
2025-08-22,52.5000,52.5000,52.5000,52.5000,0
2025-08-25,59.0000,59.0000,59.0000,59.0000,0
2025-08-26,62.6300,62.6300,62.6300,62.6300,0
2025-08-27,57.2600,57.2600,57.2600,57.2600,0
2025-08-28,69.1100,69.1100,69.1100,69.1100,0
2025-08-29,54.0100,54.0100,54.0100,54.0100,0
2025-09-02,75.6800,75.6800,75.6800,75.6800,0
2025-09-03,67.6200,67.6200,67.6200,67.6200,0
2025-09-04,61.7100,61.7100,61.7100,61.7100,0
2025-09-05,66.0800,66.0800,66.0800,66.0800,0
2025-09-08,53.2700,53.2700,53.2700,53.2700,0
2025-09-09,47.0800,47.0800,47.0800,47.0800,0
2025-09-10,52.5600,52.5600,52.5600,52.5600,0
2025-09-11,56.3000,56.3000,56.3000,56.3000,0
2025-09-12,61.6300,61.6300,61.6300,61.6300,0
2025-09-15,61.2400,61.2400,61.2400,61.2400,0
2025-09-16,51.9100,51.9100,51.9100,51.9100,0
2025-09-17,47.2600,47.2600,47.2600,47.2600,0
2025-09-18,56.6300,56.6300,56.6300,56.6300,0
2025-09-19,65.5900,65.5900,65.5900,65.5900,0
2025-09-22,71.5600,71.5600,71.5600,71.5600,0
2025-09-23,62.3400,62.3400,62.3400,62.3400,0
2025-09-24,55.3800,55.3800,55.3800,55.3800,0
2025-09-25,66.1700,66.1700,66.1700,66.1700,0
2025-09-26,66.2700,66.2700,66.2700,66.2700,0
2025-09-29,69.1200,69.1200,69.1200,69.1200,0
2025-09-30,64.6600,64.6600,64.6600,64.6600,0
2025-10-01,55.0600,55.0600,55.0600,55.0600,0
2025-10-02,57.6000,57.6000,57.6000,57.6000,0
2025-10-03,66.7500,66.7500,66.7500,66.7500,0
2025-10-06,70.3400,70.3400,70.3400,70.3400,0
2025-10-07,62.6800,62.6800,62.6800,62.6800,0
2025-10-08,66.6800,66.6800,66.6800,66.6800,0
2025-10-09,64.5600,64.5600,64.5600,64.5600,0
2025-10-10,70.4400,70.4400,70.4400,70.4400,0
2025-10-13,69.0800,69.0800,69.0800,69.0800,0
2025-10-14,66.8800,66.8800,66.8800,66.8800,0
2025-10-15,66.1000,66.1000,66.1000,66.1000,0
2025-10-16,65.9800,65.9800,65.9800,65.9800,0
2025-10-17,41.7600,41.7600,41.7600,41.7600,0
2025-10-20,52.9600,52.9600,52.9600,52.9600,0
2025-10-21,51.7900,51.7900,51.7900,51.7900,0
2025-10-22,51.2800,51.2800,51.2800,51.2800,0
2025-10-23,59.3600,59.3600,59.3600,59.3600,0
2025-10-24,51.4400,51.4400,51.4400,51.4400,0
2025-10-27,41.8600,41.8600,41.8600,41.8600,0
2025-10-28,61.1900,61.1900,61.1900,61.1900,0
2025-10-29,58.3300,58.3300,58.3300,58.3300,0
2025-10-30,61.2200,61.2200,61.2200,61.2200,0
2025-10-31,61.3500,61.3500,61.3500,61.3500,0
2025-11-03,53.2000,53.2000,53.2000,53.2000,0
2025-11-04,60.4300,60.4300,60.4300,60.4300,0
2025-11-05,58.2600,58.2600,58.2600,58.2600,0
2025-11-06,58.3800,58.3800,58.3800,58.3800,0
2025-11-07,58.7900,58.7900,58.7900,58.7900,0
2025-11-10,69.1600,69.1600,69.1600,69.1600,0
2025-11-11,69.1300,69.1300,69.1300,69.1300,0
2025-11-12,67.4600,67.4600,67.4600,67.4600,0
2025-11-13,62.7900,62.7900,62.7900,62.7900,0
2025-11-14,50.6300,50.6300,50.6300,50.6300,0
2025-11-17,62.0700,62.0700,62.0700,62.0700,0
2025-11-18,63.5800,63.5800,63.5800,63.5800,0
2025-11-19,62.0900,62.0900,62.0900,62.0900,0
2025-11-20,66.2600,66.2600,66.2600,66.2600,0
2025-11-21,57.5200,57.5200,57.5200,57.5200,0
2025-11-24,67.6300,67.6300,67.6300,67.6300,0
2025-11-25,62.7500,62.7500,62.7500,62.7500,0
2025-11-26,67.7100,67.7100,67.7100,67.7100,0
2025-11-28,70.4300,70.4300,70.4300,70.4300,0
2025-12-01,72.5100,72.5100,72.5100,72.5100,0
2025-12-02,71.7000,71.7000,71.7000,71.7000,0
2025-12-03,67.3900,67.3900,67.3900,67.3900,0
2025-12-04,59.0500,59.0500,59.0500,59.0500,0
2025-12-05,59.2400,59.2400,59.2400,59.2400,0
2025-12-08,65.9000,65.9000,65.9000,65.9000,0
2025-12-09,65.2500,65.2500,65.2500,65.2500,0
2025-12-10,64.7700,64.7700,64.7700,64.7700,0
2025-12-11,63.7500,63.7500,63.7500,63.7500,0
2025-12-12,55.2500,55.2500,55.2500,55.2500,0
2025-12-15,71.2500,71.2500,71.2500,71.2500,0
2025-12-16,63.7600,63.7600,63.7600,63.7600,0
2025-12-17,66.2400,66.2400,66.2400,66.2400,0
2025-12-18,58.7000,58.7000,58.7000,58.7000,0
2025-12-19,65.6500,65.6500,65.6500,65.6500,0
2025-12-22,53.4600,53.4600,53.4600,53.4600,0
2025-12-23,61.9500,61.9500,61.9500,61.9500,0
2025-12-24,62.8400,62.8400,62.8400,62.8400,0
2025-12-26,60.8100,60.8100,60.8100,60.8100,0
2025-12-29,57.7400,57.7400,57.7400,57.7400,0
2025-12-30,57.1600,57.1600,57.1600,57.1600,0
2025-12-31,64.1300,64.1300,64.1300,64.1300,0
2026-01-02,44.0200,44.0200,44.0200,44.0200,0
2026-01-05,42.8400,42.8400,42.8400,42.8400,0
2026-01-06,51.9800,51.9800,51.9800,51.9800,0
2026-01-07,69.4700,69.4700,69.4700,69.4700,0
2026-01-08,61.9300,61.9300,61.9300,61.9300,0
2026-01-09,59.5700,59.5700,59.5700,59.5700,0
2026-01-12,43.7300,43.7300,43.7300,43.7300,0
2026-01-13,40.3500,40.3500,40.3500,40.3500,0
2026-01-14,50.5600,50.5600,50.5600,50.5600,0
2026-01-15,54.1000,54.1000,54.1000,54.1000,0
2026-01-16,56.3000,56.3000,56.3000,56.3000,0
2026-01-20,52.1000,52.1000,52.1000,52.1000,0
2026-01-21,50.8700,50.8700,50.8700,50.8700,0
2026-01-22,54.8900,54.8900,54.8900,54.8900,0
2026-01-23,53.1400,53.1400,53.1400,53.1400,0
2026-01-26,52.7800,52.7800,52.7800,52.7800,0
2026-01-27,48.2100,48.2100,48.2100,48.2100,0
2026-01-28,51.5600,51.5600,51.5600,51.5600,0
2026-01-29,57.9000,57.9000,57.9000,57.9000,0
2026-01-30,57.6300,57.6300,57.6300,57.6300,0
2026-02-02,24.8000,24.8000,24.8000,24.8000,0
2026-02-03,34.5700,34.5700,34.5700,34.5700,0
2026-02-04,32.5900,32.5900,32.5900,32.5900,0
2026-02-05,37.8800,37.8800,37.8800,37.8800,0
2026-02-06,42.0000,42.0000,42.0000,42.0000,0
2026-02-09,47.8300,47.8300,47.8300,47.8300,0
2026-02-10,45.6500,45.6500,45.6500,45.6500,0
2026-02-11,33.7800,33.7800,33.7800,33.7800,0
2026-02-12,35.3600,35.3600,35.3600,35.3600,0
2026-02-13,23.3400,23.3400,23.3400,23.3400,0
2026-02-17,32.8800,32.8800,32.8800,32.8800,0
2026-02-18,35.7400,35.7400,35.7400,35.7400,0
2026-02-19,43.5800,43.5800,43.5800,43.5800,0
2026-02-20,51.1200,51.1200,51.1200,51.1200,0
2026-02-23,49.7900,49.7900,49.7900,49.7900,0
2026-02-24,41.3500,41.3500,41.3500,41.3500,0
2026-02-25,34.6900,34.6900,34.6900,34.6900,0
2026-02-26,30.7300,30.7300,30.7300,30.7300,0
2026-02-27,32.6600,32.6600,32.6600,32.6600,0
2026-03-02,45.6100,45.6100,45.6100,45.6100,0
2026-03-03,30.9400,30.9400,30.9400,30.9400,0
2026-03-04,28.4900,28.4900,28.4900,28.4900,0
2026-03-05,39.9900,39.9900,39.9900,39.9900,0
2026-03-06,29.4700,29.4700,29.4700,29.4700,0
2026-03-09,28.4800,28.4800,28.4800,28.4800,0
2026-03-10,28.7000,28.7000,28.7000,28.7000,0
2026-03-11,40.1000,40.1000,40.1000,40.1000,0
2026-03-12,34.5000,34.5000,34.5000,34.5000,0
2026-03-13,30.6300,30.6300,30.6300,30.6300,0
2026-03-16,41.1100,41.1100,41.1100,41.1100,0
2026-03-17,32.5900,32.5900,32.5900,32.5900,0
2026-03-18,37.7000,37.7000,37.7000,37.7000,0
2026-03-19,43.1400,43.1400,43.1400,43.1400,0
2026-03-20,49.8000,49.8000,49.8000,49.8000,0
2026-03-23,39.0200,39.0200,39.0200,39.0200,0
2026-03-24,45.2100,45.2100,45.2100,45.2100,0
2026-03-25,33.5600,33.5600,33.5600,33.5600,0
2026-03-26,48.3400,48.3400,48.3400,48.3400,0
2026-03-27,39.4500,39.4500,39.4500,39.4500,0
2026-03-30,48.9600,48.9600,48.9600,48.9600,0
2026-03-31,44.5700,44.5700,44.5700,44.5700,0
2026-04-01,47.8200,47.8200,47.8200,47.8200,0
2026-04-02,56.0700,56.0700,56.0700,56.0700,0
2026-04-06,47.1600,47.1600,47.1600,47.1600,0
2026-04-07,52.4900,52.4900,52.4900,52.4900,0
2026-04-08,41.2100,41.2100,41.2100,41.2100,0
2026-04-09,50.0100,50.0100,50.0100,50.0100,0
2026-04-10,42.2900,42.2900,42.2900,42.2900,0
2026-04-13,58.9100,58.9100,58.9100,58.9100,0
2026-04-14,42.0000,42.0000,42.0000,42.0000,0
2026-04-15,55.6100,55.6100,55.6100,55.6100,0
2026-04-16,59.1600,59.1600,59.1600,59.1600,0
2026-04-17,42.7700,42.7700,42.7700,42.7700,0
2026-04-20,45.1900,45.1900,45.1900,45.1900,0
2026-04-21,42.6900,42.6900,42.6900,42.6900,0
2026-04-22,36.1800,36.1800,36.1800,36.1800,0
2026-04-23,34.6700,34.6700,34.6700,34.6700,0
2026-04-24,53.3300,53.3300,53.3300,53.3300,0
2026-04-27,52.6000,52.6000,52.6000,52.6000,0
2026-04-28,56.3800,56.3800,56.3800,56.3800,0
2026-04-29,41.6200,41.6200,41.6200,41.6200,0
2026-04-30,44.4900,44.4900,44.4900,44.4900,0
2026-05-01,52.2500,52.2500,52.2500,52.2500,0
2026-05-04,52.8700,52.8700,52.8700,52.8700,0
2026-05-05,48.3100,48.3100,48.3100,48.3100,0
2026-05-06,46.4100,46.4100,46.4100,46.4100,0
2026-05-07,51.7200,51.7200,51.7200,51.7200,0
2026-05-08,56.9500,56.9500,56.9500,56.9500,0
2026-05-11,49.1000,49.1000,49.1000,49.1000,0
2026-05-12,53.6700,53.6700,53.6700,53.6700,0
2026-05-13,53.9500,53.9500,53.9500,53.9500,0
2026-05-14,44.7700,44.7700,44.7700,44.7700,0
2026-05-15,42.9400,42.9400,42.9400,42.9400,0
2026-05-18,43.4600,43.4600,43.4600,43.4600,0
2026-05-19,62.5700,62.5700,62.5700,62.5700,0
2026-05-20,61.4100,61.4100,61.4100,61.4100,0
2026-05-21,51.5300,51.5300,51.5300,51.5300,0
2026-05-22,44.1300,44.1300,44.1300,44.1300,0
2026-05-26,39.6700,39.6700,39.6700,39.6700,0
