Date,Open,High,Low,Close,Volume
09/02/2025,96.4352,96.4352,96.4352,96.4352,0
09/03/2025,95.3389,95.3389,95.3389,95.3389,0
09/04/2025,96.4755,96.4755,96.4755,96.4755,0
09/05/2025,96.3055,96.3055,96.3055,96.3055,0
09/08/2025,76.3781,76.3781,76.3781,76.3781,0
09/09/2025,93.3156,93.3156,93.3156,93.3156,0
09/10/2025,96.6296,96.6296,96.6296,96.6296,0
09/11/2025,95.2852,95.2852,95.2852,95.2852,0
09/12/2025,96.3100,96.3100,96.3100,96.3100,0
09/15/2025,93.6470,93.6470,93.6470,93.6470,0
09/16/2025,95.0360,95.0360,95.0360,95.0360,0
09/17/2025,96.6758,96.6758,96.6758,96.6758,0
09/18/2025,96.9449,96.9449,96.9449,96.9449,0
09/19/2025,95.1420,95.1420,95.1420,95.1420,0
09/22/2025,96.0415,96.0415,96.0415,96.0415,0
09/23/2025,96.2481,96.2481,96.2481,96.2481,0
09/24/2025,95.0747,95.0747,95.0747,95.0747,0
09/25/2025,96.6353,96.6353,96.6353,96.6353,0
09/26/2025,94.3956,94.3956,94.3956,94.3956,0
09/29/2025,96.4457,96.4457,96.4457,96.4457,0
09/30/2025,96.2449,96.2449,96.2449,96.2449,0
10/01/2025,92.0428,92.0428,92.0428,92.0428,0
10/02/2025,93.6479,93.6479,93.6479,93.6479,0
10/03/2025,95.3246,95.3246,95.3246,95.3246,0
10/06/2025,95.0403,95.0403,95.0403,95.0403,0
10/07/2025,95.6550,95.6550,95.6550,95.6550,0
10/08/2025,91.3639,91.3639,91.3639,91.3639,0
10/09/2025,86.3638,86.3638,86.3638,86.3638,0
10/10/2025,95.3405,95.3405,95.3405,95.3405,0
10/13/2025,92.4005,92.4005,92.4005,92.4005,0
10/14/2025,85.5470,85.5470,85.5470,85.5470,0
10/15/2025,94.7691,94.7691,94.7691,94.7691,0
10/16/2025,95.6594,95.6594,95.6594,95.6594,0
10/17/2025,83.4977,83.4977,83.4977,83.4977,0
10/20/2025,94.4734,94.4734,94.4734,94.4734,0
10/21/2025,85.8368,85.8368,85.8368,85.8368,0
10/22/2025,87.7457,87.7457,87.7457,87.7457,0
10/23/2025,92.2159,92.2159,92.2159,92.2159,0
10/24/2025,90.1064,90.1064,90.1064,90.1064,0
10/27/2025,91.8240,91.8240,91.8240,91.8240,0
10/28/2025,85.9071,85.9071,85.9071,85.9071,0
10/29/2025,91.0138,91.0138,91.0138,91.0138,0
10/30/2025,93.3652,93.3652,93.3652,93.3652,0
10/31/2025,87.7613,87.7613,87.7613,87.7613,0
11/03/2025,94.3318,94.3318,94.3318,94.3318,0
11/04/2025,58.6471,58.6471,58.6471,58.6471,0
11/05/2025,76.5615,76.5615,76.5615,76.5615,0
11/06/2025,95.7957,95.7957,95.7957,95.7957,0
11/07/2025,95.8647,95.8647,95.8647,95.8647,0
11/10/2025,93.3327,93.3327,93.3327,93.3327,0
11/11/2025,93.9228,93.9228,93.9228,93.9228,0
11/12/2025,93.2669,93.2669,93.2669,93.2669,0
11/13/2025,92.9849,92.9849,92.9849,92.9849,0
11/14/2025,94.2257,94.2257,94.2257,94.2257,0
11/17/2025,89.4026,89.4026,89.4026,89.4026,0
11/18/2025,78.3134,78.3134,78.3134,78.3134,0
11/19/2025,88.9228,88.9228,88.9228,88.9228,0
11/20/2025,87.2555,87.2555,87.2555,87.2555,0
11/21/2025,96.1705,96.1705,96.1705,96.1705,0
11/24/2025,96.9089,96.9089,96.9089,96.9089,0
11/25/2025,95.9939,95.9939,95.9939,95.9939,0
11/26/2025,95.2182,95.2182,95.2182,95.2182,0
11/28/2025,93.8282,93.8282,93.8282,93.8282,0
12/01/2025,91.8873,91.8873,91.8873,91.8873,0
12/02/2025,92.1258,92.1258,92.1258,92.1258,0
12/03/2025,92.5771,92.5771,92.5771,92.5771,0
12/04/2025,93.4888,93.4888,93.4888,93.4888,0
12/05/2025,87.3998,87.3998,87.3998,87.3998,0
12/08/2025,94.3531,94.3531,94.3531,94.3531,0
12/09/2025,90.0808,90.0808,90.0808,90.0808,0
12/10/2025,92.3261,92.3261,92.3261,92.3261,0
12/11/2025,89.1243,89.1243,89.1243,89.1243,0
12/12/2025,94.1495,94.1495,94.1495,94.1495,0
12/15/2025,81.5582,81.5582,81.5582,81.5582,0
12/16/2025,93.2669,93.2669,93.2669,93.2669,0
