Date,Open,High,Low,Close,Volume
09/03/2025,67.6200,67.6200,67.6200,67.6200,0
09/04/2025,61.7100,61.7100,61.7100,61.7100,0
09/05/2025,66.0800,66.0800,66.0800,66.0800,0
09/08/2025,53.2700,53.2700,53.2700,53.2700,0
09/09/2025,47.0800,47.0800,47.0800,47.0800,0
09/10/2025,52.5600,52.5600,52.5600,52.5600,0
09/11/2025,56.3000,56.3000,56.3000,56.3000,0
09/12/2025,61.6300,61.6300,61.6300,61.6300,0
09/15/2025,61.2400,61.2400,61.2400,61.2400,0
09/16/2025,51.9100,51.9100,51.9100,51.9100,0
09/17/2025,47.2600,47.2600,47.2600,47.2600,0
09/18/2025,56.6300,56.6300,56.6300,56.6300,0
09/19/2025,65.5900,65.5900,65.5900,65.5900,0
09/22/2025,71.5600,71.5600,71.5600,71.5600,0
09/23/2025,62.3400,62.3400,62.3400,62.3400,0
09/24/2025,55.3800,55.3800,55.3800,55.3800,0
09/25/2025,66.1700,66.1700,66.1700,66.1700,0
09/26/2025,66.2700,66.2700,66.2700,66.2700,0
09/29/2025,69.1200,69.1200,69.1200,69.1200,0
09/30/2025,64.6600,64.6600,64.6600,64.6600,0
10/01/2025,55.0600,55.0600,55.0600,55.0600,0
10/02/2025,57.6000,57.6000,57.6000,57.6000,0
10/03/2025,66.7500,66.7500,66.7500,66.7500,0
10/06/2025,70.3400,70.3400,70.3400,70.3400,0
10/07/2025,62.6800,62.6800,62.6800,62.6800,0
10/08/2025,66.6800,66.6800,66.6800,66.6800,0
10/09/2025,64.5600,64.5600,64.5600,64.5600,0
10/10/2025,70.4400,70.4400,70.4400,70.4400,0
10/13/2025,69.0800,69.0800,69.0800,69.0800,0
10/14/2025,66.8800,66.8800,66.8800,66.8800,0
10/15/2025,66.1000,66.1000,66.1000,66.1000,0
10/16/2025,65.9800,65.9800,65.9800,65.9800,0
10/17/2025,41.7600,41.7600,41.7600,41.7600,0
10/20/2025,52.9600,52.9600,52.9600,52.9600,0
10/21/2025,51.7900,51.7900,51.7900,51.7900,0
10/22/2025,51.2800,51.2800,51.2800,51.2800,0
10/23/2025,59.3600,59.3600,59.3600,59.3600,0
10/24/2025,51.4400,51.4400,51.4400,51.4400,0
10/27/2025,41.8600,41.8600,41.8600,41.8600,0
10/28/2025,61.1900,61.1900,61.1900,61.1900,0
10/29/2025,58.3300,58.3300,58.3300,58.3300,0
10/30/2025,61.2200,61.2200,61.2200,61.2200,0
10/31/2025,61.3500,61.3500,61.3500,61.3500,0
11/03/2025,53.2000,53.2000,53.2000,53.2000,0
11/04/2025,60.4300,60.4300,60.4300,60.4300,0
11/05/2025,58.2600,58.2600,58.2600,58.2600,0
11/06/2025,58.3800,58.3800,58.3800,58.3800,0
11/07/2025,58.7900,58.7900,58.7900,58.7900,0
11/10/2025,69.1600,69.1600,69.1600,69.1600,0
11/11/2025,69.1300,69.1300,69.1300,69.1300,0
11/12/2025,67.4600,67.4600,67.4600,67.4600,0
11/13/2025,62.7900,62.7900,62.7900,62.7900,0
11/14/2025,50.6300,50.6300,50.6300,50.6300,0
11/17/2025,62.0700,62.0700,62.0700,62.0700,0
11/18/2025,63.5800,63.5800,63.5800,63.5800,0
11/19/2025,62.0900,62.0900,62.0900,62.0900,0
11/20/2025,66.2600,66.2600,66.2600,66.2600,0
11/21/2025,57.5200,57.5200,57.5200,57.5200,0
11/24/2025,67.6300,67.6300,67.6300,67.6300,0
11/25/2025,62.7500,62.7500,62.7500,62.7500,0
11/26/2025,67.7100,67.7100,67.7100,67.7100,0
11/28/2025,70.4300,70.4300,70.4300,70.4300,0
12/01/2025,72.5100,72.5100,72.5100,72.5100,0
12/02/2025,71.7000,71.7000,71.7000,71.7000,0
12/03/2025,67.3900,67.3900,67.3900,67.3900,0
12/04/2025,59.0500,59.0500,59.0500,59.0500,0
12/05/2025,59.2400,59.2400,59.2400,59.2400,0
12/08/2025,65.9000,65.9000,65.9000,65.9000,0
12/09/2025,65.2500,65.2500,65.2500,65.2500,0
12/10/2025,64.7700,64.7700,64.7700,64.7700,0
12/11/2025,63.7500,63.7500,63.7500,63.7500,0
12/12/2025,55.2500,55.2500,55.2500,55.2500,0
12/15/2025,71.2500,71.2500,71.2500,71.2500,0
12/16/2025,63.7600,63.7600,63.7600,63.7600,0
12/17/2025,66.2400,66.2400,66.2400,66.2400,0
12/18/2025,58.7000,58.7000,58.7000,58.7000,0
12/19/2025,65.6500,65.6500,65.6500,65.6500,0
12/22/2025,53.4600,53.4600,53.4600,53.4600,0
12/23/2025,61.9500,61.9500,61.9500,61.9500,0
12/24/2025,62.8400,62.8400,62.8400,62.8400,0
12/26/2025,60.8100,60.8100,60.8100,60.8100,0
12/29/2025,57.7400,57.7400,57.7400,57.7400,0
12/30/2025,57.1600,57.1600,57.1600,57.1600,0
12/31/2025,64.1300,64.1300,64.1300,64.1300,0
01/02/2026,44.0200,44.0200,44.0200,44.0200,0
01/05/2026,42.8400,42.8400,42.8400,42.8400,0
01/06/2026,51.9800,51.9800,51.9800,51.9800,0
