date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-07-17,SLV,6100045.0,4177975.0,68.49,95.8841,131300,4006013,40662,0,443.0,,
2025-07-18,SLV,6524891.0,4411124.0,67.6,95.3024,167567,4203907,39650,0,4885.0,,
2025-07-21,SLV,9847457.0,6129825.0,62.25,95.7,185225,5866244,78356,0,538.0,,
2025-07-22,SLV,9136106.0,4234629.0,46.35,94.9435,139435,4020504,74690,0,1054.0,,
2025-07-23,SLV,7373712.0,4133551.0,56.06,93.8242,192986,3878271,62294,0,1337.0,60.15,
2025-07-24,SLV,4043148.0,2076851.0,51.37,96.2466,44659,1998898,33294,0,0,58.6867,
2025-07-25,SLV,8549600.0,3212723.0,37.58,93.962,132559,3018740,61424,0,6113.0,55.6714,
2025-07-28,SLV,5041682.0,1959547.0,38.87,95.4755,58229,1870887,30431,0,1461.0,53.5712,
2025-07-29,SLV,3398457.0,1336650.0,39.33,94.7153,41233,1266012,29405,0,201.0,51.9889,
2025-07-30,SLV,9036035.0,3707774.0,41.03,90.3385,319432,3349549,38793,0,47408.0,50.893,
2025-07-31,SLV,5037882.0,1802290.0,35.77,90.4043,100163,1629347,72780,0,45458.0,49.5182,
2025-08-01,SLV,4504358.0,2161871.0,48.0,95.7712,53309,2070450,38112,0,3888.0,49.3917,
2025-08-04,SLV,3706411.0,1870461.0,50.47,93.7843,61545,1754198,54718,0,37368.0,49.4746,
2025-08-05,SLV,5762055.0,3765386.0,65.35,95.9691,99629,3613607,52150,0,258.0,50.6086,
2025-08-06,SLV,2690524.0,1419411.0,52.76,86.8103,49655,1232195,137561,0,195.0,50.752,
2025-08-07,SLV,5222257.0,2780800.0,53.25,95.5577,71174,2657268,52358,0,1502.0,50.9081,
2025-08-08,SLV,3704411.0,1812819.0,48.94,94.8009,60801,1718568,33450,0,3234.0,50.7924,
2025-08-11,SLV,4270541.0,1979648.0,46.36,95.3949,41722,1888484,49442,0,2692.0,50.5461,
2025-08-12,SLV,4922483.0,2115913.0,42.98,90.0267,157953,1904886,53074,0,659.0,50.1479,
2025-08-13,SLV,5335293.0,2649884.0,49.67,94.9279,92688,2515478,41718,0,2697.0,50.124,-0.0472
2025-08-14,SLV,7348127.0,2961193.0,40.3,92.3115,194680,2733522,32991,0,462.0,48.7145,-0.9729
2025-08-15,SLV,4280197.0,2388589.0,55.81,88.8738,244999,2122831,20759,0,6.0,48.125,0.6195
2025-08-18,SLV,4605276.0,2791678.0,60.62,83.7508,413080,2338053,40545,0,5253.0,48.0435,1.0728
2025-08-19,SLV,8310800.0,4974506.0,59.86,69.3504,1487569,3449839,37098,0,10435.0,48.719,0.9527
2025-08-20,SLV,4501532.0,2630721.0,58.44,87.7466,280513,2308369,41839,0,1669.0,48.838,0.7773
2025-08-21,SLV,5141492.0,2817873.0,54.81,94.9169,116271,2674637,26965,0,0,49.01,0.3841
2025-08-22,SLV,8052794.0,4227540.0,52.5,96.472,100884,4078393,48263,0,9479.0,49.756,0.1328
2025-08-25,SLV,4961720.0,2927484.0,59.0,85.4088,385395,2500329,41760,0,2503.0,50.7625,0.8201
