Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,35.1300,35.1300,35.1300,35.1300,5078
02/19/2026,1600,41.1376,41.1376,41.1376,41.1376,4849
02/20/2026,1600,43.4636,43.4636,43.4636,43.4636,5764
02/23/2026,1600,43.8253,43.8253,43.8253,43.8253,4691
02/24/2026,1600,32.2610,32.2610,32.2610,32.2610,5105
02/25/2026,1600,36.8903,36.8903,36.8903,36.8903,4102
02/26/2026,1600,49.5107,49.5107,49.5107,49.5107,6731
02/27/2026,1600,38.2639,38.2639,38.2639,38.2639,4795
03/02/2026,1600,43.0381,43.0381,43.0381,43.0381,5214
03/03/2026,1600,45.4252,45.4252,45.4252,45.4252,7485
03/04/2026,1600,39.9764,39.9764,39.9764,39.9764,4791
03/05/2026,1600,42.7859,42.7859,42.7859,42.7859,6461
03/06/2026,1600,47.9171,47.9171,47.9171,47.9171,6751
03/09/2026,1600,48.6935,48.6935,48.6935,48.6935,5918
03/10/2026,1600,49.8072,49.8072,49.8072,49.8072,6133
03/11/2026,1600,43.4488,43.4488,43.4488,43.4488,5080
03/12/2026,1600,51.6054,51.6054,51.6054,51.6054,5833
03/13/2026,1600,56.2620,56.2620,56.2620,56.2620,4559
03/16/2026,1600,43.9973,43.9973,43.9973,43.9973,4707
03/17/2026,1600,42.2059,42.2059,42.2059,42.2059,3535
03/18/2026,1600,41.1267,41.1267,41.1267,41.1267,4525
03/19/2026,1600,47.2715,47.2715,47.2715,47.2715,5241
03/20/2026,1600,47.9234,47.9234,47.9234,47.9234,5605
03/23/2026,1600,50.5475,50.5475,50.5475,50.5475,6500
03/24/2026,1600,51.3893,51.3893,51.3893,51.3893,5272
03/25/2026,1600,42.4301,42.4301,42.4301,42.4301,5233
03/26/2026,1600,45.6178,45.6178,45.6178,45.6178,6398
03/27/2026,1600,43.6143,43.6143,43.6143,43.6143,5102
03/30/2026,1600,54.5710,54.5710,54.5710,54.5710,6244
03/31/2026,1600,45.3383,45.3383,45.3383,45.3383,6820
04/01/2026,1600,46.6745,46.6745,46.6745,46.6745,6843
04/02/2026,1600,53.7706,53.7706,53.7706,53.7706,5504
04/03/2026,1600,0.0000,0.0000,0.0000,0.0000,45
04/06/2026,1600,45.1529,45.1529,45.1529,45.1529,3961
04/07/2026,1600,50.2468,50.2468,50.2468,50.2468,6243
04/08/2026,1600,42.6429,42.6429,42.6429,42.6429,7969
04/09/2026,1600,49.2233,49.2233,49.2233,49.2233,5891
04/10/2026,1600,55.6733,55.6733,55.6733,55.6733,6262
04/13/2026,1600,57.0865,57.0865,57.0865,57.0865,5144
04/14/2026,1600,53.6916,53.6916,53.6916,53.6916,5309
04/15/2026,1600,51.5378,51.5378,51.5378,51.5378,6050
04/16/2026,1600,54.5695,54.5695,54.5695,54.5695,5819
04/17/2026,1600,53.6487,53.6487,53.6487,53.6487,6567
04/20/2026,1600,55.5183,55.5183,55.5183,55.5183,4862
04/21/2026,1600,55.6282,55.6282,55.6282,55.6282,6640
04/22/2026,1600,52.4486,52.4486,52.4486,52.4486,6452
04/23/2026,1600,66.1361,66.1361,66.1361,66.1361,11067
04/24/2026,1600,64.5180,64.5180,64.5180,64.5180,10712
04/27/2026,1600,62.7114,62.7114,62.7114,62.7114,9361
04/28/2026,1600,54.8440,54.8440,54.8440,54.8440,10816
04/29/2026,1600,48.9541,48.9541,48.9541,48.9541,6880
04/30/2026,1600,52.8757,52.8757,52.8757,52.8757,7620
05/01/2026,1600,49.6468,49.6468,49.6468,49.6468,5571
05/04/2026,1600,51.1245,51.1245,51.1245,51.1245,6325
05/05/2026,1600,41.3037,41.3037,41.3037,41.3037,8069
05/06/2026,1600,51.9300,51.9300,51.9300,51.9300,10860
05/07/2026,1600,55.3139,55.3139,55.3139,55.3139,11735
05/08/2026,1600,42.1298,42.1298,42.1298,42.1298,8623
05/11/2026,1600,58.4155,58.4155,58.4155,58.4155,9567
05/12/2026,1600,56.5527,56.5527,56.5527,56.5527,15652
