Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,30.6422,30.6422,30.6422,30.6422,5078
02/19/2026,1600,34.2035,34.2035,34.2035,34.2035,4849
02/20/2026,1600,31.4947,31.4947,31.4947,31.4947,5764
02/23/2026,1600,35.3407,35.3407,35.3407,35.3407,4691
02/24/2026,1600,28.9002,28.9002,28.9002,28.9002,5105
02/25/2026,1600,31.6836,31.6836,31.6836,31.6836,4102
02/26/2026,1600,35.1331,35.1331,35.1331,35.1331,6731
02/27/2026,1600,33.4579,33.4579,33.4579,33.4579,4795
03/02/2026,1600,31.4434,31.4434,31.4434,31.4434,5214
03/03/2026,1600,30.9852,30.9852,30.9852,30.9852,7485
03/04/2026,1600,33.0120,33.0120,33.0120,33.0120,4791
03/05/2026,1600,33.2055,33.2055,33.2055,33.2055,6461
03/06/2026,1600,36.3063,36.3063,36.3063,36.3063,6751
03/09/2026,1600,34.7608,34.7608,34.7608,34.7608,5918
03/10/2026,1600,33.4435,33.4435,33.4435,33.4435,6133
03/11/2026,1600,33.4635,33.4635,33.4635,33.4635,5080
03/12/2026,1600,37.9271,37.9271,37.9271,37.9271,5833
03/13/2026,1600,39.8254,39.8254,39.8254,39.8254,4559
03/16/2026,1600,34.3916,34.3916,34.3916,34.3916,4707
03/17/2026,1600,35.3706,35.3706,35.3706,35.3706,3535
03/18/2026,1600,31.9528,31.9528,31.9528,31.9528,4525
03/19/2026,1600,34.8673,34.8673,34.8673,34.8673,5241
03/20/2026,1600,36.2003,36.2003,36.2003,36.2003,5605
03/23/2026,1600,32.3853,32.3853,32.3853,32.3853,6500
03/24/2026,1600,32.5911,32.5911,32.5911,32.5911,5272
03/25/2026,1600,32.9671,32.9671,32.9671,32.9671,5233
03/26/2026,1600,35.5034,35.5034,35.5034,35.5034,6398
03/27/2026,1600,36.0592,36.0592,36.0592,36.0592,5102
03/30/2026,1600,37.5957,37.5957,37.5957,37.5957,6244
03/31/2026,1600,33.4913,33.4913,33.4913,33.4913,6820
04/01/2026,1600,35.0528,35.0528,35.0528,35.0528,6843
04/02/2026,1600,37.9895,37.9895,37.9895,37.9895,5504
04/03/2026,1600,0.0000,0.0000,0.0000,0.0000,45
04/06/2026,1600,34.1343,34.1343,34.1343,34.1343,3961
04/07/2026,1600,32.8089,32.8089,32.8089,32.8089,6243
04/08/2026,1600,33.8535,33.8535,33.8535,33.8535,7969
04/09/2026,1600,35.9599,35.9599,35.9599,35.9599,5891
04/10/2026,1600,38.3913,38.3913,38.3913,38.3913,6262
04/13/2026,1600,37.3436,37.3436,37.3436,37.3436,5144
04/14/2026,1600,38.2863,38.2863,38.2863,38.2863,5309
04/15/2026,1600,38.8420,38.8420,38.8420,38.8420,6050
04/16/2026,1600,37.5235,37.5235,37.5235,37.5235,5819
04/17/2026,1600,38.9447,38.9447,38.9447,38.9447,6567
04/20/2026,1600,38.3512,38.3512,38.3512,38.3512,4862
04/21/2026,1600,38.2826,38.2826,38.2826,38.2826,6640
04/22/2026,1600,37.2335,37.2335,37.2335,37.2335,6452
04/23/2026,1600,39.7327,39.7327,39.7327,39.7327,11067
04/24/2026,1600,38.0289,38.0289,38.0289,38.0289,10712
04/27/2026,1600,39.3277,39.3277,39.3277,39.3277,9361
04/28/2026,1600,37.7971,37.7971,37.7971,37.7971,10816
04/29/2026,1600,37.3576,37.3576,37.3576,37.3576,6880
04/30/2026,1600,36.8515,36.8515,36.8515,36.8515,7620
05/01/2026,1600,37.9722,37.9722,37.9722,37.9722,5571
05/04/2026,1600,35.8113,35.8113,35.8113,35.8113,6325
05/05/2026,1600,33.0600,33.0600,33.0600,33.0600,8069
05/06/2026,1600,32.4070,32.4070,32.4070,32.4070,10860
05/07/2026,1600,36.2267,36.2267,36.2267,36.2267,11735
05/08/2026,1600,32.9506,32.9506,32.9506,32.9506,8623
05/11/2026,1600,37.4665,37.4665,37.4665,37.4665,9567
05/12/2026,1600,39.8983,39.8983,39.8983,39.8983,15652
