Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,33.0010,33.0010,33.0010,33.0010,5078
02/19/2026,1600,36.5468,36.5468,36.5468,36.5468,4849
02/20/2026,1600,33.6091,33.6091,33.6091,33.6091,5764
02/23/2026,1600,37.9787,37.9787,37.9787,37.9787,4691
02/24/2026,1600,31.5034,31.5034,31.5034,31.5034,5105
02/25/2026,1600,34.2528,34.2528,34.2528,34.2528,4102
02/26/2026,1600,37.5109,37.5109,37.5109,37.5109,6731
02/27/2026,1600,35.9642,35.9642,35.9642,35.9642,4795
03/02/2026,1600,35.7249,35.7249,35.7249,35.7249,5214
03/03/2026,1600,33.9313,33.9313,33.9313,33.9313,7485
03/04/2026,1600,36.2597,36.2597,36.2597,36.2597,4791
03/05/2026,1600,35.7268,35.7268,35.7268,35.7268,6461
03/06/2026,1600,38.6497,38.6497,38.6497,38.6497,6751
03/09/2026,1600,38.7787,38.7787,38.7787,38.7787,5918
03/10/2026,1600,35.9785,35.9785,35.9785,35.9785,6133
03/11/2026,1600,36.2666,36.2666,36.2666,36.2666,5080
03/12/2026,1600,40.7153,40.7153,40.7153,40.7153,5833
03/13/2026,1600,42.8354,42.8354,42.8354,42.8354,4559
03/16/2026,1600,37.4675,37.4675,37.4675,37.4675,4707
03/17/2026,1600,39.2493,39.2493,39.2493,39.2493,3535
03/18/2026,1600,35.7997,35.7997,35.7997,35.7997,4525
03/19/2026,1600,37.3968,37.3968,37.3968,37.3968,5241
03/20/2026,1600,39.0729,39.0729,39.0729,39.0729,5605
03/23/2026,1600,35.3612,35.3612,35.3612,35.3612,6500
03/24/2026,1600,36.4663,36.4663,36.4663,36.4663,5272
03/25/2026,1600,35.7495,35.7495,35.7495,35.7495,5233
03/26/2026,1600,38.0692,38.0692,38.0692,38.0692,6398
03/27/2026,1600,39.1914,39.1914,39.1914,39.1914,5102
03/30/2026,1600,40.3075,40.3075,40.3075,40.3075,6244
03/31/2026,1600,36.0154,36.0154,36.0154,36.0154,6820
04/01/2026,1600,38.7232,38.7232,38.7232,38.7232,6843
04/02/2026,1600,41.5306,41.5306,41.5306,41.5306,5504
04/03/2026,1600,0.0000,0.0000,0.0000,0.0000,45
04/06/2026,1600,37.8545,37.8545,37.8545,37.8545,3961
04/07/2026,1600,35.0125,35.0125,35.0125,35.0125,6243
04/08/2026,1600,37.3125,37.3125,37.3125,37.3125,7969
04/09/2026,1600,38.4482,38.4482,38.4482,38.4482,5891
04/10/2026,1600,41.0727,41.0727,41.0727,41.0727,6262
04/13/2026,1600,40.1613,40.1613,40.1613,40.1613,5144
04/14/2026,1600,41.1764,41.1764,41.1764,41.1764,5309
04/15/2026,1600,42.8531,42.8531,42.8531,42.8531,6050
04/16/2026,1600,40.8857,40.8857,40.8857,40.8857,5819
04/17/2026,1600,40.8760,40.8760,40.8760,40.8760,6567
04/20/2026,1600,41.7175,41.7175,41.7175,41.7175,4862
04/21/2026,1600,40.5109,40.5109,40.5109,40.5109,6640
04/22/2026,1600,40.1955,40.1955,40.1955,40.1955,6452
04/23/2026,1600,42.3403,42.3403,42.3403,42.3403,11067
04/24/2026,1600,40.1896,40.1896,40.1896,40.1896,10712
04/27/2026,1600,43.7600,43.7600,43.7600,43.7600,9361
04/28/2026,1600,41.0109,41.0109,41.0109,41.0109,10816
04/29/2026,1600,40.0255,40.0255,40.0255,40.0255,6880
04/30/2026,1600,42.3104,42.3104,42.3104,42.3104,7620
05/01/2026,1600,40.1042,40.1042,40.1042,40.1042,5571
05/04/2026,1600,39.0738,39.0738,39.0738,39.0738,6325
05/05/2026,1600,35.4818,35.4818,35.4818,35.4818,8069
05/06/2026,1600,34.8386,34.8386,34.8386,34.8386,10860
05/07/2026,1600,39.1457,39.1457,39.1457,39.1457,11735
05/08/2026,1600,35.4049,35.4049,35.4049,35.4049,8623
05/11/2026,1600,40.9009,40.9009,40.9009,40.9009,9567
05/12/2026,1600,42.7228,42.7228,42.7228,42.7228,15652
