Date,Open,High,Low,Close,Volume
09/02/2025,40.6300,40.6300,40.6300,40.6300,0
09/03/2025,45.5500,45.5500,45.5500,45.5500,0
09/04/2025,47.0900,47.0900,47.0900,47.0900,0
09/05/2025,34.8600,34.8600,34.8600,34.8600,0
09/08/2025,36.4500,36.4500,36.4500,36.4500,0
09/09/2025,35.4400,35.4400,35.4400,35.4400,0
09/10/2025,31.3100,31.3100,31.3100,31.3100,0
09/11/2025,30.0400,30.0400,30.0400,30.0400,0
09/12/2025,37.5500,37.5500,37.5500,37.5500,0
09/15/2025,35.5400,35.5400,35.5400,35.5400,0
09/16/2025,31.9700,31.9700,31.9700,31.9700,0
09/17/2025,37.0300,37.0300,37.0300,37.0300,0
09/18/2025,38.4700,38.4700,38.4700,38.4700,0
09/19/2025,52.5900,52.5900,52.5900,52.5900,0
09/22/2025,45.3800,45.3800,45.3800,45.3800,0
09/23/2025,39.4300,39.4300,39.4300,39.4300,0
09/24/2025,43.8100,43.8100,43.8100,43.8100,0
09/25/2025,44.0400,44.0400,44.0400,44.0400,0
09/26/2025,45.9400,45.9400,45.9400,45.9400,0
09/29/2025,37.7800,37.7800,37.7800,37.7800,0
09/30/2025,44.4800,44.4800,44.4800,44.4800,0
10/01/2025,36.6800,36.6800,36.6800,36.6800,0
10/02/2025,36.2900,36.2900,36.2900,36.2900,0
10/03/2025,41.5600,41.5600,41.5600,41.5600,0
10/06/2025,46.6600,46.6600,46.6600,46.6600,0
10/07/2025,56.3000,56.3000,56.3000,56.3000,0
10/08/2025,46.9000,46.9000,46.9000,46.9000,0
10/09/2025,39.7000,39.7000,39.7000,39.7000,0
10/10/2025,53.5400,53.5400,53.5400,53.5400,0
10/13/2025,38.0500,38.0500,38.0500,38.0500,0
10/14/2025,45.2600,45.2600,45.2600,45.2600,0
10/15/2025,42.4200,42.4200,42.4200,42.4200,0
10/16/2025,35.6600,35.6600,35.6600,35.6600,0
10/17/2025,35.9000,35.9000,35.9000,35.9000,0
10/20/2025,32.7200,32.7200,32.7200,32.7200,0
10/21/2025,40.8100,40.8100,40.8100,40.8100,0
10/22/2025,49.4100,49.4100,49.4100,49.4100,0
10/23/2025,31.1900,31.1900,31.1900,31.1900,0
10/24/2025,29.9200,29.9200,29.9200,29.9200,0
10/27/2025,36.1600,36.1600,36.1600,36.1600,0
10/28/2025,40.3700,40.3700,40.3700,40.3700,0
10/29/2025,38.5100,38.5100,38.5100,38.5100,0
10/30/2025,35.2300,35.2300,35.2300,35.2300,0
10/31/2025,45.8400,45.8400,45.8400,45.8400,0
11/03/2025,41.3400,41.3400,41.3400,41.3400,0
11/04/2025,49.8800,49.8800,49.8800,49.8800,0
11/05/2025,43.8600,43.8600,43.8600,43.8600,0
11/06/2025,46.6200,46.6200,46.6200,46.6200,0
11/07/2025,50.2800,50.2800,50.2800,50.2800,0
11/10/2025,38.3700,38.3700,38.3700,38.3700,0
11/11/2025,44.1600,44.1600,44.1600,44.1600,0
11/12/2025,40.3900,40.3900,40.3900,40.3900,0
11/13/2025,46.3200,46.3200,46.3200,46.3200,0
11/14/2025,41.1300,41.1300,41.1300,41.1300,0
11/17/2025,43.2300,43.2300,43.2300,43.2300,0
11/18/2025,44.3300,44.3300,44.3300,44.3300,0
11/19/2025,37.7700,37.7700,37.7700,37.7700,0
11/20/2025,43.2100,43.2100,43.2100,43.2100,0
11/21/2025,39.9800,39.9800,39.9800,39.9800,0
11/24/2025,36.0900,36.0900,36.0900,36.0900,0
11/25/2025,38.3700,38.3700,38.3700,38.3700,0
11/26/2025,35.7400,35.7400,35.7400,35.7400,0
11/28/2025,39.6700,39.6700,39.6700,39.6700,0
12/01/2025,39.1000,39.1000,39.1000,39.1000,0
12/02/2025,39.5400,39.5400,39.5400,39.5400,0
12/03/2025,38.7800,38.7800,38.7800,38.7800,0
12/04/2025,39.2200,39.2200,39.2200,39.2200,0
12/05/2025,34.7400,34.7400,34.7400,34.7400,0
12/08/2025,36.8100,36.8100,36.8100,36.8100,0
12/09/2025,41.9600,41.9600,41.9600,41.9600,0
12/10/2025,37.8200,37.8200,37.8200,37.8200,0
12/11/2025,41.5800,41.5800,41.5800,41.5800,0
12/12/2025,46.1400,46.1400,46.1400,46.1400,0
12/15/2025,41.3000,41.3000,41.3000,41.3000,0
12/16/2025,45.2400,45.2400,45.2400,45.2400,0
12/17/2025,45.6700,45.6700,45.6700,45.6700,0
12/18/2025,37.2400,37.2400,37.2400,37.2400,0
12/19/2025,36.6600,36.6600,36.6600,36.6600,0
12/22/2025,37.1500,37.1500,37.1500,37.1500,0
12/23/2025,29.8200,29.8200,29.8200,29.8200,0
12/24/2025,28.2600,28.2600,28.2600,28.2600,0
12/26/2025,34.4500,34.4500,34.4500,34.4500,0
12/29/2025,31.9000,31.9000,31.9000,31.9000,0
12/30/2025,42.6000,42.6000,42.6000,42.6000,0
12/31/2025,42.1000,42.1000,42.1000,42.1000,0
01/02/2026,32.1000,32.1000,32.1000,32.1000,0
01/05/2026,27.1300,27.1300,27.1300,27.1300,0
