date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-06-04,SOXL,57615452.0,20838595.0,36.17,95.6462,499466,19931322,407807,0,278366.0,,
2025-06-05,SOXL,76932149.0,26974353.0,35.06,95.4454,823129,25745771,405453,0,446376.0,,
2025-06-06,SOXL,45222460.0,15777173.0,34.89,95.6492,358480,15090745,327948,0,92734.0,,
2025-06-09,SOXL,60535779.0,20176887.0,33.33,92.8956,1096263,18743440,337184,0,242253.0,,
2025-06-10,SOXL,53986000.0,17562963.0,32.53,93.795,674078,16473173,415712,0,112248.0,34.396,
2025-06-11,SOXL,60698014.0,19715289.0,32.48,95.3034,638191,18789349,287749,0,324279.0,34.0767,
2025-06-12,SOXL,34921773.0,11745216.0,33.63,94.1132,438883,11053794,252539,0,107095.0,34.0129,
2025-06-13,SOXL,60016614.0,19215954.0,32.02,92.8791,917959,17847604,450391,0,211380.0,33.7637,
2025-06-16,SOXL,44292061.0,14658763.0,33.1,94.2248,561547,13812195,285021,0,108282.0,33.69,
2025-06-17,SOXL,42775683.0,14395888.0,33.65,95.7234,346073,13780228,269587,0,167948.0,33.686,
2025-06-18,SOXL,45884575.0,16631371.0,36.25,93.6097,760678,15568576,302117,0,97189.0,33.9191,
2025-06-20,SOXL,50851668.0,18404147.0,36.19,93.4538,841403,17199381,363363,0,101504.0,34.1083,
2025-06-23,SOXL,43853578.0,14872871.0,33.91,93.552,712533,13913866,246472,0,188533.0,34.0931,
2025-06-24,SOXL,47412420.0,15784715.0,33.29,92.2914,878165,14567938,338612,0,145123.0,34.0357,
2025-06-25,SOXL,39485396.0,13580642.0,34.39,94.623,536620,12850414,193608,0,65641.0,34.0593,
2025-06-26,SOXL,32695997.0,11186910.0,34.21,94.3239,434837,10551930,200143,0,94311.0,34.0687,
2025-06-27,SOXL,44853010.0,13390691.0,29.85,92.7161,727146,12415326,248219,0,154981.0,33.8206,
2025-06-30,SOXL,28184915.0,7990443.0,28.35,92.9417,423407,7426455,140581,0,37452.0,33.5167,
2025-07-01,SOXL,39464624.0,10429783.0,26.43,92.1267,568204,9608616,252963,0,81204.0,33.1437,
2025-07-02,SOXL,38476926.0,12489985.0,32.46,92.41,728598,11541995,219392,0,122585.0,33.1095,-0.2651
2025-07-03,SOXL,23937965.0,8980605.0,37.52,96.4276,239654,8659783,81168,0,72143.0,33.177,1.6351
2025-07-07,SOXL,36387378.0,14942919.0,41.07,95.1491,398727,14218055,326137,0,181089.0,33.4775,2.4791
2025-07-08,SOXL,35681821.0,12547195.0,35.16,94.8211,357573,11897386,292236,0,115510.0,33.491,0.4851
2025-07-09,SOXL,36396195.0,15240742.0,41.87,95.2236,445904,14512790,282048,0,170546.0,33.918,2.3616
2025-07-10,SOXL,18586696.0,5449622.0,29.32,91.5299,334163,4988034,127425,0,42428.0,33.7575,-1.3565
2025-07-11,SOXL,29940088.0,10575679.0,35.32,93.8839,410399,9928855,236425,0,62598.0,33.8995,0.4166
2025-07-14,SOXL,40300451.0,19044316.0,47.26,94.4306,610511,17983653,450152,0,117958.0,34.581,3.1211
2025-07-15,SOXL,38771530.0,14188994.0,36.6,93.7902,448882,13307884,432228,0,157163.0,34.81,0.5151
2025-07-16,SOXL,49930353.0,23437173.0,46.94,95.3201,525305,22340327,571541,0,245617.0,35.502,2.6173
2025-07-17,SOXL,31153053.0,10775475.0,34.59,94.931,278942,10229261,267272,0,149996.0,35.549,-0.075
2025-07-18,SOXL,30535895.0,9955998.0,32.6,95.0525,312776,9463428,179794,0,112383.0,35.3665,-0.5058
2025-07-21,SOXL,30147308.0,8405009.0,27.88,94.07,248047,7906594,250368,0,79540.0,34.951,-1.485
2025-07-22,SOXL,40110702.0,19650746.0,48.99,95.6702,558980,18799908,291858,0,88662.0,35.705,2.7237
2025-07-23,SOXL,35951313.0,16258572.0,45.22,94.8111,490348,15414937,353287,0,180547.0,36.3015,1.8521
2025-07-24,SOXL,28358477.0,11507864.0,40.58,94.9566,418463,10927479,161922,0,89134.0,36.611,0.9527
2025-07-25,SOXL,27076183.0,8542647.0,31.55,94.0519,288204,8034524,219919,0,32707.0,36.478,-0.7305
2025-07-28,SOXL,29811537.0,9360236.0,31.4,92.6251,514921,8669927,175388,0,111917.0,36.5555,-0.7429
2025-07-29,SOXL,40582255.0,11717045.0,28.87,93.6386,481582,10971682,263781,0,180769.0,36.5815,-1.1855
2025-07-30,SOXL,34059627.0,10464651.0,30.72,93.3804,523700,9771931,169020,0,149313.0,36.796,-0.8171
2025-07-31,SOXL,54211116.0,24673353.0,45.51,95.8329,693553,23645189,334611,0,1085269.0,37.4485,1.8791
2025-08-01,SOXL,55455624.0,18726388.0,33.77,95.2881,476654,17844019,405715,0,2570127.0,37.261,-0.2735
2025-08-04,SOXL,26930736.0,10250671.0,38.06,92.6416,577186,9496387,177098,0,71492.0,37.1105,0.5155
2025-08-05,SOXL,40010552.0,14071137.0,35.17,92.8444,709762,13064259,297116,0,93423.0,37.111,-0.0258
2025-08-06,SOXL,38762671.0,14904255.0,38.45,93.4434,641215,13927038,336002,0,63847.0,36.94,0.587
2025-08-07,SOXL,43708547.0,13574702.0,31.06,92.0633,588070,12497322,489310,0,166366.0,37.027,-0.8096
2025-08-08,SOXL,25197455.0,7041563.0,27.95,93.9725,334411,6617131,90021,0,38539.0,36.6585,-1.3616
2025-08-11,SOXL,27330467.0,8660344.0,31.69,91.8078,564701,7950871,144772,0,131120.0,35.88,-0.6417
2025-08-12,SOXL,38411034.0,12161502.0,31.66,93.5534,612242,11377503,171757,0,111755.0,35.633,-0.6379
2025-08-13,SOXL,32718863.0,10346042.0,31.62,94.1095,409137,9736613,200292,0,101248.0,34.867,-0.6363
2025-08-14,SOXL,28268114.0,9313941.0,32.95,90.6579,667910,8443819,202212,0,52336.0,34.785,-0.3747
2025-08-15,SOXL,35911955.0,17625930.0,49.08,95.3193,475887,16800913,349130,0,34365.0,35.609,2.5586
