date,ticker,close,volume,short_interest,avg_daily_volume,days_to_cover,short_volume_ratio,call_volume,put_volume,put_call_volume_ratio,total_options_volume,rsi14,stoch20,dist_ma20,dist_ma50,dist_ma200,roc20,volume_surge,ma50_slope,price_exhaustion_score,options_fear_greed_score,short_pressure_score,trend_score,optix
2024-09-03,SOXL,30.07,140077858.0,,,,59.87,,,,,,,,,,,,,50.0,50.0,17.5,50.0,45.125
2024-09-04,SOXL,30.3,108759945.0,,,,56.96,,,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0
2024-09-05,SOXL,29.75,100075882.0,,,,42.29,,,,,,,,,,,,,50.0,50.0,60.83333333333333,50.0,51.625
2024-09-06,SOXL,25.96,156147578.0,,,,45.96,,,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0
2024-09-09,SOXL,27.43,84474535.0,,,,44.5,,,,,,,,,,,,,50.0,50.0,56.5,50.0,50.975
2024-09-10,SOXL,28.35,81557456.0,,,,57.38,,,,,,,,,,,,,50.0,50.0,28.333333333333336,50.0,46.75
2024-09-11,SOXL,32.22,143140937.0,,,,55.97,,,,,,,,,,,,,50.0,50.0,45.35714285714286,50.0,49.30357142857143
2024-09-12,SOXL,31.81,99273289.0,,,,57.19,,,,,,,,,,,,,50.0,50.0,33.75,50.0,47.5625
2024-09-13,SOXL,33.43,78147292.0,15950955.0,110183864.0,1.0,52.27,,,,,,,,,,,,,50.0,50.0,36.111111111111114,50.0,47.916666666666664
2024-09-16,SOXL,32.16,79670080.0,15950955.0,110183864.0,1.0,38.35,,,,,,,,,,,,,50.0,50.0,58.5,50.0,51.275
2024-09-17,SOXL,32.16,86913739.0,15950955.0,110183864.0,1.0,32.96,,,,,,,,,,,,,50.0,50.0,59.09090909090909,50.0,51.36363636363636
2024-09-18,SOXL,31.14,113735526.0,15950955.0,110183864.0,1.0,38.69,,,,,,,,,,,,,50.0,50.0,48.75,50.0,49.8125
2024-09-19,SOXL,35.12,123984344.0,15950955.0,110183864.0,1.0,34.59,,,,,,,,,,,,,50.0,50.0,55.0,50.0,50.75
2024-09-20,SOXL,33.55,108589554.0,15950955.0,110183864.0,1.0,38.89,,,,,,,,,,,,,50.0,50.0,41.785714285714285,50.0,48.76785714285714
2024-09-23,SOXL,33.92,59731609.0,15950955.0,110183864.0,1.0,55.29,,,,,59.13621262458472,,,,,,,,52.28405315614618,50.0,21.666666666666664,50.0,46.77782392026578
2024-09-24,SOXL,35.07,83369640.0,15950955.0,110183864.0,1.0,42.53,,,,,60.84583901773534,,,,,,,,52.71145975443383,50.0,36.5625,50.0,49.20453188949523
2024-09-25,SOXL,35.74,73587502.0,15950955.0,110183864.0,1.0,48.71,,,,,63.54590682948892,,,,,,,,53.38647670737223,50.0,26.764705882352946,50.0,48.038620400670446
2024-09-26,SOXL,39.65,138171824.0,15950955.0,110183864.0,1.0,47.94,,,,,80.79172289698606,,,,,,,,57.69793072424652,50.0,28.88888888888889,50.0,50.29740215924427
2024-09-27,SOXL,37.66,85253521.0,15950955.0,110183864.0,1.0,58.91,,,,,72.48351648351648,,,,,,,,55.620879120879124,50.0,3.421052631578943,50.0,45.542553499132445
2024-09-30,SOXL,36.68,74673962.0,8358348.0,93425573.0,1.0,52.09,,,,,68.2595352915388,78.30533235938643,0.12486008249382863,,,,0.7395892441921429,,71.64121691273131,50.0,26.0,50.0,56.13854761072909
2024-10-01,SOXL,33.83,124928283.0,8358348.0,93425573.0,1.0,58.02,,,,,53.69435520881139,57.4872169466764,0.03151250895674851,,,0.12504156967076807,1.2466732325027368,,60.29539303887195,50.0,6.190476190476187,50.0,48.06149829606381
2024-10-02,SOXL,34.96,81729072.0,8358348.0,93425573.0,1.0,48.83,,,,,56.996890270990676,65.74141709276846,0.05844775125266821,,,0.15379537953795386,0.826733828805206,,66.51791017427311,50.0,29.545454545454547,50.0,54.36487776024108
2024-10-03,SOXL,35.21,86857198.0,8358348.0,93425573.0,1.0,56.82,,,,,54.210028382213814,67.56756756756758,0.05727798213347346,,,0.18352941176470594,0.8845212510313487,,62.94439898744535,50.0,16.956521739130434,50.0,50.86845780521997
2024-10-04,SOXL,36.68,101125442.0,8358348.0,93425573.0,1.0,56.26,,,,,60.59044048734771,75.69558101472995,0.08397239830370751,,,0.4129429892141756,1.0595071266158471,,72.57150537551942,50.0,18.958333333333336,50.0,55.50092741898374
2024-10-07,SOXL,36.41,73150171.0,8358348.0,93425573.0,1.0,55.96,,,,,59.83341045812124,71.32743362831856,0.061903025884068485,,,0.32737878235508555,0.7709795477410923,,65.62354435494328,50.0,23.400000000000002,50.0,53.04059495972447
2024-10-08,SOXL,37.46,66629653.0,8358348.0,93425573.0,1.0,54.98,,,,,64.60258780036969,74.26556991774385,0.07820280344242003,,,0.32134038800705467,0.7078236074284914,,66.50275371524268,50.0,27.5,50.0,54.05123917185921
2024-10-09,SOXL,38.61,67182752.0,8358348.0,93425573.0,1.0,56.89,,,,,59.27698032961191,87.77908343125735,0.1011764705882352,,,0.1983240223463687,0.7437049472972102,,70.33544451164589,50.0,14.444444444444448,50.0,53.817616696907315
2024-10-10,SOXL,37.83,79999048.0,8358348.0,93425573.0,1.0,58.17,,,,,61.875693673695885,78.61339600470035,0.06974705557990579,,,0.18924866394215645,0.8951291912033543,,61.23338353071017,50.0,4.642857142857141,50.0,48.25145116024815
2024-10-11,SOXL,38.67,58434532.0,8358348.0,93425573.0,1.0,53.02,,,,,62.84478096268252,88.4841363102233,0.08545844970596916,,,0.15674543822913556,0.661129774262137,,66.33222931822645,50.0,31.379310344827587,50.0,54.55639974492604
2024-10-14,SOXL,40.82,69661768.0,8358348.0,93425573.0,1.0,53.68,,,,,64.75115443817342,100.0,0.13204930876215037,,,0.26927860696517425,0.7926427235850865,,79.18778860954336,50.0,30.333333333333332,50.0,60.18450487429451
2024-10-15,SOXL,34.47,131664163.0,10922334.0,85578371.0,1.0,59.26,,,,,47.47715534366309,34.40082644628097,-0.04710565599601946,,,0.07182835820895539,1.4609388818444529,,30.99979847778905,50.0,2.096774193548383,50.0,34.26442544403733
2024-10-16,SOXL,34.46,70233035.0,10922334.0,85578371.0,1.0,62.22,,,,,37.79971791255291,12.517193947730444,-0.05173362685745719,,,0.10661528580603719,0.7985758842904973,,24.117689503532375,50.0,0.0,50.0,30.85296027658957
2024-10-17,SOXL,35.21,97549025.0,10922334.0,85578371.0,1.0,54.93,,,,,43.88417373939093,22.83356258596978,-0.03121517698688947,,,0.0025626423690205957,1.1260929310097425,,29.618994520900614,50.0,31.515151515151516,50.0,38.055820261678
