wick_idx,date,time_et,direction,wick_pct,extreme,wick_close,entry,entry_price,entry_kind,target_dist_dollar,target_dist_pct,touched_target,touched_day,peak_mfe_dollar,peak_mfe_pct,peak_mfe_day,peak_mae_dollar,peak_mae_pct,rsi_1m_at_wick,stochrsi_1m_at_wick,rsi_5m_at_wick,atr_1m_at_wick,wick_atr_ratio,vwap_at_wick,dist_vwap_pct_at_wick
0,2025-11-24,14:32,down,1.9337,593.4252,605.27,E1,604.68,1h_after,11.844799999999964,1.958854270027116,False,,7.3599999999999,1.2171727194549018,1,24.24000000000001,4.0087318912482655,54.05324173465067,34.735278328215536,72.11700205594691,1.1413999999999842,10.377431224811748,601.3490376288122,0.6520277120004357
0,2025-11-24,14:32,down,1.9337,593.4252,605.27,E2,603.51,next_open,11.844799999999964,1.9626518201852436,False,,6.189999999999941,1.0256665175390534,0,25.409999999999968,4.2103693393647115,54.05324173465067,34.735278328215536,72.11700205594691,1.1413999999999842,10.377431224811748,601.3490376288122,0.6520277120004357
1,2025-12-04,15:48,down,1.2173,614.615,622.3199,E1,621.9601,session_close,7.704899999999952,1.2388093705689405,True,6.0,21.68010000000004,3.4857702286690153,9,7.249900000000025,1.1656535523741838,65.90427080301144,18.639854250792595,47.01805377005162,1.0291499999999993,7.486663751639661,621.9544745842384,0.05875436719156502
1,2025-12-04,15:48,down,1.2173,614.615,622.3199,E2,624.38,next_open,7.704899999999952,1.2340081360709747,True,5.0,24.100000000000023,3.85982895031872,8,4.830000000000041,0.7735673788398156,65.90427080301144,18.639854250792595,47.01805377005162,1.0291499999999993,7.486663751639661,621.9544745842384,0.05875436719156502
2,2025-12-16,12:07,up,1.9031,622.0,609.7264,E1,610.77,1h_after,12.273599999999988,2.0095289552532027,True,5.0,14.745000000000005,2.4141657252320847,7,10.490000000000009,1.717504134125777,48.83507853403169,50.56062667728363,35.032164763377196,1.5202500000000245,8.073408978786246,609.8551771852701,-0.021116027228705175
2,2025-12-16,12:07,up,1.9031,622.0,609.7264,E2,613.06,next_open,12.273599999999988,2.00202264052458,True,4.0,12.455000000000041,2.031611914005161,6,12.779999999999973,2.084624669689749,48.83507853403169,50.56062667728363,35.032164763377196,1.5202500000000245,8.073408978786246,609.8551771852701,-0.021116027228705175
3,2025-12-17,13:53,up,1.8655,614.9911,603.57,E1,601.7438,1h_after,11.42109999999991,1.898000444707517,True,2.0,23.77120000000002,3.9503855295227006,6,1.463799999999992,0.24325967297045553,46.31386627348066,76.0260121687224,45.72652335542337,1.3082428571428377,8.73010690457217,606.788780260854,-0.5304614003360756
3,2025-12-17,13:53,up,1.8655,614.9911,603.57,E2,609.8,next_open,11.42109999999991,1.8729255493604313,True,1.0,15.715000000000032,2.5770744506395595,5,2.8799999999999955,0.4722859954083299,46.31386627348066,76.0260121687224,45.72652335542337,1.3082428571428377,8.73010690457217,606.788780260854,-0.5304614003360756
4,2025-12-18,11:10,down,1.9982,596.1,608.2588,E1,612.41,1h_after,12.158799999999928,1.9854019366110822,False,,12.0,1.9594715958263256,0,13.105000000000018,2.1399062719420026,39.149718736477155,8.364115571534441,,1.5452214285714132,7.868645732696686,608.8987160520336,-0.10509400581146186
4,2025-12-18,11:10,down,1.9982,596.1,608.2588,E2,611.95,next_open,12.158799999999928,1.9868943541138864,False,,1.8000000000000682,0.29414167824169757,8,13.56499999999994,2.2166843696380325,39.149718736477155,8.364115571534441,,1.5452214285714132,7.868645732696686,608.8987160520336,-0.10509400581146186
