date,time_et,ghost_price,lit_price,diff_pct,direction,size,exchange,conditions,trf_id,touched,days_to_touch
2026-05-12,09:49:08.403,443.6956,439.1956,1.025,up,40,4,"[10, 2, 41]",202,True,1
2026-05-12,09:51:13.962,443.2918,438.6426,1.06,up,10,4,[37],202,True,1
2026-05-12,09:51:37.782,443.1847,438.6426,1.036,up,120,4,"[10, 2, 41]",202,True,1
2026-05-12,12:42:03.306,435.0833,423.207,2.806,up,30,4,"[10, 37, 41]",202,True,1
2026-05-13,10:21:48.766,430.6,438.645,1.834,down,10,4,"[37, 41]",202,True,2
2026-05-13,10:37:45.974,431.02,445.355,3.219,down,10,4,"[10, 37, 41]",202,True,2
2026-05-13,12:17:23.000,435.8795,449.6725,3.067,down,14,4,"[37, 41]",203,True,2
2026-05-13,14:03:05.498,439.8329,448.555,1.944,down,1015,4,"[2, 41]",202,True,2
2026-05-18,10:36:37.431,418.2,410.8925,1.778,up,1575,4,"[41, 52, 53]",201,False,
2026-05-18,12:54:02.416,418.23,411.645,1.6,up,10,4,"[37, 41]",202,False,
2026-05-19,11:20:00.152,442.3,397.01,11.408,up,76,4,"[2, 41]",202,False,
2026-05-19,14:46:51.100,394.635,404.755,2.5,down,44,4,"[22, 41]",202,False,
