method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
trade,2025-11-19T14:46:00-04:00,2025-11-19,14:46,221.94,246.39,221.763,222.03,63868,0.0405,10.9737,270.67,up,246.39,False,
trade,2025-11-19T15:47:00-04:00,2025-11-19,15:47,220.7,220.9,218.6077,220.75,62347,0.0227,0.9479,41.85,down,218.6077,True,1
trade,2025-11-24T12:14:00-04:00,2025-11-24,12:14,212.985,213.24,204.6,213.15,64493,0.0774,3.9354,50.82,down,204.6,True,1
trade,2025-11-26T13:04:00-04:00,2025-11-26,13:04,212.8858,213.1175,205.5,212.92,64704,0.0161,3.4691,215.96,down,205.5,False,
trade,2025-11-26T14:46:00-04:00,2025-11-26,14:46,212.97,213.2999,210.19,213.124,38654,0.0723,1.3049,18.05,down,210.19,False,
trade,2025-12-01T12:47:00-04:00,2025-12-01,12:47,218.965,226.18,218.81,218.955,44859,0.0046,3.2951,721.5,up,226.18,True,0
trade,2025-12-01T13:33:00-04:00,2025-12-01,13:33,218.3435,240.52,218.26,218.43,15303,0.0396,10.1151,255.38,up,240.52,False,
trade,2025-12-04T10:42:00-04:00,2025-12-04,10:42,216.6,217.2,206.13,216.69,114917,0.0415,4.8328,116.33,down,206.13,True,8
trade,2025-12-04T11:08:00-04:00,2025-12-04,11:08,215.43,218.6896,215.3165,215.69,58315,0.1206,1.3915,11.54,up,218.6896,True,0
trade,2025-12-05T12:32:00-04:00,2025-12-05,12:32,216.43,230.8,216.24,216.8182,116425,0.1792,6.4544,36.02,up,230.8,False,
trade,2025-12-05T12:50:00-04:00,2025-12-05,12:50,217.91,230.5394,217.6012,217.6561,52830,0.1166,5.7991,49.74,up,230.5394,False,
trade,2025-12-05T13:49:00-04:00,2025-12-05,13:49,218.5479,230.29,218.2414,218.528,33613,0.0091,5.373,590.06,up,230.29,False,
trade,2025-12-08T12:02:00-04:00,2025-12-08,12:02,218.76,219.6034,206.13,218.6299,82544,0.0595,5.7157,96.08,down,206.13,True,6
trade,2025-12-10T11:56:00-04:00,2025-12-10,11:56,219.22,219.8214,206.13,219.575,25849,0.1618,5.9663,36.87,down,206.13,True,4
trade,2025-12-12T11:25:00-04:00,2025-12-12,11:25,215.71,230.29,215.32,215.36,83385,0.1624,6.7646,41.66,up,230.29,False,
trade,2025-12-15T14:00:00-04:00,2025-12-15,14:00,210.95,215.98,210.35,210.475,94433,0.2254,2.3871,10.59,up,215.98,True,0
trade,2025-12-15T15:39:00-04:00,2025-12-15,15:39,210.22,219.2,210.18,210.19,29375,0.0143,4.272,299.33,up,219.2,True,5
trade,2025-12-16T14:25:00-04:00,2025-12-16,14:25,207.6012,218.4966,207.4127,207.79,22765,0.0909,5.1549,56.71,up,218.4966,True,4
trade,2025-12-23T13:52:00-04:00,2025-12-23,13:52,214.8,214.9186,210.46,214.7,20711,0.0466,1.9744,42.4,down,210.46,True,3
trade,2025-12-29T11:30:00-04:00,2025-12-29,11:30,213.4238,213.99,211.62,213.88,86097,0.2135,0.8443,3.95,down,211.62,True,5
trade,2026-01-05T14:18:00-04:00,2026-01-05,14:18,220.91,221.3513,214.8372,220.6377,57679,0.1233,2.6273,21.3,down,214.8372,True,1
trade,2026-01-06T14:48:00-04:00,2026-01-06,14:48,214.065,214.17,212.065,213.96,69476,0.0491,0.8855,18.05,down,212.065,True,1
trade,2026-01-08T14:37:00-04:00,2026-01-08,14:37,204.5151,217.6,204.41,204.49,15453,0.0123,6.3984,521.31,up,217.6,True,3
trade,2026-01-09T12:28:00-04:00,2026-01-09,12:28,206.8929,213.43,206.7,206.7787,34514,0.0552,3.1605,57.24,up,213.43,True,2
trade,2026-01-12T15:21:00-04:00,2026-01-12,15:21,208.815,224.2136,208.5936,208.7304,33359,0.0405,7.3758,182.02,up,224.2136,True,3
trade,2026-01-14T10:42:00-04:00,2026-01-14,10:42,216.4168,216.699,201.18,215.74,212733,0.3132,6.7383,21.51,down,201.18,False,
trade,2026-01-14T10:58:00-04:00,2026-01-14,10:58,217.43,217.4788,214.16,216.92,103564,0.2348,1.2709,5.41,down,214.16,True,0
trade,2026-01-14T15:21:00-04:00,2026-01-14,15:21,221.915,221.9344,209.6934,221.6856,42529,0.1034,5.4068,52.28,down,209.6934,False,
trade,2026-01-14T15:50:00-04:00,2026-01-14,15:50,222.2529,222.59,214.6251,222.4817,63833,0.1029,3.4303,33.34,down,214.6251,False,
trade,2026-01-16T13:39:00-04:00,2026-01-16,13:39,233.7901,236.6531,233.6,233.63,70233,0.0685,1.225,17.88,up,236.6531,True,1
trade,2026-01-16T14:04:00-04:00,2026-01-16,14:04,232.51,232.65,221.2335,232.5365,21064,0.0114,4.8496,425.53,down,221.2335,False,
trade,2026-01-20T15:33:00-04:00,2026-01-20,15:33,230.925,231.2728,209.17,230.83,41990,0.0411,9.3816,228.0,down,209.17,False,
trade,2026-01-22T11:52:00-04:00,2026-01-22,11:52,251.805,252.1519,248.88,252.09,74217,0.1131,1.161,10.26,down,248.88,True,0
trade,2026-01-22T13:31:00-04:00,2026-01-22,13:31,255.02,255.1482,241.075,254.86,41967,0.0628,5.4072,86.16,down,241.075,True,5
