method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
sip,2025-11-24T09:47:00-04:00,2025-11-24,09:47,180.03,180.05,178.88,179.8642,49428,0.0921,0.5469,5.94,down,178.88,True,0
sip,2025-12-15T11:31:00-04:00,2025-12-15,11:31,175.88,177.72,175.8,176.06,589643,0.1023,0.9433,9.22,up,177.72,True,0
sip,2026-01-12T10:53:00-04:00,2026-01-12,10:53,185.245,185.33,183.5798,185.29,356429,0.0243,0.8988,37.0,down,183.5798,True,1
sip,2026-01-13T12:27:00-04:00,2026-01-13,12:27,185.555,185.555,184.32,185.32,2195327,0.1267,0.5393,4.26,down,184.32,True,0
sip,2026-01-21T09:48:00-04:00,2026-01-21,09:48,178.4,181.955,178.39,178.48,15307,0.0448,1.9474,43.44,up,181.955,True,0
sip,2026-02-05T10:00:00-04:00,2026-02-05,10:00,174.07,174.36,173,174.21,253265,0.0804,0.6144,7.64,down,173,True,0
sip,2026-02-23T12:08:00-04:00,2026-02-23,12:08,189.94,191.51,189.65,189.7059,435670,0.1233,0.8271,6.71,up,191.51,True,0
sip,2026-03-02T10:19:00-04:00,2026-03-02,10:19,174.2662,177.19,174.2662,174.3437,16794,0.0445,1.6329,36.73,up,177.19,True,0
sip,2026-04-22T10:22:00-04:00,2026-04-22,10:22,200.4199,200.4199,199,200.2661,661109,0.0768,0.632,8.23,down,199,True,1
sip,2026-05-04T09:40:00-04:00,2026-05-04,09:40,200.358,200.93,198.6515,200.83,480349,0.2353,0.8507,3.62,down,198.6515,True,0
