method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
trade,2025-11-19T11:05:00-04:00,2025-11-19,11:05,187.02,187.1829,184.8601,186.99,561319,0.016,1.139,71.0,down,184.8601,True,0
trade,2025-11-19T11:23:00-04:00,2025-11-19,11:23,187.15,187.424,184.89,187.05,385751,0.0534,1.1545,21.6,down,184.89,True,0
trade,2025-11-19T11:38:00-04:00,2025-11-19,11:38,187.51,197.6101,187.1,187.2072,361326,0.1616,5.3908,33.36,up,197.6101,False,
trade,2025-11-19T12:00:00-04:00,2025-11-19,12:00,185.8672,186.18,184.18,186.175,622446,0.1655,0.907,5.48,down,184.18,True,0
trade,2025-11-19T14:46:00-04:00,2025-11-19,14:46,184.79,187.099,184.7,184.785,172307,0.0027,1.2495,461.8,up,187.099,True,1
trade,2025-11-20T10:44:00-04:00,2025-11-20,10:44,194.51,195.98,193.2601,194.23,1478999,0.1441,0.7563,5.25,up,195.98,False,
trade,2025-11-20T11:25:00-04:00,2025-11-20,11:25,194.0472,194.144,187.24,193.8572,650182,0.098,3.4118,34.83,down,187.24,True,0
trade,2025-11-20T13:40:00-04:00,2025-11-20,13:40,183.52,186.26,182.5779,183.54,656763,0.0109,1.482,136.0,up,186.26,False,
trade,2025-11-20T15:08:00-04:00,2025-11-20,15:08,181.495,184.77,180.94,181.15,976549,0.1903,1.8062,9.49,up,184.77,True,7
trade,2025-11-21T11:10:00-04:00,2025-11-21,11:10,178.85,189.78,178.08,178.3272,706766,0.2927,6.1202,20.91,up,189.78,False,
trade,2025-11-21T12:23:00-04:00,2025-11-21,12:23,177.67,182.68,177.0193,177.6286,455659,0.0233,2.8202,121.01,up,182.68,True,0
trade,2025-11-21T14:18:00-04:00,2025-11-21,14:18,178.805,179.3244,174.14,178.645,497472,0.0895,2.5206,28.16,down,174.14,True,2
trade,2025-11-24T10:59:00-04:00,2025-11-24,10:59,177.7372,187.925,177.66,178.03,772673,0.1646,5.5626,33.79,up,187.925,True,0
trade,2025-11-24T11:05:00-04:00,2025-11-24,11:05,179.29,187.69,178.8403,179.29,972999,0.0,4.6851,84000.0,up,187.69,True,0
trade,2025-11-24T13:25:00-04:00,2025-11-24,13:25,182.2085,182.47,178.0606,182.465,260125,0.1407,2.2749,16.17,down,178.0606,True,1
trade,2025-11-24T14:04:00-04:00,2025-11-24,14:04,182.81,182.84,179.2457,182.79,144225,0.0109,1.9389,177.21,down,179.2457,True,0
trade,2025-11-24T14:16:00-04:00,2025-11-24,14:16,182.68,184.2638,182.47,182.52,206562,0.0876,0.8674,9.9,up,184.2638,True,0
trade,2025-11-24T14:17:00-04:00,2025-11-24,14:17,182.525,182.6386,179.73,182.3817,173827,0.0785,1.4534,18.5,down,179.73,True,0
trade,2025-11-24T14:25:00-04:00,2025-11-24,14:25,182.3918,182.4752,178.88,182.2885,210468,0.0567,1.8693,33.0,down,178.88,True,1
trade,2025-11-24T15:40:00-04:00,2025-11-24,15:40,181.73,193.16,181.4853,181.708,259034,0.0121,6.2899,519.55,up,193.16,False,
trade,2025-11-24T15:53:00-04:00,2025-11-24,15:53,181.16,182.49,181.08,181.1442,279707,0.0087,0.7342,84.18,up,182.49,True,2
trade,2025-11-25T13:27:00-04:00,2025-11-25,13:27,175.7383,193.3827,175.4362,175.845,355213,0.0607,9.9764,164.36,up,193.3827,False,
trade,2025-11-25T15:08:00-04:00,2025-11-25,15:08,175.645,184.3935,175.44,175.4599,390002,0.1054,4.9834,47.26,up,184.3935,True,4
trade,2025-11-26T10:42:00-04:00,2025-11-26,10:42,181.1957,181.4526,178.58,180.8058,851132,0.2154,1.2297,5.71,down,178.58,True,0
trade,2025-11-26T11:48:00-04:00,2025-11-26,11:48,180.0686,181.89,179.9073,180.1886,360442,0.0666,0.9445,14.18,up,181.89,True,3
trade,2025-11-26T11:54:00-04:00,2025-11-26,11:54,180.21,180.46,174.83,180.362,282544,0.0843,2.9841,35.39,down,174.83,True,0
trade,2025-11-26T12:11:00-04:00,2025-11-26,12:11,180.6286,180.8279,174.19,180.4086,359579,0.1219,3.4449,28.27,down,174.19,True,2
trade,2025-11-26T14:46:00-04:00,2025-11-26,14:46,179.88,181.7,179.8734,179.99,283131,0.0611,0.9503,15.55,up,181.7,True,3
trade,2025-11-28T13:44:00-04:00,2025-11-28,13:44,176.82,178.89,176.72,176.75,399500,0.0396,1.1709,29.57,up,178.89,True,1
trade,2025-12-01T12:47:00-04:00,2025-12-01,12:47,179.5686,182.51,179.2076,179.655,376686,0.0481,1.5895,33.04,up,182.51,True,1
trade,2025-12-01T14:18:00-04:00,2025-12-01,14:18,179.31,179.4618,174.9526,179.405,219917,0.053,2.4294,45.87,down,174.9526,True,0
trade,2025-12-01T14:27:00-04:00,2025-12-01,14:27,179.52,179.5586,174.56,179.4501,120794,0.0389,2.7245,69.96,down,174.56,False,
trade,2025-12-02T11:00:00-04:00,2025-12-02,11:00,184.7572,185.16,181.8,185.1572,720166,0.2163,1.5989,7.39,down,181.8,True,0
trade,2025-12-02T13:23:00-04:00,2025-12-02,13:23,181.909,183.8256,181.861,181.9197,201653,0.0059,1.0477,178.12,up,183.8256,True,2
trade,2025-12-02T13:54:00-04:00,2025-12-02,13:54,181.7012,182.0698,174.8,181.64,358735,0.0337,3.7651,111.76,down,174.8,True,8
trade,2025-12-02T15:22:00-04:00,2025-12-02,15:22,181.03,181.2105,179.4349,181.089,270038,0.0326,0.881,27.04,down,179.4349,True,1
trade,2025-12-03T12:46:00-04:00,2025-12-03,12:46,180.97,185.343,180.88,181.0772,173834,0.0592,2.3565,39.79,up,185.343,True,3
trade,2025-12-04T10:43:00-04:00,2025-12-04,10:43,182.29,183.09,177.82,182.24,750700,0.0274,2.425,88.4,down,177.82,True,5
trade,2025-12-04T12:01:00-04:00,2025-12-04,12:01,181.758,183,181.63,181.6386,212562,0.0657,0.6836,10.4,up,183,True,0
trade,2025-12-04T15:03:00-04:00,2025-12-04,15:03,183.255,183.3872,179.59,183.2514,99281,0.002,1.998,1017.06,down,179.59,True,5
trade,2025-12-05T13:38:00-04:00,2025-12-05,13:38,181.815,186.52,181.6521,181.8359,131049,0.0115,2.5762,224.12,up,186.52,True,1
trade,2025-12-08T12:03:00-04:00,2025-12-08,12:03,183.3386,183.7071,177.82,183.3872,270323,0.0265,3.0097,113.55,down,177.82,True,3
trade,2025-12-08T14:42:00-04:00,2025-12-08,14:42,185.3384,185.6916,183.3033,185.32,285313,0.0099,1.0882,109.6,down,183.3033,True,2
trade,2025-12-09T11:43:00-04:00,2025-12-09,11:43,184.8886,185.06,181.7253,185.015,847609,0.0683,1.7103,25.03,down,181.7253,True,2
trade,2025-12-09T12:37:00-04:00,2025-12-09,12:37,184.91,186.42,184.87,184.9086,179979,0.0008,0.8166,1078.57,up,186.42,True,10
trade,2025-12-10T11:58:00-04:00,2025-12-10,11:58,182.8816,183.018,177.82,182.7386,331462,0.0782,2.6906,34.4,down,177.82,True,1
trade,2025-12-10T15:20:00-04:00,2025-12-10,15:20,183.29,183.3949,180.58,183.3787,137996,0.0484,1.4782,30.55,down,180.58,True,1
trade,2025-12-11T11:32:00-04:00,2025-12-11,11:32,178.12,185.2515,177.99,178.0381,426134,0.046,4.0047,87.08,up,185.2515,True,8
trade,2025-12-12T11:26:00-04:00,2025-12-12,11:26,179.7286,181.36,179.55,179.75,364728,0.0119,0.8957,75.23,up,181.36,True,5
trade,2025-12-15T12:27:00-04:00,2025-12-15,12:27,178.2786,183.89,178.0199,178.285,414541,0.0036,3.1439,875.78,up,183.89,True,5
trade,2025-12-15T15:05:00-04:00,2025-12-15,15:05,177.61,180.28,177.45,177.455,252394,0.0873,1.5039,17.23,up,180.28,True,4
trade,2025-12-15T15:39:00-04:00,2025-12-15,15:39,176.715,180.275,176.6445,176.6602,237301,0.031,2.0149,64.96,up,180.275,True,4
trade,2025-12-16T13:28:00-04:00,2025-12-16,13:28,176.388,184.97,176.274,176.45,220161,0.0351,4.8294,137.42,up,184.97,True,5
trade,2025-12-18T14:10:00-04:00,2025-12-18,14:10,175.3386,175.362,173.62,175.23,189319,0.062,0.9185,14.83,down,173.62,False,
trade,2025-12-18T15:07:00-04:00,2025-12-18,15:07,174.53,176.57,174.4239,174.63,219148,0.0573,1.1112,19.4,up,176.57,True,1
trade,2025-12-19T12:18:00-04:00,2025-12-19,12:18,179.3486,179.41,176.4,179.37,176898,0.0119,1.644,137.79,down,176.4,True,0
trade,2025-12-19T15:03:00-04:00,2025-12-19,15:03,179.8501,180,174.19,179.925,450750,0.0416,3.1465,75.57,down,174.19,False,
trade,2025-12-22T11:58:00-04:00,2025-12-22,11:58,183.9886,186.26,183.005,183.8786,916524,0.0598,1.2349,20.65,up,186.26,True,1
trade,2025-12-23T11:02:00-04:00,2025-12-23,11:02,183.9372,184.072,174.14,183.66,499922,0.1508,5.1796,34.34,down,174.14,False,
trade,2025-12-23T12:28:00-04:00,2025-12-23,12:28,187.6986,187.99,184.19,187.972,857055,0.1456,1.8679,12.83,down,184.19,True,0
trade,2025-12-23T13:32:00-04:00,2025-12-23,13:32,188.25,188.314,178.85,188.0333,282742,0.1152,4.8811,42.38,down,178.85,True,0
trade,2025-12-23T13:57:00-04:00,2025-12-23,13:57,188.1012,188.13,174.585,188.09,171447,0.006,7.1799,1205.8,down,174.585,False,
trade,2025-12-23T14:45:00-04:00,2025-12-23,14:45,188.43,188.5,181.2261,188.475,367333,0.0239,3.8227,160.09,down,181.2261,False,
trade,2025-12-24T12:40:00-04:00,2025-12-24,12:40,188.1786,188.2321,186.975,188.1886,284856,0.0053,0.6396,120.36,down,186.975,True,2
trade,2025-12-26T13:39:00-04:00,2025-12-26,13:39,190.81,190.98,175.02,190.9486,195108,0.0726,8.2722,113.92,down,175.02,False,
trade,2025-12-31T13:15:00-04:00,2025-12-31,13:15,188.925,188.94,181.3,188.89,155184,0.0185,4.0178,216.86,down,181.3,True,9
trade,2025-12-31T14:11:00-04:00,2025-12-31,14:11,188.895,191.5751,188.8212,188.835,131503,0.0318,1.4191,44.67,up,191.5751,True,1
trade,2026-01-02T10:47:00-04:00,2026-01-02,10:47,191.9286,192.4699,170.94,192.3841,927546,0.237,10.9227,46.08,down,170.94,False,
trade,2026-01-05T11:32:00-04:00,2026-01-05,11:32,190.0272,191.71,189.9175,190.0489,439433,0.0114,0.8741,76.55,up,191.71,True,1
trade,2026-01-05T14:38:00-04:00,2026-01-05,14:38,187.8582,190.175,187.7668,187.955,201568,0.0515,1.1814,22.93,up,190.175,True,1
trade,2026-01-06T14:06:00-04:00,2026-01-06,14:06,188.34,188.5591,177.72,188.435,248317,0.0504,5.6373,111.79,down,177.72,True,9
trade,2026-01-07T14:04:00-04:00,2026-01-07,14:04,189.9151,189.97,180.0935,189.945,77408,0.0157,5.1712,328.48,down,180.0935,True,8
trade,2026-01-08T11:33:00-04:00,2026-01-08,11:33,186.77,187.775,186.1479,186.52,722626,0.1339,0.5385,4.02,up,187.775,True,0
trade,2026-01-08T13:11:00-04:00,2026-01-08,13:11,184.27,189.595,184.2301,184.26,194291,0.0054,2.8899,532.5,up,189.595,True,5
trade,2026-01-08T14:37:00-04:00,2026-01-08,14:37,184.485,184.6044,179.59,184.4641,186611,0.0113,2.6422,233.21,down,179.59,True,7
trade,2026-01-12T15:23:00-04:00,2026-01-12,15:23,186.9301,188.7851,186.9,186.95,112659,0.0106,0.9817,92.22,up,188.7851,True,3
trade,2026-01-13T12:27:00-04:00,2026-01-13,12:27,185.5586,185.5788,184.3,185.32,2190553,0.1287,0.55,4.27,down,184.3,True,0
trade,2026-01-13T14:46:00-04:00,2026-01-13,14:46,184.87,186.35,184.75,184.79,156814,0.0433,0.8007,18.5,up,186.35,True,2
trade,2026-01-14T12:11:00-04:00,2026-01-14,12:11,181.4,186.5,181.315,181.465,291629,0.0358,2.7751,77.46,up,186.5,True,0
trade,2026-01-14T15:27:00-04:00,2026-01-14,15:27,181.9001,189.4984,181.82,181.9287,194374,0.0157,4.1611,264.67,up,189.4984,True,1
trade,2026-01-14T15:51:00-04:00,2026-01-14,15:51,181.94,188.9886,181.8004,181.9835,198870,0.0239,3.8498,161.04,up,188.9886,True,1
trade,2026-01-15T11:49:00-04:00,2026-01-15,11:49,187.09,195.21,186.98,187.165,392801,0.0401,4.2992,107.27,up,195.21,False,
trade,2026-01-15T13:25:00-04:00,2026-01-15,13:25,188.5246,188.765,184.86,188.7,272730,0.093,1.9429,20.89,down,184.86,True,0
trade,2026-01-16T13:39:00-04:00,2026-01-16,13:39,187.9486,188.1108,186.77,188.02,137049,0.038,0.627,16.51,down,186.77,True,0
trade,2026-01-16T13:57:00-04:00,2026-01-16,13:57,187.85,187.8536,176.29,187.77,158883,0.0426,6.1126,143.5,down,176.29,False,
trade,2026-01-20T11:43:00-04:00,2026-01-20,11:43,181.662,183.14,181.4013,181.6186,457847,0.0239,0.8137,34.06,up,183.14,True,0
trade,2026-01-20T12:56:00-04:00,2026-01-20,12:56,179.8486,188.525,179.7028,180.02,478496,0.0953,4.7267,49.62,up,188.525,True,3
trade,2026-01-20T13:38:00-04:00,2026-01-20,13:38,179.66,187.7959,179.66,179.905,309215,0.1363,4.3891,32.21,up,187.7959,True,3
trade,2026-01-20T14:27:00-04:00,2026-01-20,14:27,179.7886,185.02,179.65,179.675,168480,0.0632,2.9107,46.05,up,185.02,True,1
trade,2026-01-20T15:34:00-04:00,2026-01-20,15:34,179.16,184.94,179.15,179.185,196659,0.014,3.212,230.2,up,184.94,True,1
