method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
trade,2025-11-19T11:05:00-04:00,2025-11-19,11:05,168.9501,169.07,167.6479,168.8801,84419,0.0414,0.7295,17.6,down,167.6479,True,0
trade,2025-11-19T12:20:00-04:00,2025-11-19,12:20,166.8001,176.97,166.6849,167.01,142192,0.1258,5.9675,47.45,up,176.97,True,9
trade,2025-11-19T15:45:00-04:00,2025-11-19,15:45,163.6583,176.4204,163.6552,163.9768,82061,0.1944,7.596,39.07,up,176.4204,True,9
trade,2025-11-21T13:06:00-04:00,2025-11-21,13:06,154.15,168.5,153.89,154.0658,81497,0.0546,9.3117,170.43,up,168.5,True,4
trade,2025-11-24T11:59:00-04:00,2025-11-24,11:59,160.93,163.345,160.9257,161.25,72775,0.1986,1.3005,6.55,up,163.345,True,0
trade,2025-11-26T10:42:00-04:00,2025-11-26,10:42,166.275,166.42,164.14,166.4115,166556,0.0821,1.2835,15.64,down,164.14,True,0
trade,2025-12-02T14:03:00-04:00,2025-12-02,14:03,170.9988,171.05,156.84,171.04,82625,0.0241,8.2791,343.66,down,156.84,False,
trade,2025-12-04T10:43:00-04:00,2025-12-04,10:43,176.2715,177.0255,163.55,176.64,135406,0.2088,7.2095,34.52,down,163.55,False,
trade,2025-12-04T11:08:00-04:00,2025-12-04,11:08,175.69,175.9529,172.0996,175.8906,80663,0.1141,2.0424,17.9,down,172.0996,False,
trade,2025-12-05T12:50:00-04:00,2025-12-05,12:50,179.6158,179.74,168.8271,179.6829,74545,0.0374,6.0054,160.79,down,168.8271,True,0
trade,2025-12-05T14:41:00-04:00,2025-12-05,14:41,181.31,181.4794,179.1103,181.2578,56586,0.0288,1.1846,41.14,down,179.1103,True,0
trade,2025-12-05T15:07:00-04:00,2025-12-05,15:07,181.3,181.4943,167.33,181.4604,89689,0.0884,7.7021,87.09,down,167.33,False,
trade,2025-12-08T12:03:00-04:00,2025-12-08,12:03,181.6198,182.2146,163.55,181.4472,111533,0.0951,9.8589,103.69,down,163.55,False,
trade,2025-12-10T11:58:00-04:00,2025-12-10,11:58,184.3599,184.8005,163.55,184.2429,98243,0.0635,11.2277,176.86,down,163.55,False,
trade,2025-12-11T10:38:00-04:00,2025-12-11,10:38,182.9,183.5301,170.69,183.3766,173916,0.2602,6.6671,25.62,down,170.69,False,
trade,2025-12-11T11:20:00-04:00,2025-12-11,11:20,183.8,184.1,181.01,184.07,133866,0.1468,1.5168,10.33,down,181.01,True,1
trade,2025-12-15T14:00:00-04:00,2025-12-15,14:00,185.835,185.8699,177.92,185.5888,30051,0.1326,4.1294,31.15,down,177.92,True,2
trade,2025-12-17T14:51:00-04:00,2025-12-17,14:51,178.885,181.56,178.79,179.047,78444,0.0905,1.4042,15.51,up,181.56,True,1
trade,2025-12-22T13:30:00-04:00,2025-12-22,13:30,193.36,195.78,193.17,193.3179,32780,0.0218,1.2517,57.48,up,195.78,True,3
trade,2025-12-29T11:30:00-04:00,2025-12-29,11:30,185.55,186.94,185.4583,185.6629,70598,0.0608,0.6881,11.31,up,186.94,True,0
trade,2025-12-29T11:45:00-04:00,2025-12-29,11:45,185.9461,193.95,185.8701,185.9501,41502,0.0022,4.3022,1999.98,up,193.95,False,
trade,2026-01-05T14:18:00-04:00,2026-01-05,14:18,173.37,194.0842,173.25,173.3158,45165,0.0313,11.9498,382.18,up,194.0842,False,
trade,2026-01-08T12:18:00-04:00,2026-01-08,12:18,178.6773,185.35,178.5,178.73,45104,0.0295,3.7045,125.62,up,185.35,False,
trade,2026-01-09T13:40:00-04:00,2026-01-09,13:40,177.038,193.38,176.8175,176.8484,110998,0.1072,9.2357,86.19,up,193.38,False,
