method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
trade,2025-11-20T12:46:00-04:00,2025-11-20,12:46,600.65,604.57,599.75,599.9921,365110,0.1096,0.653,5.96,up,604.57,True,0
trade,2025-11-20T15:07:00-04:00,2025-11-20,15:07,588.11,607.73,587.79,588.02,212619,0.0153,3.3364,218.0,up,607.73,True,3
trade,2025-11-21T11:52:00-04:00,2025-11-21,11:52,583.7664,599.22,582.88,583.2064,211069,0.096,2.6485,27.6,up,599.22,True,1
trade,2025-11-24T11:59:00-04:00,2025-11-24,11:59,601.2676,601.6705,584.02,601.4888,72998,0.0368,2.868,77.97,down,584.02,False,
trade,2025-11-24T14:32:00-04:00,2025-11-24,14:32,605.128,605.336,593.4252,605.27,69512,0.0235,1.9337,82.41,down,593.4252,True,0
trade,2025-11-24T14:57:00-04:00,2025-11-24,14:57,605.18,605.2189,587.33,605.1301,42265,0.0082,2.9414,356.72,down,587.33,False,
trade,2025-11-26T10:42:00-04:00,2025-11-26,10:42,612.65,612.75,595.53,612.4364,182279,0.0349,2.76,79.15,down,595.53,True,0
trade,2025-11-26T15:51:00-04:00,2025-11-26,15:51,614.875,614.8829,595.28,614.7901,29977,0.0138,3.1732,229.8,down,595.28,False,
trade,2025-12-01T13:33:00-04:00,2025-12-01,13:33,618.35,618.48,603.66,618.407,31018,0.0092,2.3756,257.72,down,603.66,False,
trade,2025-12-02T11:06:00-04:00,2025-12-02,11:06,623.0745,623.14,602.55,622.9501,177618,0.02,3.2744,163.99,down,602.55,False,
trade,2025-12-04T15:48:00-04:00,2025-12-04,15:48,622.19,622.4199,614.615,622.3199,89049,0.0209,1.2173,58.31,down,614.615,True,6
trade,2025-12-05T15:23:00-04:00,2025-12-05,15:23,625.32,625.3599,597.07,625.11,57468,0.0336,4.4849,133.52,down,597.07,False,
trade,2025-12-11T11:14:00-04:00,2025-12-11,11:14,621.6388,622.01,599.68,621.73,139749,0.0147,3.5321,240.78,down,599.68,False,
trade,2025-12-11T12:48:00-04:00,2025-12-11,12:48,621.9,622.1472,605.49,621.5445,224522,0.0572,2.5823,45.16,down,605.49,True,4
trade,2025-12-16T10:45:00-04:00,2025-12-16,10:45,609.07,622.575,607.88,607.9,176763,0.1923,2.2194,11.54,up,622.575,True,6
trade,2025-12-16T12:07:00-04:00,2025-12-16,12:07,610.3899,622,609.61,609.7264,137758,0.1088,1.9031,17.5,up,622,True,5
trade,2025-12-16T13:01:00-04:00,2025-12-16,13:01,610.4725,614.7,610.25,610.7,71566,0.0373,0.6551,17.58,up,614.7,True,3
trade,2025-12-17T13:53:00-04:00,2025-12-17,13:53,603.73,614.9911,603.475,603.57,127242,0.0265,1.8655,70.38,up,614.9911,True,2
trade,2025-12-18T11:10:00-04:00,2025-12-18,11:10,608.71,609.1951,596.1,608.2588,251470,0.0742,1.9982,26.95,down,596.1,False,
trade,2025-12-18T15:35:00-04:00,2025-12-18,15:35,608.88,609.63,604.58,609.15,104222,0.0443,0.7061,15.93,down,604.58,True,0
trade,2025-12-18T15:42:00-04:00,2025-12-18,15:42,609.56,609.57,600.41,609.2,104908,0.0591,1.4424,24.42,down,600.41,False,
trade,2025-12-19T10:38:00-04:00,2025-12-19,10:38,613.31,622.82,613.04,614.06,296319,0.1222,1.4274,11.68,up,622.82,True,3
trade,2025-12-19T12:06:00-04:00,2025-12-19,12:06,615.36,616.01,612.0688,615.9899,512929,0.1023,0.5346,5.22,down,612.0688,True,0
trade,2025-12-19T14:03:00-04:00,2025-12-19,14:03,616.98,617.1,609.11,617.04,44178,0.0097,1.2755,131.17,down,609.11,False,
trade,2025-12-23T15:50:00-04:00,2025-12-23,15:50,621.65,621.67,602.24,621.6,95084,0.008,3.1144,387.2,down,602.24,False,
trade,2026-01-02T12:11:00-04:00,2026-01-02,12:11,612.47,619.44,611.29,611.38,461416,0.1781,1.139,6.39,up,619.44,True,1
trade,2026-01-05T11:10:00-04:00,2026-01-05,11:10,619.37,619.4676,595.93,618.991,106925,0.0612,3.7244,60.85,down,595.93,False,
trade,2026-01-07T12:55:00-04:00,2026-01-07,12:55,626.93,627.1388,620.425,627.0545,86027,0.0199,1.0375,52.25,down,620.425,True,0
trade,2026-01-07T15:20:00-04:00,2026-01-07,15:20,626.005,626.03,602.04,625.77,61392,0.0375,3.7914,100.98,down,602.04,False,
trade,2026-01-13T10:59:00-04:00,2026-01-13,10:59,627.36,627.4564,620.23,627.18,54436,0.0287,1.108,38.61,down,620.23,True,1
trade,2026-01-14T15:15:00-04:00,2026-01-14,15:15,616.45,616.61,611.645,616.525,79830,0.0122,0.7794,64.07,down,611.645,True,3
trade,2026-01-15T11:57:00-04:00,2026-01-15,11:57,624.66,630,624.3001,625.3064,281339,0.1034,0.751,7.26,up,630,True,7
trade,2026-01-15T12:22:00-04:00,2026-01-15,12:22,626.5134,626.55,622.06,626.48,88611,0.0053,0.7055,132.34,down,622.06,True,0
trade,2026-01-15T13:04:00-04:00,2026-01-15,13:04,626.755,626.84,619.03,626.8,58105,0.0072,1.2325,171.67,down,619.03,True,0
trade,2026-01-15T15:01:00-04:00,2026-01-15,15:01,625.38,625.6948,616.14,625.39,52715,0.0016,1.4775,924.0,down,616.14,True,2
trade,2026-01-16T14:05:00-04:00,2026-01-16,14:05,620.89,627,620.7028,621.03,96086,0.0225,0.9614,42.64,up,627,True,5
trade,2026-01-20T10:37:00-04:00,2026-01-20,10:37,611.699,622.36,611.36,611.57,442233,0.0211,1.743,82.64,up,622.36,True,0
trade,2026-01-20T10:44:00-04:00,2026-01-20,10:44,612.03,628.24,610.75,612.7676,291974,0.1204,2.5265,20.98,up,628.24,True,5
trade,2026-01-20T12:03:00-04:00,2026-01-20,12:03,614.1,624.72,613.54,613.85,217866,0.0407,1.7297,42.48,up,624.72,True,0
trade,2026-01-20T12:37:00-04:00,2026-01-20,12:37,614.39,625.4215,614.34,614.64,90666,0.0407,1.7545,43.13,up,625.4215,True,4
trade,2026-01-20T13:15:00-04:00,2026-01-20,13:15,613.41,617.05,613.35,613.6369,126219,0.037,0.5563,15.04,up,617.05,True,0
trade,2026-01-20T15:47:00-04:00,2026-01-20,15:47,608.55,618.18,608.33,608.39,57757,0.0263,1.5827,60.19,up,618.18,True,1
trade,2026-01-21T12:16:00-04:00,2026-01-21,12:16,615.79,619.84,615.79,616.0888,69383,0.0485,0.609,12.55,up,619.84,True,0
trade,2026-01-21T15:15:00-04:00,2026-01-21,15:15,610.781,617.17,610.391,610.55,93920,0.0378,1.0462,27.66,up,617.17,True,0
trade,2026-01-22T12:52:00-04:00,2026-01-22,12:52,621.4276,621.672,615.51,621.5376,115228,0.0177,0.9522,53.8,down,615.51,True,8
trade,2026-01-23T12:20:00-04:00,2026-01-23,12:20,624.895,624.9,611.81,624.6788,66370,0.0346,2.0597,59.52,down,611.81,True,7
trade,2026-01-23T12:46:00-04:00,2026-01-23,12:46,624.2188,624.62,620.76,624.5688,70728,0.0561,0.5539,9.88,down,620.76,True,4
trade,2026-01-27T11:05:00-04:00,2026-01-27,11:05,630.65,630.69,617.99,629.905,273827,0.1182,1.8904,15.99,down,617.99,True,0
trade,2026-01-27T14:41:00-04:00,2026-01-27,14:41,631.325,631.38,616.0579,631.31,33621,0.0024,2.4159,1016.81,down,616.0579,True,5
trade,2026-01-29T12:50:00-04:00,2026-01-29,12:50,622.7088,622.99,613.44,622.7858,204188,0.0124,1.4884,120.37,down,613.44,True,0
trade,2026-01-29T14:10:00-04:00,2026-01-29,14:10,625.33,625.61,622.13,625.54,72691,0.0336,0.5116,15.24,down,622.13,True,0
trade,2026-01-29T14:36:00-04:00,2026-01-29,14:36,625.77,625.8973,610.53,625.859,86388,0.0142,2.4352,171.24,down,610.53,True,4
trade,2026-02-02T13:05:00-04:00,2026-02-02,13:05,627.79,627.81,622.11,627.6888,123422,0.0161,0.8887,55.13,down,622.11,True,1
trade,2026-02-04T12:30:00-04:00,2026-02-04,12:30,608.9,612.3,607.98,608.1276,157478,0.1269,0.5587,4.4,up,612.3,True,0
trade,2026-02-04T13:22:00-04:00,2026-02-04,13:22,605.59,614.96,604.87,604.8955,100251,0.1147,1.5481,13.49,up,614.96,True,0
trade,2026-02-04T13:27:00-04:00,2026-02-04,13:27,604.63,604.7715,600,603.71,733121,0.1523,0.6141,4.03,down,600,True,1
trade,2026-02-04T14:54:00-04:00,2026-02-04,14:54,603.01,621.48,602.3883,603.39,152113,0.063,2.999,47.61,up,621.48,False,
trade,2026-02-05T12:11:00-04:00,2026-02-05,12:11,595.67,616.33,595.3345,595.43,176599,0.0403,3.4691,86.08,up,616.33,True,0
trade,2026-02-05T13:53:00-04:00,2026-02-05,13:53,601.15,614.87,601.1429,601.4936,109559,0.0571,2.2245,38.93,up,614.87,True,0
trade,2026-02-05T14:23:00-04:00,2026-02-05,14:23,599.19,626.165,598.76,599.06,145049,0.0217,4.5024,207.5,up,626.165,False,
trade,2026-02-05T14:27:00-04:00,2026-02-05,14:27,599.5401,599.85,596.1969,599.42,105336,0.02,0.5376,26.84,down,596.1969,True,7
