method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
trade,2025-11-19T15:44:00-04:00,2025-11-19,15:44,144.7398,153.2477,144.56,144.585,15741,0.107,5.8812,54.96,up,153.2477,True,1
trade,2025-11-20T13:40:00-04:00,2025-11-20,13:40,146.23,153.66,145.83,146.255,29704,0.0171,5.0635,296.2,up,153.66,True,0
trade,2025-11-20T14:27:00-04:00,2025-11-20,14:27,147.43,161.28,147.37,147.58,11886,0.1017,9.2878,91.33,up,161.28,True,9
trade,2025-11-25T13:26:00-04:00,2025-11-25,13:26,157.05,158.666,156.6932,157.0316,10018,0.0117,1.029,87.83,up,158.666,True,1
trade,2025-11-26T11:48:00-04:00,2025-11-26,11:48,158.47,158.6924,143.8985,158.595,7254,0.0788,9.1915,116.57,down,143.8985,False,
trade,2025-12-08T12:03:00-04:00,2025-12-08,12:03,159.16,159.5984,157.37,159.15,17358,0.0063,1.1184,178.0,down,157.37,True,0
trade,2025-12-10T12:01:00-04:00,2025-12-10,12:01,159.81,159.8885,157.37,159.735,4340,0.0469,1.4802,31.53,down,157.37,True,0
trade,2025-12-15T10:51:00-04:00,2025-12-15,10:51,165.53,165.89,159.34,165.66,18532,0.0785,3.738,47.62,down,159.34,True,1
trade,2025-12-18T14:04:00-04:00,2025-12-18,14:04,166.64,166.8734,161.55,166.69,2518,0.03,3.054,101.8,down,161.55,True,8
trade,2025-12-23T14:40:00-04:00,2025-12-23,14:40,168.33,168.3973,153.9606,168.358,1413,0.0166,8.5357,513.19,down,153.9606,False,
trade,2025-12-29T11:30:00-04:00,2025-12-29,11:30,168.03,169.84,167.71,167.8098,48311,0.1311,1.0779,8.22,up,169.84,True,10
trade,2026-01-14T15:21:00-04:00,2026-01-14,15:21,157.16,167.0653,157.04,157.1672,6264,0.0046,6.298,1374.74,up,167.0653,False,
trade,2026-01-14T15:50:00-04:00,2026-01-14,15:50,156.85,166.0975,156.85,157.065,9384,0.137,5.7547,42.01,up,166.0975,False,
trade,2026-01-20T14:28:00-04:00,2026-01-20,14:28,147.01,150.47,146.97,147.03,5307,0.0136,2.3398,172.0,up,150.47,False,
trade,2026-01-22T15:01:00-04:00,2026-01-22,15:01,138.1025,159.85,138.03,138.17,8587,0.0489,15.6946,321.19,up,159.85,False,
trade,2026-01-28T15:25:00-04:00,2026-01-28,15:25,140.44,140.515,136.14,140.515,23960,0.0534,3.061,57.33,down,136.14,True,2
trade,2026-02-04T14:16:00-04:00,2026-02-04,14:16,111.33,130.92,111.21,111.295,13919,0.0314,17.5991,559.71,up,130.92,True,5
trade,2026-02-24T11:14:00-04:00,2026-02-24,11:14,117.815,118.04,111.24,117.875,13298,0.0509,5.5794,109.58,down,111.24,False,
trade,2026-02-25T13:02:00-04:00,2026-02-25,13:02,120.2763,121.5253,120.2763,120.3404,11098,0.0533,0.9849,18.49,up,121.5253,True,1
trade,2026-02-26T13:23:00-04:00,2026-02-26,13:23,123.6245,123.83,120.32,123.78,12708,0.1257,2.6713,21.25,down,120.32,True,1
trade,2026-03-02T14:54:00-04:00,2026-03-02,14:54,118.7757,118.88,113.211,118.705,6993,0.0595,4.6269,77.71,down,113.211,True,1
trade,2026-03-02T15:48:00-04:00,2026-03-02,15:48,118.6868,121.64,118.659,118.85,4471,0.1374,2.3491,17.1,up,121.64,True,1
trade,2026-03-04T14:57:00-04:00,2026-03-04,14:57,129.265,129.5885,128.495,129.39,17244,0.0967,0.5954,6.16,down,128.495,True,1
trade,2026-03-10T09:52:00-04:00,2026-03-10,09:52,131.9322,132.46,125.94,132.035,45706,0.0779,4.5401,58.29,down,125.94,True,2
trade,2026-03-11T15:28:00-04:00,2026-03-11,15:28,128.49,133.4212,128.4763,128.55,8899,0.0467,3.7902,81.19,up,133.4212,False,
trade,2026-03-13T12:03:00-04:00,2026-03-13,12:03,122.685,127.6871,122.44,122.68,8178,0.0041,4.0773,1000.42,up,127.6871,True,2
trade,2026-03-13T13:14:00-04:00,2026-03-13,13:14,122.57,122.7213,119.38,122.6125,2025,0.0347,2.6021,75.06,down,119.38,True,0
trade,2026-03-13T13:49:00-04:00,2026-03-13,13:49,122.09,122.2259,118.7737,121.8,17274,0.2378,2.4817,10.44,down,118.7737,True,5
trade,2026-03-17T14:50:00-04:00,2026-03-17,14:50,128.745,128.745,125.665,128.62,6490,0.0971,2.2963,23.64,down,125.665,True,1
trade,2026-03-20T11:27:00-04:00,2026-03-20,11:27,119.15,127.1856,119.03,119.08,9755,0.0588,6.7461,114.79,up,127.1856,False,
trade,2026-03-24T11:02:00-04:00,2026-03-24,11:02,116.45,129.3633,115.9446,116.585,21697,0.1159,10.9669,94.65,up,129.3633,False,
trade,2026-03-24T14:08:00-04:00,2026-03-24,14:08,115.59,126.3984,115.54,115.645,15245,0.0476,9.3008,195.52,up,126.3984,True,10
trade,2026-03-24T14:54:00-04:00,2026-03-24,14:54,117.05,117.9049,116.97,117.24,7478,0.1622,0.5676,3.5,up,117.9049,True,1
trade,2026-03-26T10:28:00-04:00,2026-03-26,10:28,119.61,119.7499,117.51,119.56,4521,0.0418,1.7143,41.0,down,117.51,True,0
trade,2026-03-27T13:14:00-04:00,2026-03-27,13:14,111.83,124.9104,111.8006,111.99,6723,0.143,11.5453,80.75,up,124.9104,True,7
trade,2026-03-27T15:18:00-04:00,2026-03-27,15:18,111.3,117.41,111.0909,111.36,4782,0.0539,5.4343,100.83,up,117.41,True,2
trade,2026-03-27T15:37:00-04:00,2026-03-27,15:37,111.64,116.15,111.64,111.7215,17754,0.073,3.9653,54.34,up,116.15,True,2
trade,2026-03-30T15:19:00-04:00,2026-03-30,15:19,110.89,116.3568,110.84,110.96,6006,0.0631,4.8653,77.1,up,116.3568,True,1
trade,2026-04-01T15:13:00-04:00,2026-04-01,15:13,117.97,118.1,117.29,118.08,15877,0.0932,0.5761,6.18,down,117.29,True,1
trade,2026-04-02T12:50:00-04:00,2026-04-02,12:50,118.71,124.9104,118.71,118.7501,6651,0.0338,5.1885,153.62,up,124.9104,True,3
trade,2026-04-02T14:47:00-04:00,2026-04-02,14:47,118.39,118.45,116.15,118.41,15025,0.0169,1.8919,112.0,down,116.15,True,2
trade,2026-04-07T12:03:00-04:00,2026-04-07,12:03,116,116.71,115.5812,116.02,42599,0.0172,0.5948,34.5,up,116.71,True,0
trade,2026-04-08T11:15:00-04:00,2026-04-08,11:15,123.59,129.65,110.66,123.69,7274,0.0809,4.8204,59.6,up,129.65,True,6
trade,2026-04-08T11:15:00-04:00,2026-04-08,11:15,123.59,129.65,110.66,123.69,7274,0.0809,10.4578,129.3,down,110.66,True,2
trade,2026-04-09T12:55:00-04:00,2026-04-09,12:55,113.29,129.5724,113.14,113.143,14065,0.1298,14.3816,110.76,up,129.5724,True,5
trade,2026-04-10T14:09:00-04:00,2026-04-10,14:09,109.3507,119.73,109.2507,109.33,8637,0.0189,9.4927,501.42,up,119.73,True,3
trade,2026-04-10T15:08:00-04:00,2026-04-10,15:08,109.85,118.42,109.6748,109.92,11630,0.0637,7.7354,121.43,up,118.42,True,2
trade,2026-04-13T15:39:00-04:00,2026-04-13,15:39,114.345,118.52,114.31,114.3456,8278,0.0005,3.6507,6957.33,up,118.52,True,1
trade,2026-04-15T13:15:00-04:00,2026-04-15,13:15,126.12,126.24,123.51,126.152,8230,0.0254,2.0692,81.56,down,123.51,True,6
trade,2026-04-21T14:35:00-04:00,2026-04-21,14:35,132.3195,132.3493,122.37,132.13,6419,0.1433,7.3814,51.5,down,122.37,True,0
