method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
trade,2025-12-04T11:19:00-04:00,2025-12-04,11:19,51.6057,51.6658,50.52,51.6445,133442,0.0752,2.103,27.98,down,50.52,False,
trade,2025-12-10T11:56:00-04:00,2025-12-10,11:56,54.82,54.85,53.39,54.85,52173,0.0547,2.6078,47.67,down,53.39,False,
trade,2025-12-15T12:27:00-04:00,2025-12-15,12:27,57.4002,57.4218,52.71,57.4098,65973,0.0167,8.1704,488.56,down,52.71,False,
trade,2025-12-15T15:39:00-04:00,2025-12-15,15:39,58.023,58.06,56.79,58.0486,124871,0.0441,2.1246,48.16,down,56.79,False,
trade,2025-12-17T11:54:00-04:00,2025-12-17,11:54,59.37,59.519,57.61,59.41,170937,0.0674,2.9635,44.0,down,57.61,False,
trade,2025-12-22T10:39:00-04:00,2025-12-22,10:39,62.46,62.48,59.79,62.415,301475,0.0721,4.2042,58.33,down,59.79,False,
trade,2025-12-26T10:58:00-04:00,2025-12-26,10:58,68.13,68.67,68.11,68.225,2434083,0.1393,0.6527,4.68,up,68.67,True,0
trade,2025-12-26T14:35:00-04:00,2025-12-26,14:35,69.655,69.67,64.3351,69.6397,103279,0.022,7.6164,346.71,down,64.3351,True,1
trade,2025-12-29T11:30:00-04:00,2025-12-29,11:30,64.386,65.7,64.32,64.46,359077,0.1149,1.9248,16.76,up,65.7,True,0
trade,2025-12-29T11:38:00-04:00,2025-12-29,11:38,64.785,65.94,64.63,64.635,189538,0.2318,1.7849,7.7,up,65.94,True,1
trade,2025-12-30T13:54:00-04:00,2025-12-30,13:54,70.29,70.35,69.19,70.33,166977,0.0569,1.5645,27.5,down,69.19,True,0
trade,2026-01-02T12:57:00-04:00,2026-01-02,12:57,65.2101,69.08,65.2,65.29,131459,0.1225,5.8084,47.43,up,69.08,True,1
trade,2026-01-02T14:04:00-04:00,2026-01-02,14:04,65.22,66.475,65.1899,65.2062,42545,0.0212,1.9245,90.94,up,66.475,True,1
trade,2026-01-06T10:40:00-04:00,2026-01-06,10:40,71.98,72.2,69.07,72.195,430011,0.2982,4.0368,13.53,down,69.07,True,2
trade,2026-01-06T13:46:00-04:00,2026-01-06,13:46,73.2486,73.38,71.41,73.3386,339764,0.1228,2.5085,20.43,down,71.41,True,1
trade,2026-01-12T12:08:00-04:00,2026-01-12,12:08,77.53,77.56,76.12,77.4888,202880,0.0532,1.766,33.22,down,76.12,False,
trade,2026-01-12T13:58:00-04:00,2026-01-12,13:58,77.93,78.0184,76.143,77.9299,118856,0.0001,2.293,17869.0,down,76.143,False,
trade,2026-01-14T13:43:00-04:00,2026-01-14,13:43,81.46,81.55,77.61,81.49,585982,0.0368,4.7254,128.33,down,77.61,False,
trade,2026-01-14T14:59:00-04:00,2026-01-14,14:59,83.5226,83.7,81.47,83.67,672609,0.1763,2.4554,13.93,down,81.47,True,1
trade,2026-01-15T13:46:00-04:00,2026-01-15,13:46,83.105,83.29,79.72,83.265,359460,0.1923,4.0692,21.16,down,79.72,True,1
trade,2026-01-20T10:40:00-04:00,2026-01-20,10:40,85.785,85.95,80.33,85.8499,590380,0.0756,6.3565,84.05,down,80.33,True,8
trade,2026-01-21T13:38:00-04:00,2026-01-21,13:38,84.08,85.06,84.03,84.13,179769,0.0594,1.1058,18.6,up,85.06,True,1
trade,2026-01-22T14:55:00-04:00,2026-01-22,14:55,87.2998,87.39,86.758,87.3188,188837,0.0218,0.6206,28.52,down,86.758,True,0
trade,2026-01-23T15:00:00-04:00,2026-01-23,15:00,91.35,91.4393,90.18,91.39,146860,0.0438,1.2805,29.25,down,90.18,True,5
trade,2026-01-26T11:06:00-04:00,2026-01-26,11:06,100.8633,101.25,99.45,101.16,1079982,0.2937,1.3991,4.76,down,99.45,True,0
trade,2026-01-26T14:12:00-04:00,2026-01-26,14:12,104.4301,104.72,99.5,104.5472,1381373,0.1121,4.7183,42.1,down,99.5,True,0
trade,2026-01-27T13:57:00-04:00,2026-01-27,13:57,96.97,97.4808,96.8694,96.9,200420,0.0722,0.527,7.3,up,97.4808,True,0
trade,2026-01-27T15:15:00-04:00,2026-01-27,15:15,97.765,99.46,97.623,97.8744,163322,0.1118,1.6209,14.49,up,99.46,True,1
trade,2026-01-30T14:41:00-04:00,2026-01-30,14:41,70,70.548,69.12,70.2821,3027623,0.4022,1.2546,3.12,down,69.12,True,1
trade,2026-02-02T11:49:00-04:00,2026-02-02,11:49,69.4714,73.52,69.31,69.46,728572,0.0164,5.8282,355.14,up,73.52,True,0
