method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
trade,2026-04-20T14:31:00-04:00,2026-04-20,14:31,392.61,392.8478,363.79,392.6188,82124,0.0022,7.3405,3275.0,down,363.79,True,0
trade,2026-04-20T15:22:00-04:00,2026-04-20,15:22,392.17,392.27,346.14,391.96,91955,0.0536,11.6868,218.19,down,346.14,False,
trade,2026-04-21T12:13:00-04:00,2026-04-21,12:13,389.6701,408.65,389.5301,389.8788,52950,0.0535,4.8159,89.94,up,408.65,False,
trade,2026-04-21T14:14:00-04:00,2026-04-21,14:14,389.24,389.55,348.036,389.45,84577,0.0539,10.5829,196.21,down,348.036,False,
trade,2026-04-21T14:35:00-04:00,2026-04-21,14:35,389.64,389.67,380.3,389.435,50969,0.0526,2.3451,44.56,down,380.3,True,0
trade,2026-04-21T15:16:00-04:00,2026-04-21,15:16,388.87,392.5,388.7958,389.215,79042,0.0887,0.8444,9.52,up,392.5,True,1
trade,2026-04-21T15:23:00-04:00,2026-04-21,15:23,389.87,390.18,351.9532,390.02,55648,0.0385,9.7236,252.78,down,351.9532,False,
trade,2026-04-22T11:22:00-04:00,2026-04-22,11:22,390.5258,390.8143,346.27,390.5958,67357,0.0179,11.3313,632.23,down,346.27,False,
trade,2026-04-22T12:04:00-04:00,2026-04-22,12:04,390.935,391.12,378.69,391.025,57097,0.023,3.1319,136.06,down,378.69,True,1
trade,2026-04-22T12:40:00-04:00,2026-04-22,12:40,390.25,390.2853,379.5025,390.0388,72165,0.0541,2.7006,49.89,down,379.5025,True,1
trade,2026-04-22T15:16:00-04:00,2026-04-22,15:16,388.5396,388.76,386.42,388.4825,102124,0.0147,0.5309,36.12,down,386.42,True,0
trade,2026-04-22T15:27:00-04:00,2026-04-22,15:27,389.25,389.35,380.85,389.285,102343,0.009,2.1579,240.0,down,380.85,True,1
trade,2026-04-23T10:27:00-04:00,2026-04-23,10:27,369.18,369.6358,360.59,368.8773,328459,0.082,2.2457,27.38,down,360.59,False,
trade,2026-04-23T11:28:00-04:00,2026-04-23,11:28,378.2088,388.77,377.4095,377.51,134039,0.1849,2.795,15.11,up,388.77,True,0
trade,2026-04-23T11:53:00-04:00,2026-04-23,11:53,379.672,379.79,374.9784,379.475,191349,0.0519,1.1846,22.83,down,374.9784,True,0
trade,2026-04-23T13:37:00-04:00,2026-04-23,13:37,373.1799,391.2,372.7501,373.15,142934,0.008,4.829,602.68,up,391.2,True,6
trade,2026-04-23T15:16:00-04:00,2026-04-23,15:16,373.795,387.51,373.5999,373.985,92647,0.0508,3.6174,71.18,up,387.51,True,6
trade,2026-04-24T11:12:00-04:00,2026-04-24,11:12,375.6629,391.95,375.38,375.525,81446,0.0367,4.3364,118.11,up,391.95,True,5
trade,2026-04-24T12:02:00-04:00,2026-04-24,12:02,373.9,374.67,345.6796,374.63,86788,0.195,7.5402,38.66,down,345.6796,False,
trade,2026-04-24T15:16:00-04:00,2026-04-24,15:16,376.525,376.67,373.72,376.64,76372,0.0305,0.7449,24.39,down,373.72,True,1
trade,2026-04-27T12:18:00-04:00,2026-04-27,12:18,371.735,371.77,364.2,371.52,96974,0.0579,1.9697,34.05,down,364.2,False,
trade,2026-04-27T13:36:00-04:00,2026-04-27,13:36,378.93,379.3528,368.87,378.935,147714,0.0013,2.6548,2012.0,down,368.87,True,3
trade,2026-04-27T14:22:00-04:00,2026-04-27,14:22,379.83,379.99,373.9,379.92,37996,0.0237,1.561,65.89,down,373.9,True,1
trade,2026-04-27T14:24:00-04:00,2026-04-27,14:24,379.65,399.27,379.43,380,147648,0.0921,5.0734,55.06,up,399.27,True,6
trade,2026-04-27T15:16:00-04:00,2026-04-27,15:16,379.5594,379.7,376.3,379.48,117744,0.0209,0.8379,40.05,down,376.3,True,1
trade,2026-04-28T12:27:00-04:00,2026-04-28,12:27,375.565,375.676,346.2962,375.05,84848,0.1372,7.6614,55.83,down,346.2962,False,
trade,2026-04-28T14:08:00-04:00,2026-04-28,14:08,375.76,387.6713,375.69,375.9119,26408,0.0404,3.1289,77.42,up,387.6713,True,3
trade,2026-04-29T10:45:00-04:00,2026-04-29,10:45,373.08,386.42,372.5178,373.15,138822,0.0188,3.5565,189.57,up,386.42,True,2
trade,2026-04-29T10:47:00-04:00,2026-04-29,10:47,373.3487,373.46,360.59,373.2313,98161,0.0315,3.3865,107.68,down,360.59,True,0
trade,2026-04-29T11:40:00-04:00,2026-04-29,11:40,373.1315,373.8225,343.25,372.7129,98014,0.1122,7.9005,70.38,down,343.25,False,
trade,2026-04-29T12:41:00-04:00,2026-04-29,12:41,371.57,375.35,371.1885,371.4752,46871,0.0255,1.0174,39.87,up,375.35,True,0
trade,2026-04-29T15:29:00-04:00,2026-04-29,15:29,373.8,374.1317,343.8627,373.91,80850,0.0294,8.0077,272.16,down,343.8627,False,
trade,2026-04-30T09:35:00-04:00,2026-04-30,09:35,370.58,371.2355,345.62,371.095,197655,0.1389,6.7307,48.47,down,345.62,False,
trade,2026-04-30T13:54:00-04:00,2026-04-30,13:54,379.18,386.42,378.9489,379,30064,0.0475,1.9098,40.22,up,386.42,True,1
trade,2026-04-30T15:18:00-04:00,2026-04-30,15:18,383.27,383.5539,372.8,383.3602,60211,0.0235,2.7314,116.08,down,372.8,False,
