date,time_et,session,direction,open,high,low,close,volume,trade_count,wick_len,body_len,wick_pct,extreme,prints_at_extreme,prints_at_extreme_size,max_extreme_lag_ms,all_dark,repeat_level,verdict
2024-12-02,13:35,rth,down,514.92,515.3,509.6825,515.29,392490,1008,5.2375,0.37,1.016,509.6825,2,206182,5,True,False,GHOST
2024-12-04,08:00,pre,down,520.4,520.56,516.87,520.26,52606,126,3.39,0.14,0.652,516.87,84,1887,3248221,True,False,not_pbar
2024-12-04,10:15,rth,down,520.99,521.06,516.9723,521.045,793082,1492,4.0177,0.055,0.771,516.9723,1,103050,3,True,False,GHOST
2024-12-04,13:05,rth,down,521.945,522.01,516.9723,521.91,166466,256,4.9377,0.035,0.946,516.9723,1,120000,33,True,True,GHOST
2024-12-04,13:15,rth,down,521.86,522.0,516.9723,521.78,159818,296,4.8077,0.08,0.921,516.9723,1,103050,5,True,True,GHOST
2024-12-04,15:05,rth,down,522.605,522.79,516.9723,522.755,279370,667,5.6327,0.15,1.078,516.9723,1,103060,3,True,True,GHOST
2024-12-04,15:30,rth,down,522.81,523.07,516.9723,522.93,450873,756,5.8377,0.12,1.116,516.9723,2,309149,4,True,True,GHOST
2024-12-04,15:55,rth,down,523.3,523.45,516.9723,523.25,1478620,6438,6.2777,0.05,1.2,516.9723,1,206099,5,True,True,GHOST
2024-12-06,11:00,rth,down,525.57,525.72,521.8415,525.61,279604,697,3.7285,0.04,0.709,521.8415,1,123589,4,True,False,GHOST
2024-12-06,13:40,rth,down,526.17,526.2993,521.8415,526.13,311844,588,4.2885,0.04,0.815,521.8415,1,205981,4,True,True,GHOST
2024-12-06,14:10,rth,down,525.871,525.875,521.8415,525.75,368319,676,3.9085,0.121,0.743,521.8415,2,205980,3,True,True,GHOST
2024-12-06,15:40,rth,down,526.19,526.4356,521.8415,526.31,457922,1054,4.3485,0.12,0.826,521.8415,2,205980,5,True,True,GHOST
2024-12-06,15:55,rth,down,526.3,526.625,521.8415,526.51,2183939,8429,4.4585,0.21,0.847,521.8415,3,308950,4,True,True,GHOST
2024-12-09,11:20,rth,up,522.44,526.6688,522.44,522.9375,359705,1037,3.7313,0.4975,0.714,526.6688,1,102970,4,True,False,GHOST
2024-12-09,15:25,rth,up,521.54,526.6688,521.33,521.415,250041,644,5.1288,0.125,0.984,526.6688,1,102970,2,True,True,GHOST
2024-12-09,15:55,rth,up,521.84,526.6688,521.69,522.36,1197579,4276,4.3088,0.52,0.825,526.6688,2,205940,3,True,True,GHOST
2024-12-11,10:05,rth,down,527.45,528.24,520.4959,528.227,686755,2185,6.9541,0.777,1.316,520.4959,2,205900,4,True,False,GHOST
2024-12-11,10:10,rth,down,528.2101,528.5,520.4959,528.48,538017,1443,7.7142,0.2699,1.46,520.4959,2,205920,5,True,True,GHOST
2024-12-11,10:15,rth,down,528.47,528.52,520.4959,527.96,442862,1183,7.4641,0.51,1.414,520.4959,1,102960,5,True,True,GHOST
2024-12-11,10:20,rth,down,527.93,528.05,520.4959,527.67,480169,1435,7.1741,0.26,1.36,520.4959,1,102960,5,True,True,GHOST
2024-12-11,10:35,rth,down,528.3,528.33,520.4959,528.2,323623,782,7.7041,0.1,1.459,520.4959,1,102950,5,True,True,GHOST
2024-12-11,11:10,rth,down,528.17,528.6601,520.4959,528.66,515216,1345,7.6741,0.49,1.452,520.4959,1,102960,4,True,True,GHOST
2024-12-11,15:05,rth,down,530.15,530.32,520.4959,530.27,392862,1125,9.6541,0.12,1.821,520.4959,1,102960,4,True,True,GHOST
2024-12-11,15:15,rth,down,530.42,530.61,520.4959,530.48,584936,1694,9.9241,0.06,1.871,520.4959,1,102960,3,True,True,GHOST
2024-12-11,15:20,rth,down,530.49,530.53,520.4959,530.4007,308796,1068,9.9048,0.0893,1.867,520.4959,2,102961,711,True,True,GHOST
2024-12-11,15:30,rth,down,530.5001,530.5001,520.4959,530.34,632737,1645,9.8441,0.1601,1.856,520.4959,1,325000,33,True,True,GHOST
2024-12-11,15:35,rth,down,530.35,530.775,520.4959,530.41,616312,1767,9.8541,0.06,1.858,520.4959,1,102950,5,True,True,GHOST
2024-12-11,15:55,rth,down,529.93,530.12,520.4959,529.94,1794626,8521,9.4341,0.01,1.78,520.4959,1,205899,4,True,True,GHOST
2024-12-11,16:10,post,down,529.15,529.92,520.6,529.37,57046,150,8.55,0.22,1.615,520.6,2,105450,3,True,False,PBAR
2024-12-12,09:50,rth,up,527.1,530.1216,526.82,527.105,462991,706,3.0166,0.005,0.572,530.1216,3,308768,6,True,False,GHOST
2024-12-12,10:05,rth,up,527.42,530.1216,526.55,526.65,371272,1089,2.7016,0.77,0.513,530.1216,1,102916,4,True,True,GHOST
2024-12-12,15:25,rth,up,526.818,530.1216,526.63,526.7299,284937,604,3.3036,0.0881,0.627,530.1216,1,102916,4,True,True,GHOST
2024-12-12,15:35,rth,up,527.15,530.1216,526.91,526.9998,385819,577,2.9716,0.1502,0.564,530.1216,1,102916,3,True,True,GHOST
2024-12-12,15:45,rth,up,527.01,530.1216,526.99,527.1,335510,995,3.0216,0.09,0.573,530.1216,1,102916,5,True,True,GHOST
2024-12-12,15:50,rth,up,527.11,530.1216,526.95,527.0,476089,2131,3.0116,0.11,0.571,530.1216,1,102916,2,True,True,GHOST
2024-12-13,10:25,rth,down,531.42,531.42,526.5536,530.63,456873,996,4.0764,0.79,0.768,526.5536,1,102867,2,True,False,GHOST
2024-12-13,10:35,rth,down,530.81,530.99,526.5536,530.39,257390,613,3.8364,0.42,0.723,526.5536,1,102867,2,True,True,GHOST
2024-12-13,10:40,rth,down,530.4,530.44,526.5536,529.215,913363,2366,2.6614,1.185,0.503,526.5536,1,411469,5,True,True,GHOST
2024-12-13,12:20,rth,up,528.81,531.8,526.5536,528.39,344388,442,2.99,0.42,0.566,531.8,1,52500,7845824,True,True,GHOST
2024-12-13,14:40,rth,down,530.69,530.8161,526.5536,530.62,325084,702,4.0664,0.07,0.766,526.5536,2,205734,5,True,True,GHOST
2024-12-13,14:50,rth,down,530.6999,530.6999,526.5536,530.63,320760,536,4.0764,0.0699,0.768,526.5536,2,205734,3,True,True,GHOST
2024-12-13,14:55,rth,down,530.62,530.6999,526.5536,530.5999,381208,578,4.0463,0.0201,0.763,526.5536,2,205736,48,True,True,GHOST
2024-12-13,15:00,rth,down,530.6,530.74,526.5536,530.68,317749,637,4.0464,0.08,0.762,526.5536,1,102867,3,True,True,GHOST
2024-12-13,15:15,rth,down,530.6,530.6,526.5536,530.2,297499,900,3.6464,0.4,0.688,526.5536,1,102867,4,True,True,GHOST
2024-12-13,15:35,rth,down,531.1,531.12,526.5536,530.93,579398,879,4.3764,0.17,0.824,526.5536,3,411469,4,True,True,GHOST
2024-12-13,15:40,rth,down,530.93,530.94,526.5536,530.4502,335349,904,3.8966,0.4798,0.735,526.5536,2,123448,1746,True,True,GHOST
2024-12-13,15:50,rth,down,530.77,530.8,526.5536,530.4,696256,1944,3.8464,0.37,0.725,526.5536,2,308602,4,True,True,GHOST
2024-12-16,11:05,rth,up,535.91,552.97,535.88,536.18,262775,1266,16.79,0.27,3.131,552.97,1,34000,2,True,False,GHOST
