date,time_et,session,direction,open,high,low,close,volume,trade_count,wick_len,body_len,wick_pct,extreme,prints_at_extreme,prints_at_extreme_size,max_extreme_lag_ms,all_dark,repeat_level,verdict
2025-06-05,11:15,rth,down,531.6,532.7,528.8751,532.535,728267,3804,2.7249,0.935,0.512,528.8751,1,102984,4,True,True,GHOST
2025-06-05,11:25,rth,down,532.6507,532.94,528.8751,532.7893,622723,2519,3.7756,0.1386,0.709,528.8751,2,205968,3,True,True,GHOST
2025-06-05,11:35,rth,down,532.58,532.72,528.8751,532.63,336712,1474,3.7049,0.05,0.696,528.8751,1,102984,4,True,True,GHOST
2025-06-05,15:55,rth,up,524.67,528.8751,524.135,524.7,2377976,10376,4.1751,0.03,0.796,528.8751,4,514920,4,True,True,GHOST
2025-06-06,09:45,rth,down,531.06,531.62,524.701,531.48,952328,4734,6.359,0.42,1.196,524.701,2,205906,5,True,False,GHOST
2025-06-06,09:55,rth,down,531.02,531.12,524.701,531.0209,950176,4072,6.319,0.0009,1.19,524.701,1,102953,4,True,True,GHOST
2025-06-06,10:00,rth,down,531.07,531.33,524.701,530.53,563891,3058,5.829,0.54,1.099,524.701,1,123544,4,True,True,GHOST
2025-06-06,14:30,rth,down,531.14,531.8,524.701,531.5917,616316,3873,6.439,0.4517,1.211,524.701,1,102953,4,True,True,GHOST
2025-06-06,15:55,rth,down,530.57,530.6,524.701,529.84,1701818,9099,5.139,0.73,0.97,524.701,2,205906,3,True,True,GHOST
2025-06-09,11:00,rth,down,531.22,531.57,526.39,531.5,437621,1868,4.83,0.28,0.909,526.39,1,2800,5,True,False,GHOST
2025-06-10,15:10,rth,down,534.59,534.82,530.8169,534.59,989782,3366,3.7731,0.0,0.706,530.8169,2,205846,4,True,True,GHOST
2025-06-10,15:50,rth,down,533.51,533.895,530.8169,533.72,992444,5047,2.6931,0.21,0.505,530.8169,1,102923,12,True,True,GHOST
2025-06-11,15:15,rth,down,531.87,531.99,528.03,531.18,327435,2184,3.15,0.69,0.593,528.03,1,100,3,True,False,GHOST
2025-06-13,08:00,pre,down,527.18,528.14,523.88,527.42,199198,575,3.3,0.24,0.626,523.88,14,871,27721285,True,False,GHOST
2025-06-13,11:10,rth,up,529.47,533.6843,529.0,529.65,467373,2356,4.0343,0.18,0.762,533.6843,1,102860,3,True,False,GHOST
