date,time_et,session,direction,open,high,low,close,volume,trade_count,wick_len,body_len,wick_pct,extreme,prints_at_extreme,prints_at_extreme_size,max_extreme_lag_ms,all_dark,repeat_level,verdict
2024-12-11,16:10,post,down,607.46,607.46,602.8,607.11,1079219,269,4.31,0.35,0.71,602.8,1,2500,1,True,False,PBAR
2024-12-19,08:05,pre,down,591.26,591.27,586.33,590.89,199377,110,4.56,0.37,0.772,586.33,12,169831,3855860,True,True,GHOST
2024-12-19,08:15,pre,down,591.39,591.5,586.28,591.3,37857,74,5.02,0.09,0.849,586.28,9,598,4912,True,True,GHOST
2024-12-20,08:00,pre,up,579.36,583.82,577.7493,579.8,131308,362,4.02,0.44,0.693,583.82,149,478,21571231,True,False,not_pbar
2024-12-20,11:10,rth,down,590.46,591.065,581.5183,591.05,1510038,3316,8.9417,0.59,1.513,581.5183,26,7754500,326,True,True,not_pbar
2024-12-30,08:00,pre,up,589.41,593.95,588.81,589.5501,82821,257,4.3999,0.1401,0.746,593.95,88,1225,28674869,True,False,not_pbar
2025-01-02,08:45,pre,down,591.16,591.16,586.08,590.83,6810,26,4.75,0.33,0.804,586.08,3,810,525,True,True,PBAR
2025-01-02,12:45,rth,up,582.2735,587.4,581.31,581.32,476819,2671,5.1265,0.9535,0.882,587.4,1,12000,0,True,True,GHOST
2025-01-06,08:00,pre,down,596.23,596.88,591.89,596.57,74385,217,4.34,0.34,0.727,591.89,16,1319,28761678,True,False,GHOST
2025-01-07,13:40,rth,up,591.44,595.2308,590.73,590.955,778729,882,3.7908,0.485,0.641,595.2308,2,752632,2,True,True,GHOST
2025-01-10,10:05,rth,up,580.16,584.028,579.43,579.74,1245410,6734,3.868,0.42,0.667,584.028,2,140821,47,True,True,GHOST
2025-01-14,13:50,rth,down,583.335,583.63,580.356,583.6,441260,1870,2.979,0.265,0.51,580.356,1,5575,2,True,True,PBAR
2025-01-27,08:00,pre,up,593.69,602.3,592.2104,595.15,194452,755,7.15,1.46,1.201,602.3,70,1701,28837292,True,False,not_pbar
2025-01-27,08:25,pre,down,595.9,596.34,590.5251,596.21,58547,239,5.3749,0.31,0.902,590.5251,1,5000,2,True,True,PBAR
2025-02-03,04:00,pre,down,593.91,594.6,590.36,593.56,85725,184,3.2,0.35,0.539,590.36,13,286,23,True,False,PBAR
2025-02-03,08:00,pre,up,592.9,601.82,589.5,589.5,276288,529,8.92,3.4,1.513,601.82,66,188,3192058,True,False,not_pbar
2025-02-03,08:30,pre,down,592.98,593.32,589.5,592.81,93494,65,3.31,0.17,0.558,589.5,1,25000,1904981,True,True,GHOST
2025-02-03,10:45,rth,down,598.18,598.22,592.44,597.465,610738,3205,5.025,0.715,0.841,592.44,1,100,5,True,True,PBAR
2025-02-03,14:05,rth,down,598.8,599.16,592.66,599.06,168220,1020,6.14,0.26,1.025,592.66,30,1155,16798262,True,True,not_pbar
2025-02-03,14:10,rth,down,599.06,599.72,592.66,599.639,329278,1555,6.4,0.579,1.067,592.66,258,5293,17095828,True,True,not_pbar
2025-02-03,14:15,rth,down,599.64,600.0,592.66,599.88,359818,1765,6.98,0.24,1.164,592.66,209,4888,17391469,True,True,not_pbar
2025-02-03,17:00,post,down,600.82,600.85,597.77,600.7991,128921,80,3.0291,0.0209,0.504,597.77,3,210197,1266,True,True,GHOST
2025-02-07,16:05,post,up,600.88,606.4184,600.87,601.0,253384,402,5.4184,0.12,0.902,606.4184,1,61500,2,True,False,PBAR
2025-02-12,08:45,pre,up,599.15,603.7,599.0,599.5201,304821,486,4.1799,0.3701,0.697,603.7,5,165737,15,True,True,GHOST
2025-02-24,08:15,pre,down,603.1,603.15,599.94,603.11,10866,31,3.16,0.01,0.524,599.94,4,1812,1803,True,False,GHOST
2025-02-26,16:20,post,up,594.84,600.0,592.23,595.26,644597,1882,4.74,0.42,0.796,600.0,105,36235,1,True,False,not_pbar
2025-02-27,08:00,pre,down,598.5,598.63,594.79,597.95,76828,210,3.16,0.55,0.528,594.79,59,203,28755333,True,False,not_pbar
2025-03-03,13:50,rth,up,588.73,594.2194,588.41,588.79,506434,2274,5.4294,0.06,0.922,594.2194,2,195847,5,True,True,GHOST
2025-03-03,15:30,rth,up,581.19,589.0699,581.19,581.41,1061827,6205,7.6599,0.22,1.317,589.0699,3,127659,6362618,True,True,GHOST
