date,time_et,session,direction,open,high,low,close,volume,trade_count,wick_len,body_len,wick_pct,extreme,prints_at_extreme,prints_at_extreme_size,max_extreme_lag_ms,all_dark,repeat_level,verdict
2025-06-13,08:00,pre,down,598.0,598.6682,593.79,598.15,168680,589,4.21,0.15,0.704,593.79,26,2211,27883849,True,False,not_pbar
2025-06-13,08:10,pre,up,598.2499,603.75,598.07,598.07,34093,200,5.5001,0.1799,0.92,603.75,2,113,738,True,False,GHOST
2025-06-16,08:50,pre,down,600.86,600.92,596.9301,600.83,94358,42,3.8999,0.03,0.649,596.9301,1,83300,1622,True,False,PBAR
2025-06-24,04:00,pre,down,605.07,605.46,588.79,604.78,23360,138,15.99,0.29,2.644,588.79,1,100,0,True,False,PBAR
2025-06-24,17:55,post,down,606.7,606.73,600.1395,606.7,175331,33,6.5605,0.0,1.081,600.1395,1,166000,2,True,False,PBAR
2025-06-24,18:00,post,down,606.7,606.7,600.1395,606.32,186214,71,6.1805,0.38,1.019,600.1395,1,166000,320022,True,True,GHOST
2025-07-07,13:40,rth,up,619.99,623.31,619.56,619.89,557265,3389,3.32,0.1,0.536,623.31,2,253651,1119,True,True,GHOST
2025-07-30,17:55,post,down,637.99,638.68,634.27,638.48,537886,437,3.72,0.49,0.583,634.27,1,395000,11,True,True,PBAR
2025-07-30,18:20,post,down,638.51,638.51,634.46,638.36,19527,41,3.9,0.15,0.611,634.46,1,8143,243,True,True,GHOST
2025-08-01,08:00,pre,up,625.38,632.08,624.8696,626.97,258149,826,5.11,1.59,0.815,632.08,89,219,3226035,True,False,not_pbar
2025-08-04,16:00,post,down,631.07,631.36,621.72,631.11,3628632,2461,9.35,0.04,1.482,621.72,5,1165,0,True,False,PBAR
2025-08-07,09:20,pre,down,636.6716,636.7298,632.93,636.63,30030,122,3.7,0.0416,0.581,632.93,1,1016,13,True,False,PBAR
2025-08-08,16:20,post,down,638.09,638.18,632.1468,638.11,1601034,196,5.9432,0.02,0.931,632.1468,2,1531100,3,True,False,PBAR
2025-08-22,08:00,pre,down,637.43,637.55,633.85,637.15,35308,171,3.3,0.28,0.518,633.85,31,546,19187541,True,False,not_pbar
