date,time_et,session,direction,open,high,low,close,volume,trade_count,wick_len,body_len,wick_pct,extreme,prints_at_extreme,prints_at_extreme_size,max_extreme_lag_ms,all_dark,repeat_level,verdict
2024-05-23,16:05,post,up,525.53,530.2218,525.53,526.05,183936,422,4.1718,0.52,0.793,530.2218,1,16150,2,True,False,PBAR
2024-06-03,13:10,rth,up,523.385,526.9661,522.6,523.22,754614,2414,3.5811,0.165,0.684,526.9661,2,310000,13,True,True,PBAR
2024-06-04,08:05,pre,up,525.31,527.96,525.23,525.29,82711,245,2.65,0.02,0.504,527.96,24,398,28917633,True,True,not_pbar
2024-06-11,09:35,rth,up,533.56,543.07,533.36,533.44,454625,2286,9.51,0.12,1.783,543.07,2,38000,24805,True,False,GHOST
2024-06-12,08:45,pre,down,540.88,541.45,536.95,541.41,357115,512,3.93,0.53,0.726,536.95,3,186947,853,True,False,PBAR
2024-06-14,08:00,pre,up,539.47,543.16,539.03,540.14,45164,157,3.02,0.67,0.559,543.16,80,828,28890879,True,False,not_pbar
2024-06-21,19:55,post,down,544.49,544.49,540.4,544.36,101633,35,3.96,0.13,0.727,540.4,1,92524,14350,True,False,GHOST
2024-07-12,13:40,rth,down,562.86,563.26,559.49,563.215,386614,1614,3.37,0.355,0.598,559.49,1,100,2,True,True,GHOST
2024-07-19,19:35,post,up,548.9,552.89,548.9,548.9,6019,32,3.99,0.0,0.727,552.89,22,333,63,True,False,not_pbar
2024-07-31,08:00,pre,down,547.07,547.5,543.9,547.33,171955,407,3.17,0.26,0.579,543.9,88,593,28846149,True,False,not_pbar
2024-08-02,18:30,post,up,532.9,539.5,531.61,536.78,2269354,18,2.72,3.88,0.507,539.5,39,369,66607696,True,False,not_pbar
2024-08-02,18:35,post,up,531.78,538.96,531.78,531.9,13678,37,7.06,0.12,1.327,538.96,99,628,67019176,True,True,not_pbar
2024-08-05,08:00,pre,up,518.53,524.5,512.71,515.06,450759,1415,5.97,3.47,1.159,524.5,36,392,28452154,True,False,not_pbar
2024-08-05,10:20,rth,down,518.19,519.6874,510.945,516.37,1385269,6869,5.425,1.82,1.051,510.945,2,1026,2939773,True,True,GHOST
2024-08-05,15:45,rth,up,515.25,520.82,514.93,515.26,2264124,10502,5.56,0.01,1.079,520.82,4,390871,5,True,True,GHOST
2024-08-05,16:15,post,down,518.43,518.79,515.2167,518.579,179907,383,3.2133,0.149,0.62,515.2167,1,45000,0,True,False,GHOST
2024-08-05,16:30,post,down,519.4,519.53,515.92,519.44,173316,328,3.48,0.04,0.67,515.92,1,20000,2127423,True,True,GHOST
2024-08-06,08:00,pre,down,522.49,525.5,517.38,521.56,64876,245,4.18,0.93,0.801,517.38,173,337,2999963,True,False,not_pbar
2024-08-06,10:35,rth,down,523.29,524.62,519.5,524.03,703760,4242,3.79,0.74,0.723,519.5,1,5400,2,True,True,GHOST
2024-08-06,18:15,post,up,521.0,525.28,520.68,521.49,18392,66,3.79,0.49,0.727,525.28,1,250,145,True,False,GHOST
2024-08-07,08:00,pre,down,528.64,529.03,521.25,527.65,110310,369,6.4,0.99,1.213,521.25,6,4064,20682018,True,False,GHOST
2024-08-07,16:00,post,up,518.65,522.9611,518.19,518.49,4108875,1532,4.3111,0.16,0.831,522.9611,1,96300,196,True,False,PBAR
2024-08-08,08:00,pre,down,519.24,519.42,516.26,518.95,84518,241,2.69,0.29,0.518,516.26,22,962,16145376,True,False,not_pbar
2024-08-08,08:55,pre,down,523.0,523.16,518.66,522.5,320366,251,3.84,0.5,0.735,518.66,1,250000,37,True,True,PBAR
2024-08-21,12:00,rth,down,558.89,558.893,554.73,558.21,407776,1935,3.48,0.68,0.623,554.73,1,230,68,True,False,GHOST
2024-08-22,11:50,rth,up,557.26,561.7802,557.06,557.45,1085258,1537,4.3302,0.19,0.777,561.7802,2,251,17590329,True,True,GHOST
2024-08-30,08:10,pre,down,561.23,561.3896,558.35,561.32,14392,55,2.88,0.09,0.513,558.35,3,269,932,True,False,GHOST
2024-09-03,15:40,rth,up,551.11,555.44,550.27,550.92,1114611,5816,4.33,0.19,0.786,555.44,3,127489,8950882,True,True,GHOST
2024-09-18,14:00,rth,up,563.14,568.69,561.8,565.79,3709171,21214,2.9,2.65,0.513,568.69,215,19562,212,True,False,not_pbar
2024-09-19,08:00,pre,down,570.48,571.02,561.4,570.49,73653,260,9.08,0.01,1.592,561.4,29,374,3057798,True,False,not_pbar
2024-10-01,11:30,rth,up,567.91,574.0622,567.6252,568.37,1425758,3902,5.6922,0.46,1.001,574.0622,1,500000,2,True,False,PBAR
2024-10-17,08:00,pre,down,584.84,584.9335,581.07,584.79,63945,205,3.72,0.05,0.636,581.07,6,228,28079727,True,False,GHOST
2024-10-31,09:10,pre,up,576.12,580.01,576.09,576.29,74770,31,3.72,0.17,0.646,580.01,1,67880,2,True,False,PBAR
2024-11-01,09:10,pre,down,571.55,571.64,568.64,571.5,673448,166,2.86,0.05,0.5,568.64,2,636280,4292597,True,True,GHOST
2024-11-21,08:00,pre,down,591.18,592.65,588.0,591.59,65028,238,3.18,0.41,0.538,588.0,25,275,19944344,True,True,not_pbar
