id,ticker,date,time_et,direction,body_color,session,extreme,wick_open,wick_close,wick_high,wick_low,same_day_after_hit,same_day_after_hit_dt,hit_10d,hit_10d_dt,hit_10d_bars_to_hit,hit_20d,hit_20d_dt,hit_20d_bars_to_hit,bars_fetched
1,TSLA,2026-05-19,13:45,down,red,rth,394.64,405.58,404.74,405.6,394.64,False,,False,,,False,,,3799
2,TSLA,2026-05-11,07:00,up,red,pre,429.42,424.85,424.13,429.42,423.8,True,2026-05-11 08:03 ET,True,2026-05-11 08:03 ET,63,True,2026-05-11 08:03 ET,63,9520
3,TSLA,2026-04-27,12:35,down,red,rth,368.87,379.41,378.96,379.77,368.87,False,,True,2026-04-30 04:00 ET,2337,True,2026-04-30 04:00 ET,2337,18954
4,TSLA,2026-04-21,15:50,down,red,rth,387.99,394.0,388.48,394.0,387.99,True,2026-04-21 15:51 ET,True,2026-04-21 15:51 ET,1,True,2026-04-21 15:51 ET,1,22771
5,TSLA,2026-04-20,14:15,up,green,rth,402.46,391.48,391.77,402.46,391.18,False,,True,2026-04-22 16:04 ET,2007,True,2026-04-22 16:04 ET,2007,23725
6,TSLA,2026-04-09,11:35,down,red,rth,338.8,346.51,345.98,346.75,338.8,False,,False,,,False,,,24693
7,TSLA,2026-03-23,10:00,down,green,rth,373.93,383.41,384.8,384.89,373.93,False,,True,2026-03-26 15:03 ET,3132,True,2026-03-26 15:03 ET,3132,23803
8,TSLA,2026-03-02,12:40,down,green,rth,390.36,400.65,401.26,401.58,390.36,False,,True,2026-03-03 06:09 ET,552,True,2026-03-03 06:09 ET,552,23524
9,TSLA,2026-01-20,08:15,up,red,pre,437.5,426.29,425.9,437.5,425.77,True,2026-01-20 10:17 ET,True,2026-01-20 10:17 ET,122,True,2026-01-20 10:17 ET,122,23370
10,TSLA,2026-01-20,07:00,up,red,pre,436.41,428.0,427.5,436.41,427.5,True,2026-01-20 10:17 ET,True,2026-01-20 10:17 ET,196,True,2026-01-20 10:17 ET,196,23370
11,TSLA,2026-01-05,07:05,down,red,pre,439.17,445.38,444.79,445.43,439.17,True,2026-01-05 09:05 ET,True,2026-01-05 09:05 ET,120,True,2026-01-05 09:05 ET,120,23626
12,TSLA,2025-12-25,19:00,up,green,post,499.68,484.25,486.27,499.68,484.25,False,,False,,,False,,,21663
13,TSLA,2025-12-22,07:00,down,green,pre,480.0,487.6,487.69,487.84,480.0,True,2025-12-22 09:01 ET,True,2025-12-22 09:01 ET,120,True,2025-12-22 09:01 ET,120,21276
14,TSLA,2025-11-05,14:25,down,red,rth,451.49,462.3,461.63,462.35,451.49,False,,True,2025-11-06 11:19 ET,773,True,2025-11-06 11:19 ET,773,23404
