id,ticker,date,time_et,direction,body_color,session,extreme,trades_count,total_size,total_notional_M,vwap,dist_extreme_from_vwap_pct,median_5m_rth_vol,vol_vs_median_rth_x,dark_size,dark_notional_M,dpr_pct,block_count,block_size,block_notional_M,largest_size,largest_price,largest_is_dark,largest_conds,body_min,body_max,tip_threshold,in_wick_count,in_wick_size,in_wick_notional_K,in_wick_dark_size,in_wick_max_single,at_tip_count,at_tip_size,at_tip_notional_K,at_tip_dark_size,at_tip_max_single,top_conditions,top_trf_ids
1,TSLA,2026-05-19,13:45,down,red,rth,394.64,7046,328627,132.434,402.9931,-2.073,421052.997952,0.78,174178,70.196,53.0,3,18046,7.271,9587,402.9,True,,404.74,405.58,397.165,6667,328627,132434.42,174178,9587,0,0,0.0,0,0,37:4248;41:2833;14:2730;10:95;2:31,202:165412;203:5001;201:3765
2,TSLA,2026-05-11,07:00,up,red,pre,429.42,1689,53882,22.904,425.0794,1.021,733480.2574545001,0.07,22629,9.618,41.99,1,2508,1.066,2508,425.15,True,12,424.13,424.85,428.2775,1101,36896,15691.22,12771,2508,0,0,0.0,0,0,12:1639;37:1367;41:571;14:570,202:22299;201:330
3,TSLA,2026-04-27,12:35,down,red,rth,368.87,14273,911224,339.667,372.7589,-1.043,700103.916346,1.3,464258,173.051,50.95,16,65115,24.275,9860,372.8397,True,,378.96,379.41,371.3925,13687,911224,339666.84,464258,9860,0,0,0.0,0,0,37:7606;41:4619;14:4297;10:314;2:161,202:441508;203:15140;201:7610
4,TSLA,2026-04-21,15:50,down,red,rth,387.99,14616,700539,270.78,386.5305,0.378,510801.0183555,1.37,396373,153.209,56.58,2,7551,2.916,4588,386.23,False,"14,41",388.48,394.0,388.1125,14092,700539,270779.69,396373,4588,14092,700539,270779.69,396373,4588,37:8994;41:4406;14:4049;10:336;2:138,202:377217;203:11775;201:7381
5,TSLA,2026-04-20,14:15,up,green,rth,402.46,7509,387903,152.436,392.9741,2.414,535107.231873,0.72,233473,91.749,60.19,3,10673,4.195,4131,392.9401,True,,391.48,391.77,399.7875,7110,387903,152435.84,233473,4131,0,0,0.0,0,0,37:4319;41:2131;14:1936;10:186;2:38,202:223154;203:5680;201:4639
6,TSLA,2026-04-09,11:35,down,red,rth,338.8,25293,926557,317.824,343.0164,-1.229,574630.7022134999,1.61,586649,201.221,63.31,6,56937,19.54,28000,343.5114,False,"53,41",345.98,346.51,340.595,13921,926557,317824.26,586649,28000,0,0,0.0,0,0,37:8455;41:3719;14:3495;10:214;2:121,202:557512;203:15472;201:13665
7,TSLA,2026-03-23,10:00,down,green,rth,373.93,39064,1172054,446.781,381.1953,-1.906,603990.429187,1.94,585119,223.048,49.92,10,35600,13.571,7500,380.9699,True,,383.41,384.8,376.3,25804,1172054,446781.49,585119,7500,0,0,0.0,0,0,37:16813;41:8922;14:8746;10:156;2:56,202:557026;201:16068;203:12025
8,TSLA,2026-03-02,12:40,down,green,rth,390.36,22885,847329,341.661,403.2208,-3.19,427887.11497950007,1.98,532460,214.697,62.84,13,50005,20.16,9500,403.3901,True,,400.65,401.26,392.9325,0,0,0.0,0,0,0,0,0.0,0,0,37:6628;41:2840;14:2711;10:129;2:24,202:505344;203:17224;201:9892
9,TSLA,2026-01-20,08:15,up,red,pre,437.5,1213,21546,9.215,427.6973,2.292,462551.5,0.05,0,0.0,0.0,0,0,0.0,718,427.8,False,12,425.9,426.29,434.6975,1213,21546,9215.17,0,718,0,0,0.0,0,0,12:1213;37:1084;14:642;41:642,
10,TSLA,2026-01-20,07:00,up,red,pre,436.41,674,11171,4.763,426.35,2.36,462551.5,0.02,0,0.0,0.0,0,0,0.0,936,426.01,False,"14,12,41",427.5,428.0,434.3075,0,0,0.0,0,0,0,0,0.0,0,0,12:674;37:607;41:359;14:358,
11,TSLA,2026-01-05,07:05,down,red,pre,439.17,590,7699,3.43,445.53,-1.428,509057.0,0.02,0,0.0,0.0,0,0,0.0,240,445.6,False,12,444.79,445.38,440.575,0,0,0.0,0,0,0,0,0.0,0,0,12:590;37:516;14:265;41:265,
12,TSLA,2025-12-25,19:00,up,green,post,499.68,0,0,0.0,,,0,,0,0.0,0,0,0,0.0,0,,,,484.25,486.27,496.3275,0,0,0.0,0,0,0,0,0.0,0,0,,
13,TSLA,2025-12-22,07:00,down,green,pre,480.0,530,11169,5.436,486.6642,-1.369,630449.0,0.02,0,0.0,0.0,0,0,0.0,298,486.7,False,12,487.6,487.69,481.9,530,11169,5435.55,0,298,0,0,0.0,0,0,12:530;37:443;41:252;14:250,
14,TSLA,2025-11-05,14:25,down,red,rth,451.49,14381,841039,384.56,457.2442,-1.258,698124.5,1.2,570145,260.691,67.79,11,43492,19.88,8600,457,True,,461.63,462.3,454.025,14381,841039,384560.23,570145,8600,0,0,0.0,0,0,37:8805;41:2961;14:2806;10:146;2:31,202:523669;201:34586;203:11890
